Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.5528738066522553,-1.059747487544985,33.04071811359673,2.852185279062951,735.1698678201617,(1470.339055525083+0j),(1.000049953523297+0j),(0.999950048958774+0j),(0.0006801152411933198+0j),(0.46966017619718436+0.8828472794834784j),(0.46966017619718436-0.8828472794834784j)
1,-0.5535491527185343,-1.0576583723467206,33.0212061167354,2.8527912944766136,737.4606253266895,(1474.9205726507676+0j),(1.0000505057722242+0j),(0.9999494967502444+0j),(0.0006780026244210556+0j),(0.46219903772747517+0.8867762116344523j),(0.46219903772747517-0.8867762116344523j)
2,-0.5542218903144394,-1.0555793362789065,33.00168945378747,2.8533942512773187,739.7117038719865,(1479.4227003823448+0j),(1.0000488363374422+0j),(0.9999511660808388+0j),(0.0006759393231575982+0j),(0.4547593896534099+0.8906143371399773j),(0.4547593896534099-0.8906143371399773j)
3,-0.5548920425052702,-1.053510277339395,32.98216819448937,2.8539941774217272,741.9230472380044,(1483.8454154898736+0j),(1.000046116628916+0j),(0.9999538855076222+0j),(0.0006739246461591823+0j),(0.4473429311706103+0.8943625114732705j),(0.4473429311706103-0.8943625114732705j)
4,-0.5555596319721415,-1.0514510952783036,32.96264240707446,2.854591100405133,744.0946848766731,(1488.1886929761731+0j),(1.0000469651190487+0j),(0.9999530370755152+0j),(0.0006719577977452042+0j),(0.4399513484550851+0.8980216094224j),(0.4399513484550851-0.8980216094224j)
5,-0.5562246810151358,-1.049401691575142,32.94311215830678,2.8551850472657945,746.2266050775946,(1492.4525070479567+0j),(1.000048798904743+0j),(0.9999512034792942+0j),(0.0006700380569029798+0j),(0.4325863136813356+0.9015925250424573j),(0.4325863136813356-0.9015925250424573j)
6,-0.5568872115619597,-1.0473619693985887,32.92357751352199,2.855776044595677,748.3187503991102,(1496.6368326334537+0j),(1.000050983292877+0j),(0.9999490192981134+0j),(0.0006681647736933685+0j),(0.42524948400752627+0.9050761715723741j),(0.42524948400752627-0.9050761715723741j)
7,-0.5575472451740026,-1.0453318335752204,32.90403853666345,2.8563641185476403,750.3711565057533,(1500.741646674298+0j),(1.0000546243430422+0j),(0.9999453786165984+0j),(0.0006663372125237711+0j),(0.41794250057326554+0.9084734812921565j),(0.41794250057326554-0.9084734812921565j)
8,-0.5582048030554984,-1.043311190548261,32.88449529032206,2.8569492948469906,752.3838009918022,(1504.7669290874546+0j),(1.0000478420116474+0j),(0.99995216027466+0j),(0.0006645547394260669+0j),(0.4106669874691553+0.9117854053447723j),(0.4106669874691553-0.9117854053447723j)
9,-0.5588599060549008,-1.041299948362468,32.864947835763445,2.8575315987921956,754.3566738726247,(1508.7126652369911+0j),(0.0006628167244761881+0j),(1.0000567273151244+0j),(0.9999432758688791+0j),(0.40342455075975325+0.9150129134827204j),(0.40342455075975325-0.9150129134827204j)
10,-0.5595125746813135,-1.039298016599313,32.845396232976995,2.858111055276854,756.2897529705358,(1512.5788448185103+0j),(1.000054726109625+0j),(0.9999452768378705+0j),(0.0006611225693715463+0j),(0.39621677737165484+0.9181569938333828j),(0.39621677737165484-0.9181569938333828j)
11,-0.5601628291029255,-1.0373053063725937,32.82584054069679,2.858687688785574,758.1830734990873,(1516.3654653237768+0j),(1.0000537841864452+0j),(0.9999462187001438+0j),(0.0006594716169854044+0j),(0.38904523417980696+0.9212186525241373j),(0.38904523417980696-0.9212186525241373j)
12,-0.5608106891604645,-1.0353217302746298,32.806280816444186,2.859261523410734,760.0365950757672,(1520.07253228819+0j),(1.0000574458044167+0j),(0.9999425574635794+0j),(0.0006578633448402507+0j),(0.3819114669260607+0.9241989133442619j),(0.3819114669260607-0.9241989133442619j)
13,-0.5614561743723796,-1.033347202349413,32.78671711655753,2.85983258285926,761.850378730645,(1523.7000599373546+0j),(1.0000556667262914+0j),(0.9999443364131173+0j),(0.0006562971277851617+0j),(0.3748169992008362+0.9270988173365102j),(0.3748169992008362-0.9270988173365102j)
14,-0.5620993039415226,-1.03138163806202,32.76714949622297,2.860400890459535,763.6243641009071,(1527.24807342934+0j),(1.0000563418712471+0j),(0.9999436612839715+0j),(0.0006547724889143395+0j),(0.3677633314514265+0.9299194223353439j),(0.3677633314514265-0.9299194223353439j)
15,-0.5627400967648304,-1.0294249542579392,32.747578009509034,2.8609664691734453,765.3586313726413,(1530.7166090356368+0j),(1.0000577600348712+0j),(0.9999422432927566+0j),(0.0006532887889385787+0j),(0.36075193995217514+0.9326618024864778j),(0.36075193995217514-0.9326618024864778j)
16,-0.5633785714397331,-1.027477069133684,32.72800270939565,2.8615293416034904,767.053183698952,(1534.1057155523436+0j),(1.0000592791858964+0j),(0.9999407243026137+0j),(0.0006518455766590654+0j),(0.35378427580722793+0.9353270477155768j),(0.35378427580722793-0.9353270477155768j)
17,-0.5640147462734574,-1.0255379021980893,32.70842364780662,2.862089530003999,768.7080536222941,(1537.4154548888173+0j),(1.0000496217641515+0j),(0.999950380723724+0j),(0.000650442270224021+0j),(0.34686176393706325+0.9379162631683005j),(0.34686176393706325-0.9379162631683005j)
18,-0.5646486392865763,-1.023607374253296,32.68884087563286,2.8626470562834183,770.3232821751747,(1540.6459045050942+0j),(1.000049975358265+0j),(0.9999500271428055+0j),(0.0006490784093134662+0j),(0.3399858021613395+0.9404305685832545j),(0.3399858021613395-0.9404305685832545j)
19,-0.565280268226563,-1.021685407342049,32.66925444276986,2.8632019420225108,771.8989088722223,(1543.7971563908495+0j),(1.0000511085489727+0j),(0.9999488940804399+0j),(0.0006477534869466416+0j),(0.33315776011626597+0.9428710976965194j),(0.33315776011626597-0.9428710976965194j)
20,-0.5659096505721224,-1.0197719247267962,32.64966439814059,2.8637542084773884,773.4349851788934,(1546.8693191203834+0j),(1.0000518999292949+0j),(0.9999481027764663+0j),(0.0006464670186132768+0j),(0.3263789783622805+0.9452389975452001j),(0.3263789783622805-0.9452389975452001j)
21,-0.566536803541785,-1.0178668508543816,32.63007078972424,2.864303876589716,774.9315819204584,(1549.8625186223971+0j),(1.0000523606825655+0j),(0.9999476420466052+0j),(0.0006452185282394917+0j),(0.31965076740985554+0.9475354277764145j),(0.31965076740985554-0.9475354277764145j)
