Index,Initial x,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.1775676038612768,-9.489601767905483e-27,1.8017469242986494e-13,-0.2337500305867712,1.8791776590680755e-21,20.183277910745765,3.120761655196962,2933.418636195904,(5866.837101942214+0j),(1.0001809565086452+0j),(0.9998190771544335+0j),(0.00017044960049947855+0j),(0.9999999091012539+0.00042637540484968936j),(0.9999999091012539-0.00042637540484968936j)
1,1.1775676032782714,-1.3138984460308984e-15,1.718622201737554e-13,-0.2337501068410866,-2.953047925505748e-05,20.183280942283577,3.120761618510354,2933.432762992716,(5866.865197730307+0j),(0.00017044877279419465+0j),(1.0001779964877002+0j),(0.9998220347132136+0j),(0.9999999995982748+2.5225502457605135e-05j),(0.9999999995982748-2.5225502457605135e-05j)
2,1.1775676017865782,-2.485515118266417e-15,1.7886446455211737e-13,-0.2337501028890297,-5.953047516426909e-05,20.18328095710327,3.120761617262262,2933.4326225232926,(5866.864929539559+0j),(0.00017044878095625097+0j),(1.000138984011799+0j),(0.999861034906291+0j),(0.999999997645566+6.250892867177707e-05j),(0.999999997645566-6.250892867177707e-05j)
3,1.1775675992899484,-3.6604448606160206e-15,1.841571608751204e-13,-0.233750096274618,-8.953046394400532e-05,20.183280981907508,3.120761615173279,2933.432391214464,(5866.864481804442+0j),(0.0001704487943965846+0j),(1.0001002930664615+0j),(0.9998997171972183+0j),(0.9999999906831509+0.0001284575634841217j),(0.9999999906831509-0.0001284575634841217j)
4,1.1775675957883829,-4.828132025795141e-15,1.7260169415421077e-13,-0.2337500869979065,-0.0001195304420333,20.18328101669732,3.1207616122433817,2933.432012465685,(5866.8638544825535+0j),(0.00017044881796716012+0j),(0.9999999777646777+0.00020729842184238057j),(0.9999999777646777-0.00020729842184238057j),(1.0000824605824319+0j),(0.9999175469718096+0j)
5,1.1775675928645164,-5.578755387393214e-15,1.700344246748365e-13,-0.2337500792515102,-0.0001397304180971,20.18328104574552,3.1207616097969693,2933.431750066404,(5866.863329683976+0j),(0.00017044883387596537+0j),(0.9999999642984121+0.00026598169914152136j),(0.9999999642984121-0.00026598169914152136j),(1.0000682608914244+0j),(0.999931744978761+0j)
6,1.1775675894489477,-6.101615093166628e-15,1.7316968258142676e-13,-0.2337500702025771,-0.0001601323848163,20.183281079679546,3.120761606939053,2933.431444947505,(5866.8627194461615+0j),(0.00017044885185979537+0j),(0.9999999527915434+0.00030676670723966265j),(0.9999999527915434-0.00030676670723966265j),(1.0000758452860856+0j),(0.9999241613902987+0j)
7,1.1775675855274412,-8.365059846762536e-15,1.894566889640819e-13,-0.2337500598133136,-0.0001807383607889,20.18328111863981,3.1207616036578,2933.431263075693,(5866.862015477213+0j),(0.00017044885994777273+0j),(0.9999999339163581+0.0003623786793090793j),(0.9999999339163581-0.0003623786793090793j),(1.0000655377764966+0j),(0.9999344678368927+0j)
8,1.1775675810854789,-9.277480807099344e-15,1.8894984593723e-13,-0.2337500480450967,-0.0002015503846736,20.18328116277136,3.1207615999410967,2933.430695029509,(5866.861219610126+0j),(0.00017044889933074217+0j),(0.9999999153557745+0.000409769345578653j),(0.9999999153557745-0.000409769345578653j),(1.0000654267454032+0j),(0.9999345785061303+0j)
9,1.1775675761081768,-1.0132811173346626e-14,1.8296334296283882e-13,-0.2337500348585796,-0.0002225705154946,20.183281212221683,3.1207615957764623,2933.430249213847,(5866.860327978776+0j),(0.00017044892022961735+0j),(0.9999998948315518+0.00045766358417388675j),(0.9999998948315518-0.00045766358417388675j),(1.0000648247682422+0j),(0.9999351801826749+0j)
10,1.17756757058032,-1.0623049008302147e-14,1.6094854626737165e-13,-0.233750020213474,-0.0002438008327837,20.18328126714253,3.1207615911511484,2933.430081757913,(5866.859338595159+0j),(0.00017044892858901354+0j),(0.9999998731726388+0.0005019544314861457j),(0.9999998731726388-0.0005019544314861457j),(1.0000700474349278+0j),(0.9999299583099356+0j)
11,1.177567564486324,-1.1346347721580568e-14,1.6707157482003542e-13,-0.2337500040684873,-0.0002652434367997,20.18328132768729,3.1207615860521427,2933.4292243999303,(5866.858246589706+0j),(0.00017044897840639344+0j),(0.9999998472803002+0.0005507569053217402j),(0.9999998472803002-0.0005507569053217402j),(1.0000689848754252+0j),(0.9999310206634675+0j)
12,1.1775675578102685,-1.2282733751957114e-14,1.6525907538943093e-13,-0.2337499863813985,-0.0002869004487242,20.183281394014703,3.12076158046613,2933.428875319208,(5866.857050190883+0j),(0.0001704489986899791+0j),(0.9999998187084802+0.0006003161246521974j),(0.9999998187084802-0.0006003161246521974j),(1.0000669547014296+0j),(0.999933050612184+0j)
13,1.1775675505358532,-9.987447753814325e-15,1.5039226421416685e-13,-0.2337499671086177,-0.00030877401089,20.18328146628476,3.120761574379676,2933.427958274946,(5866.8557461008395+0j),(0.00017044905738270873+0j),(0.9999997874125321+0.0006506479835714875j),(0.9999997874125321-0.0006506479835714875j),(1.0000637496558182+0j),(0.9999362551395382+0j)
14,1.1775675426464294,-1.1212382460553096e-14,1.6024906263894869e-13,-0.2337499462070205,-0.0003308662869618,20.18328154466749,3.120761567778355,2933.427303708125,(5866.854333362267+0j),(0.00017044909000962785+0j),(0.9999997556014486+0.0006977865094009998j),(0.9999997556014486-0.0006977865094009998j),(1.000067156638044+0j),(0.9999328487622084+0j)
15,1.1775675341249396,-1.2066362563071696e-14,1.5880962280069234e-13,-0.2337499236308001,-0.0003531794621829,20.18328162932984,3.1207615606482024,2933.4266136572705,(5866.852806701903+0j),(0.00017044913010558473+0j),(0.9999997199791879+0.000747526652080365j),(0.9999997199791879-0.000747526652080365j),(1.0000663017369091+0j),(0.9999337036252093+0j)
16,1.177567524953944,-1.2806800861800908e-14,1.5491725774971373e-13,-0.2337498993337611,-0.0003757157435363,20.18328172044464,3.120761552974628,2933.4256668803,(5866.851163311414+0j),(0.00017044919573542608+0j),(0.9999996811285179+0.0007983199166123207j),(0.9999996811285179-0.0007983199166123207j),(1.0000638518108806+0j),(0.9999361528433764+0j)
17,1.177567515115616,-1.3535361702721092e-14,1.5029215094660621e-13,-0.2337498732688415,-0.0003984773599968,20.1832818181906,3.12076154474262,2933.424838716495,(5866.849400354137+0j),(0.000170449233240025+0j),(0.9999996390462147+0.0008480950637799811j),(0.9999996390462147-0.0008480950637799811j),(1.0000644694231+0j),(0.9999355352749528+0j)
18,1.1775675045917051,-1.4680664477715055e-14,1.6352751762810317e-13,-0.2337498453875842,-0.0004214665627586,20.183281922746986,3.1207615359369774,2933.423842708332,(5866.847514967372+0j),(0.00017044930544636206+0j),(0.9999995952976956+0.0009000873970322193j),(0.9999995952976956-0.0009000873970322193j),(1.0000605772131574+0j),(0.9999394272203838+0j)
19,1.1775674933635638,-1.5011166358705724e-14,1.5643788007072128e-13,-0.2337498156405381,-0.000444685625421,20.18328203430077,3.120761526542105,2933.4228367626733,(5866.845503075997+0j),(0.00017044935352424352+0j),(0.9999995475912067+0.0009514302090137771j),(0.9999995475912067-0.0009514302090137771j),(1.0000591565875947+0j),(0.9999408476463586+0j)
20,1.1775674814121104,-1.5773297679228025e-14,1.577677439432866e-13,-0.2337497839772361,-0.0004681368442232,20.18328215304065,3.120761516542002,2933.4217662798847,(5866.843362110358+0j),(0.00017044941811950208+0j),(0.9999994979803011+0.0010016890523511118j),(0.9999994979803011-0.0010016890523511118j),(1.0000620346994011+0j),(0.9999379696774456+0j)
21,1.177567468717837,-1.1745367050879722e-14,1.6748823190750712e-13,-0.2337497503458183,-0.0004918225382772,20.18328227915996,3.1207615059204232,2933.4207661001205,(5866.841088025732+0j),(0.0001704494698833278+0j),(0.9999994451090963+0.0010525433315343813j),(0.9999994451090963-0.0010525433315343813j),(1.0000646837518758+0j),(0.9999353211875011+0j)
22,1.1775674552607878,-1.2194895432028543e-14,1.683827910081874e-13,-0.2337497146937341,-0.0005157450497646,20.183282412858617,3.120761494660526,2933.419486306305,(5866.838676600527+0j),(0.00017044954424711762+0j),(0.9999993880633746+0.0011056633358862626j),(0.9999993880633746-0.0011056633358862626j),(1.000062142241616+0j),(0.9999378622119615+0j)
23,1.1775674410205588,-1.2520579406437327e-14,1.635535464791791e-13,-0.233749676966711,-0.0005399067441984,20.183282554338223,3.12076148274534,2933.4182913744435,(5866.836125526547+0j),(0.0001704496136799713+0j),(0.9999993286200469+0.0011587495639369806j),(0.9999993286200469-0.0011587495639369806j),(1.0000609611649094+0j),(0.9999390433168706+0j)
24,1.177567425976289,-1.3415834301208462e-14,1.6350206752865737e-13,-0.233749637109601,-0.0005643100106293,20.183282703806743,3.1207614701573485,2933.4168005804167,(5866.833430711134+0j),(0.00017044970880135418+0j),(0.9999992663231072+0.0012112899531836298j),(0.9999992663231072-0.0012112899531836298j),(1.0000631613723645+0j),(0.9999368433554648+0j)
25,1.1775674101066416,-1.9087989498100543e-14,1.4887722547545546e-13,-0.2337495950659147,-0.0005889572618835,20.18328286147635,3.120761456878685,2933.4153787793416,(5866.8305871089005+0j),(0.00017044978561291696+0j),(0.9999991986545369+0.0012661405432592694j),(0.9999991986545369-0.0012661405432592694j),(1.000059182739479+0j),(0.9999408215432816+0j)
26,1.1775673933897994,-1.982815859309165e-14,1.4919433533712805e-13,-0.2337495507775242,-0.0006138509348069,20.18328302756163,3.1207614428912507,2933.41405836614,(5866.82759214636+0j),(0.0001704498596441133+0j),(0.9999991282277598+0.0013194991847934481j),(0.9999991282277598-0.0013194991847934481j),(1.0000622619550628+0j),(0.9999377424056644+0j)
27,1.1775673758034644,-2.0590178602396733e-14,1.449565296818744e-13,-0.233749504185621,-0.0006389934904834,20.183283202286223,3.120761428176253,2933.41234098065,(5866.824441549238+0j),(0.0001704499594351071+0j),(0.9999990546127404+0.0013743026226684992j),(0.9999990546127404-0.0013743026226684992j),(1.000062003782969+0j),(0.9999380005471413+0j)
28,1.1775673573248286,-2.143568803403897e-14,1.4394537127202962e-13,-0.2337494552297716,-0.0006643874144854,20.18328338587644,3.1207614127146144,2933.4106597546383,(5866.821131371439+0j),(0.00017045005712511895+0j),(0.9999989778865368+0.001429326932552522j),(0.9999989778865368-0.001429326932552522j),(1.0000628965221547+0j),(0.9999371078640632+0j)
29,1.1775673379305744,-2.2230387943905922e-14,1.421655804725321e-13,-0.2337494038481252,-0.0006900352171093,20.18328357856349,3.120761396486862,2933.409025126715,(5866.817656565451+0j),(0.00017045015210759046+0j),(0.999998896033309+0.001485696394966591j),(0.999998896033309-0.001485696394966591j),(1.0000605462322423+0j),(0.9999394580071982+0j)
30,1.1775673175968486,-2.4622745209066323e-14,1.6537548898305297e-13,-0.2337493499774118,-0.0007159394336242,20.18328378058265,3.1207613794730964,2933.4070921407447,(5866.814013831225+0j),(0.00017045026542544995+0j),(0.9999988105468213+0.0015424472353417979j),(0.9999988105468213-0.0015424472353417979j),(1.0000586123522797+0j),(0.9999413918680773+0j)
31,1.17756729629932,-2.3658759100562107e-14,1.4497405061385594e-13,-0.2337492935534753,-0.000742102624469,20.18328399218132,3.1207613616527445,2933.40518440221,(5866.810198354045+0j),(0.00017045038356705946+0j),(0.9999987218124675+0.0015985109357311423j),(0.9999987218124675-0.0015985109357311423j),(1.0000620868749504+0j),(0.9999379173641579+0j)
32,1.177567274013035,-2.458114264336493e-14,1.4810598920683102e-13,-0.2337492345099102,-0.0007685273756119,20.183284213601787,3.1207613430051326,2933.403188199773,(5866.806205949054+0j),(0.00017045049339981807+0j),(0.9999986287509222+0.0016559637953194428j),(0.9999986287509222-0.0016559637953194428j),(1.000061929369212+0j),(0.9999380750827368+0j)
33,1.1775672507125332,-2.4779532485711705e-14,1.436760411632887e-13,-0.2337491727793242,-0.0007952162986772,20.18328444509911,3.120761323508907,2933.4011763446942,(5866.802031160697+0j),(0.0001704506081741448+0j),(0.9999985300877274+0.0017139415735501389j),(0.9999985300877274-0.0017139415735501389j),(1.0000619280575118+0j),(0.9999380761783807+0j)
34,1.1775672263717694,-2.8095864982017185e-14,1.6496957181362236e-13,-0.2337491082927803,-0.0008221720312748,20.183284686930843,3.1207613031422565,2933.39907024595,(5866.79767059313+0j),(0.00017045073055293612+0j),(0.999998427700288+0.0017727215895686251j),(0.999998427700288-0.0017727215895686251j),(1.0000607605110452+0j),(0.9999392439151505+0j)
35,1.1775672009641431,-2.8296104886140923e-14,1.5656398906552354e-13,-0.2337490409798041,-0.000849397237203,20.183284939364217,3.120761281882891,2933.396673618215,(5866.79311874928+0j),(0.0001704508698136695+0j),(0.9999983212885133+0.0018318273659150481j),(0.9999983212885133-0.0018318273659150481j),(1.0000607538391197+0j),(0.9999392503522017+0j)
36,1.1775671744624363,-2.936541182929296e-14,1.5980240354529652e-13,-0.2337489707683331,-0.0008768946067623,20.18328520266788,3.1207612597080296,2933.394271001592,(5866.788371552174+0j),(0.00017045101938002478+0j),(0.9999982115101891+0.0018915613082463626j),(0.9999982115101891-0.0018915613082463626j),(1.0000604782262532+0j),(0.99993952606331+0j)
37,1.17756714683883,-3.055568360039239e-14,1.5475034312929417e-13,-0.2337488975845142,-0.0009046668569707,20.183285477118044,3.1207612365944737,2933.391796368841,(5866.783422286529+0j),(0.000170451156580216+0j),(0.9999980946980389+0.0019519913714278637j),(0.9999980946980389-0.0019519913714278637j),(1.0000595972180404+0j),(0.9999404069808385+0j)
38,1.1775671180649012,-3.127940280746925e-14,1.550102435379866e-13,-0.2337488213532086,-0.0009327167318269,20.18328576299774,3.120761212518352,2933.3892190149154,(5866.778267578527+0j),(0.0001704513062438037+0j),(0.9999979744296151+0.0020127977091482932j),(0.9999979744296151-0.0020127977091482932j),(1.0000598672744172+0j),(0.999940136958264+0j)
39,1.177567088111584,-3.25167391449685e-14,1.5538473678059849e-13,-0.2337487419973104,-0.0009610470026031,20.18328606059529,3.1207611874554027,2933.386661761036,(5866.772901497059+0j),(0.00017045145157463748+0j),(0.999997848794167+0.0020737510510197158j),(0.999997848794167-0.0020737510510197158j),(1.0000627179380492+0j),(0.9999372865473509+0j)
40,1.1775670569491816,-3.1919243639070124e-14,1.371808245945524e-13,-0.2337486594380965,-0.0009896604680768,20.18328637020636,3.120761161380788,2933.383824454245,(5866.767318725083+0j),(0.00017045161644330727+0j),(0.9999977181694215+0.0021359066465272032j),(0.9999977181694215-0.0021359066465272032j),(1.0000622584774115+0j),(0.9999377459705018+0j)
41,1.1775670245473326,-3.3492189745851144e-14,1.4448087229198708e-13,-0.2337485735953618,-0.0010185599548273,20.18328669213219,3.120761134268998,2933.380842532406,(5866.761514613022+0j),(0.0001704517943639752+0j),(0.9999975836238855+0.0021981931605056077j),(0.9999975836238855-0.0021981931605056077j),(1.0000645584296468+0j),(0.9999354463584345+0j)
42,1.1775669908750055,-3.4503028029249563e-14,1.3892980428465098e-13,-0.2337484843866366,-0.0010477483174917,20.183287026681192,3.120761106094194,2933.3778260315976,(5866.755481611231+0j),(0.00017045197288636222+0j),(0.9999974414011213+0.0022621050455011588j),(0.9999974414011213-0.0022621050455011588j),(1.0000609454288454+0j),(0.9999390589737838+0j)
