Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.9974851933298048,-1.95290517449936e-10,1.4074374949111377,46.0161159687745,3.0123535003375856,1.0000665216722735,(1.0116011538278689+0j),(0.9999999973190552+8.238419954501531e-05j),(0.9999999973190552-8.238419954501531e-05j),(0.9885318881852289+0j),(-0.9682598885796346+0.249945570410305j),(-0.9682598885796346-0.249945570410305j)
1,-1.997485194849753,-8.628799324063958e-07,1.4074374968757384,46.01611544462008,3.0123535001128667,1.0,(0.9990905586102039+0.0426386328691462j),(0.9990905586102039-0.0426386328691462j),(1.0000000008317473+3.6623173787298013e-05j),(1.0000000008317473-3.6623173787298013e-05j),(-0.9682597315624671+0.24994617867564534j),(-0.9682597315624671-0.24994617867564534j)
2,-1.9974851966627307,-1.8625831584473372e-06,1.4074374995017778,46.01611546894669,3.012353499047266,1.0,(0.9968522468845933+0.07928179969786098j),(0.9968522468845933-0.07928179969786098j),(0.9999999966980937+2.2150858615664895e-05j),(0.9999999966980937-2.2150858615664895e-05j),(-0.9682597419680702+0.24994613836565013j),(-0.9682597419680702-0.24994613836565013j)
3,-1.997485199786786,-2.861793957441553e-06,1.4074375040258222,46.01611550845632,3.0123534972139865,1.000000000145088,(0.9925696878071275+0.12167750027116096j),(0.9925696878071275-0.12167750027116096j),(1.000017034358249+0j),(0.9999829655954763+0j),(-0.9682597570788505+0.24994607982839195j),(-0.9682597570788505-0.24994607982839195j)
4,-1.9974852042288131,-3.860204553880321e-06,1.4074375104583354,46.01611556433466,3.0123534946076496,1.0,(0.9864811491258428+0.16387476844193752j),(0.9864811491258428-0.16387476844193752j),(1.000000000716633+3.198215475015605e-05j),(1.000000000716633-3.198215475015605e-05j),(-0.9682597790672913+0.2499459946479109j),(-0.9682597790672913-0.2499459946479109j)
5,-1.997485209981907,-4.857487494810107e-06,1.4074375187896802,46.01611563734197,3.0123534912312824,1.000000000196672,(0.9785944453504432+0.20579821844107987j),(0.9785944453504432-0.20579821844107987j),(1.000019833094736+0j),(0.9999801725150166+0j),(-0.9682598074598296+0.24994588465871387j),(-0.9682598074598296-0.24994588465871387j)
6,-1.9974852170419264,-5.853436338971858e-06,1.4074375290134318,46.01611572642236,3.012353487088524,1.0,(0.9689170952849061+0.24738565967998988j),(0.9689170952849061-0.24738565967998988j),(0.9999999986801742+3.0492050502603136e-05j),(0.9999999986801742-3.0492050502603136e-05j),(-0.9682598421690438+0.24994575019941712j),(-0.9682598421690438-0.24994575019941712j)
7,-1.997485225399514,-6.84773182804897e-06,1.4074375411163027,46.01611583207914,3.01235348218412,1.0000000001921503,(0.9574610645274061+0.28856249514458837j),(0.9574610645274061-0.28856249514458837j),(1.0000196028042108+0j),(0.9999803965925995+0j),(-0.9682598832195195+0.24994559117474185j),(-0.9682598832195195-0.24994559117474185j)
8,-1.997485235045921,-7.840126020152551e-06,1.407437555085548,46.01611595401489,3.0123534765234234,1.000000000140618,(0.944238133311348+0.3292633369024197j),(0.944238133311348-0.3292633369024197j),(1.0000167702311131+0j),(0.9999832320173084+0j),(-0.9682599305696444+0.2499454077458453j),(-0.9682599305696444-0.2499454077458453j)
9,-1.9974852459708832,-8.830369968806476e-06,1.4074375709062708,46.016116092034856,3.0123534701125445,1.000000000167941,(0.9292630344045616+0.3694187475928234j),(0.9292630344045616-0.3694187475928234j),(1.0000183272469376+0j),(0.9999816764302898+0j),(-0.9682599841782834+0.2499452000720188j),(-0.9682599841782834-0.2499452000720188j)
