Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.9986618644823104,1.4982996574365355e-09,1.4091659409120632,58.47640390828471,3.011594641560259,1.0000150771949978,(0.9945238168935155+0j),(0.9968420989777197+0j),(1.0055063991958884+0j),(1.0031678454483608+0j),(-0.9517560206477489+0.3068557921251393j),(-0.9517560206477489-0.3068557921251393j)
1,-1.9986618652982195,9.994569090015822e-07,1.4091659420661076,58.47640384443631,3.01159464115752,1.0000000016981685,(0.9922639573753071+0.12414612845020245j),(0.9922639573753071-0.12414612845020245j),(0.9999417236028227+0j),(1.0000582706346226+0j),(-0.9517559992658173+0.30685585844415453j),(-0.9517559992658173-0.30685585844415453j)
2,-1.9986618673594996,1.999106297116083e-06,1.4091659450505811,58.47640387066502,3.011594639945282,1.0,(0.9690198585470418+0.2469828495750656j),(0.9690198585470418-0.2469828495750656j),(0.9999999873599494+5.656332435967149e-05j),(0.9999999873599494-5.656332435967149e-05j),(-0.9517560106386935+0.30685582316959736j),(-0.9517560106386935-0.30685582316959736j)
3,-1.998661870792308,2.998127443867157e-06,1.409165950020908,58.47640391448606,3.0115946379263008,1.0,(0.930330828964536+0.3667213716351718j),(0.930330828964536-0.3667213716351718j),(0.999999996926585+2.443555386475825e-05j),(0.999999996926585-2.443555386475825e-05j),(-0.9517560296716352+0.3068557641362673j),(-0.9517560296716352-0.3068557641362673j)
4,-1.998661875593147,3.9962309549861e-06,1.4091659569718755,58.47640397546163,3.0115946351030467,1.0,(0.8761391135109238+0.48205835483908405j),(0.8761391135109238-0.48205835483908405j),(0.9999999745722066+0.00021842170427196903j),(0.9999999745722066-0.00021842170427196903j),(-0.9517560558868192+0.3068556828262047j),(-0.9517560558868192-0.3068556828262047j)
5,-1.9986618817553437,4.9930917028341244e-06,1.4091659658939677,58.476404053890406,3.0115946314790403,1.0,(0.8067378063133723+0.5909095501718421j),(0.8067378063133723-0.5909095501718421j),(0.999999992095002+0.00013628379086263318j),(0.999999992095002-0.00013628379086263318j),(-0.9517560902664979+0.30685557619275716j),(-0.9517560902664979-0.30685557619275716j)
6,-1.9986618892717225,5.988422222920647e-06,1.409165976776727,58.4764041495054,3.011594627058689,1.0000000000000004,(0.7220506209234809+0.6918402682115348j),(0.7220506209234809-0.6918402682115348j),(1.00000000121462+5.26122401012448e-05j),(1.00000000121462-5.26122401012448e-05j),(-0.9517561320082188+0.3068554467248623j),(-0.9517561320082188-0.3068554467248623j)
7,-1.998661898133042,6.9819246234607445e-06,1.4091659896067965,58.47640426224337,3.011594621847365,1.0,(0.6221668686737447+0.7828846791295677j),(0.6221668686737447-0.7828846791295677j),(0.9999999971020244+9.455036624773866e-05j),(0.9999999971020244-9.455036624773866e-05j),(-0.9517561810647298+0.30685529456903426j),(-0.9517561810647298-0.30685529456903426j)
8,-1.998661908328671,7.973312109145987e-06,1.40916600436878,58.47640439196998,3.0115946158513243,1.0000000000000022,(0.5072617579280763+0.8617919533472466j),(0.5072617579280763-0.8617919533472466j),(0.9999999974988185+6.94580456116721e-05j),(0.9999999974988185-6.94580456116721e-05j),(-0.9517562375719684+0.3068551193036014j),(-0.9517562375719684-0.3068551193036014j)
9,-1.9986619198464768,8.96230439158714e-06,1.4091660210451171,58.4764045385425,3.01159460907769,1.0000000000000018,(0.3774516831810331+0.9260292177404719j),(0.3774516831810331-0.9260292177404719j),(1.000000000030007+2.6476533955237232e-05j),(1.000000000030007-2.6476533955237232e-05j),(-0.9517563013665196+0.3068549214353527j),(-0.9517563013665196-0.3068549214353527j)
