Index,Initial x,Initial z,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.008527637855225,0.0,1.4220317878307214,-9.860134806573764e-26,55.88031278521501,3.009761176340147,22757.038948195048,(45514.07787441887+0j),(2.1973001631596152e-05+0j),(1.0001846103827112+0j),(0.9998153888815179+0j),(1.000012587647783+0j),(0.9999874125106643+0j)
1,-2.0085290032828826,0.0,1.4220344754534655,-0.0009999954557945007,55.88031273299831,3.009757337008518,22758.080554322616,(45516.16108667501+0j),(2.1971714443270495e-05+0j),(0.9992824435394326+0.03787442823858467j),(0.9992824435394326-0.03787442823858467j),(1.0000011974053589+0j),(0.9999988905379013+0j)
2,-2.0085330994794584,0.0,1.4220425381003368,-0.001999954559307081,55.88031257550092,3.0097458194258744,22761.941206613294,(45522.41016136466+0j),(2.1966492036100705e-05+0j),(0.9971308241917884+0.07569731835843993j),(0.9971308241917884-0.07569731835843993j),(0.9999984143858894+0j),(1.000001555386793+0j)
3,-2.008539926157178,0.0,1.4220559750689414,-0.002999840966438858,55.88031231336251,3.0097266248373016,22767.67545132369,(45532.82353269623+0j),(2.1960959576664747e-05+0j),(0.9935475277766537+0.11341656907891036j),(0.9935475277766537-0.11341656907891036j),(0.9999998114311026+0j),(1.000000181999075+0j)
4,-2.008549482841377,0.0,1.4220747851954365,-0.003999618349357035,55.880311947118656,3.009699755315898,22773.699238092373,(45547.398454229595+0j),(2.19559234847041e-05+0j),(0.9885368912878496+0.1509794851467405j),(0.9885368912878496-0.1509794851467405j),(1.000000007933254+5.379180189126628e-07j),(1.000000007933254-5.379180189126628e-07j)
5,-2.008561768867859,0.0,1.4220989668511916,-0.004999250404639021,55.8803114775191,3.0096652137628044,22783.571860618147,(45566.131136095115+0j),(2.1945637115182335e-05+0j),(0.9821049111072635+0.18833483190352326j),(0.9821049111072635-0.18833483190352326j),(0.9999999889116479+1.2431641687951167e-06j),(0.9999999889116479-1.2431641687951167e-06j)
6,-2.0085767833832775,0.0,1.4221285179436218,-0.005998700861374701,55.88031090552692,3.0096230039059355,22794.50835193818,(45589.016681941255+0j),(2.1935822575623107e-05+0j),(0.9742591606781767+0.22543082910761525j),(0.9742591606781767-0.22543082910761525j),(1.0000009903359168+0j),(0.9999990116241959+0j)
7,-2.008594525345546,0.0,1.4221634359171365,-0.006997933489243759,55.880310232318536,3.009573130298424,22808.02457901163,(45616.04913610115+0j),(2.1922952666938664e-05+0j),(0.9650089958358821+0.2622167862324006j),(0.9650089958358821-0.2622167862324006j),(1.0000002322417407+0j),(0.9999997584996506+0j)
8,-2.0086149935244277,0.0,1.4222037177544191,-0.007996912106553698,55.880309459283154,3.009515598316664,22823.610722619713,(45647.22142333229+0j),(2.1907907816530288e-05+0j),(0.9543653394458083+0.29864132233813767j),(0.9543653394458083-0.29864132233813767j),(0.9999976291174273+0j),(1.0000023742843955+0j)
9,-2.0086381865021763,0.0,1.4222493599778536,-0.008995600588238057,55.88030858802173,3.009450414158089,22841.26275161006,(45682.52548132991+0j),(2.189142315830517e-05+0j),(0.942340777201647+0.33465473445811594j),(0.942340777201647-0.33465473445811594j),(0.9999984306139937+0j),(1.0000015672331128+0j)
10,-2.008664102674256,0.0,1.422300358651165,-0.009993962873807076,55.88030762034699,3.00937758483851,22861.668745117677,(45721.95206178994+0j),(2.187066945171895e-05+0j),(0.9289494674916633+0.3702066179151054j),(0.9289494674916633-0.3702066179151054j),(0.9999999970567699+1.296529023998922e-06j),(0.9999999970567699-1.296529023998922e-06j)
11,-2.0086927402502126,0.0,1.422356709381317,-0.010991962975239569,55.88030655828216,3.009297118189216,22882.745455950484,(45765.490890050445+0j),(2.1851511679612212e-05+0j),(0.9142071302902406+0.4052472961937677j),(0.9142071302902406-0.4052472961937677j),(0.9999999985734138+1.2914562007959162e-06j),(0.9999999985734138-1.2914562007959162e-06j)
12,-2.0087245867987193,0.0,1.4224193705139754,-0.012004480073884148,55.880305386112546,3.009207647616428,22907.72749251008,(45813.874055504435+0j),(2.1826695834481293e-05+0j),(0.8978805983400941+0.4402390937779252j),(0.8978805983400941-0.4402390937779252j),(0.9999999996349626+9.693016036236072e-07j),(0.9999999996349626-9.693016036236072e-07j)
13,-2.008759771735902,0.0,1.4224885954003097,-0.013031679342273133,55.88030410196813,3.009108813680589,22933.64348676051,(45867.28695171899+0j),(2.1804099417596e-05+0j),(0.8799251799274429+0.47511213541473335j),(0.8799251799274429-0.47511213541473335j),(0.9999978200167464+0j),(1.0000021803252142+0j)
14,-2.0087984285357607,0.0,1.42256464516505,-0.014073725193322607,55.88030270430127,3.009000246221192,22962.959690693824,(45925.91935961345+0j),(2.1774268674365137e-05+0j),(0.8602974729583408+0.5097923224160482j),(0.8602974729583408-0.5097923224160482j),(1.0000012336111965+0j),(0.9999987690195363+0j)
