Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.9907700394323442,-4.79036747789736e-29,1.4006982678972055,36.90169692854437,3.0078921549114535,5434.3438001557315,(10868.685184955086+0j),(9.20074295296435e-05+0j),(1.0000749766256622+0j),(0.999925023365332+0j),(0.9999999362454491+0.0003570841395819221j),(0.9999999362454491-0.0003570841395819221j)
1,-1.9907698703527736,0.0009999999718213188,1.4006981080700627,36.901697022878764,3.007891887256558,5434.311183535328,(10868.620129251356+0j),(9.200798175629242e-05+0j),(0.9999915504412171+0.004109036870315255j),(0.9999915504412171-0.004109036870315255j),(1.0000000045626003+8.51664296741668e-06j),(1.0000000045626003-8.51664296741668e-06j)
2,-1.990769350264912,0.001999999416700025,1.4006976083902294,36.90169548655724,3.0078910962360927,5434.204345918192,(10868.408599826595+0j),(9.200979308450941e-05+0j),(0.9999662198644339+0.008219663221944675j),(0.9999662198644339-0.008219663221944675j),(0.99999322432906+0j),(1.0000067756130144+0j)
3,-1.9907684834571062,0.0029999978746794794,1.4006967755964561,36.90169292598115,3.007889777871269,5434.028074090969,(10868.056056169164+0j),(9.201280076725134e-05+0j),(0.999923995174191+0.01232913105567733j),(0.999923995174191-0.01232913105567733j),(0.9999959275579539+0j),(1.0000040701178996+0j)
4,-1.9907672699372856,0.003999994852269323,1.4006956096976508,36.90168934109019,3.007887932165998,5433.781299015932,(10867.56250601491+0j),(9.201697317994202e-05+0j),(0.9998648774242358+0.016438472397475333j),(0.9998648774242358-0.016438472397475333j),(0.9999999994216964+7.622010275282536e-06j),(0.9999999994216964-7.622010275282536e-06j)
5,-1.9907657097165752,0.004999989855930319,1.400694110706312,36.901684731799854,3.0078855591257563,5433.464026631064,(10866.927961239802+0j),(9.202236196341137e-05+0j),(0.999788865930145+0.020547978898546204j),(0.999788865930145-0.020547978898546204j),(1.0000000013539967+4.191117881605174e-06j),(1.0000000013539967-4.191117881605174e-06j)
6,-1.9907638028092451,0.005999982392057873,1.4006922786384712,36.90167909800147,3.007882658757579,5433.078184129317,(10866.15243545562+0j),(9.202886232986976e-05+0j),(0.9996959644096411+0.02465713494968516j),(0.9996959644096411-0.02465713494968516j),(0.9999999995281845+8.23793677623647e-06j),(0.9999999995281845-8.23793677623647e-06j)
7,-1.9907615492327593,0.006999971966965949,1.4006901135137455,36.90167243956228,3.007879231070078,5432.618055876371,(10865.235946581206+0j),(9.203665692907154e-05+0j),(0.9995861652135505+0.02876614895835282j),(0.9995861652135505-0.02876614895835282j),(0.9999999998958193+9.48526029678007e-06j),(0.9999999998958193-9.48526029678007e-06j)
8,-1.99075894900776,0.007999958086870476,1.4006876153553254,36.90166475632527,3.007875276073424,5432.08930385431,(10864.178515663005+0j),(9.204564635480336e-05+0j),(0.999459468372203+0.03287517691062987j),(0.999459468372203-0.03287517691062987j),(1.0000095925729828+0j),(0.9999904085498598+0j)
9,-1.9907560021580633,0.008999940257873177,1.4006847841899652,36.90165604810931,3.007870793779356,5431.490796443062,(10862.980166670202+0j),(9.205575834991158e-05+0j),(0.9993158726927838+0.03698363820894995j),(0.9993158726927838-0.03698363820894995j),(0.9999931833250759+0j),(1.0000068174809194+0j)
10,-1.9907527087106633,0.009999917985944965,1.4006816200479906,36.90164631470905,3.0078657842011802,5430.82202307051,(10861.640926456064+0j),(9.206709446822968e-05+0j),(0.9991553746298762+0.04109179404329199j),(0.9991553746298762-0.04109179404329199j),(1.0000000003724852+3.6561027289180513e-06j),(1.0000000003724852-3.6561027289180513e-06j)
11,-1.9907526740259758,0.010009917738911302,1.4006815867251574,36.90164621219713,3.0078657314426627,5430.813457400547,(10861.626822733855+0j),(9.206727185177376e-05+0j),(0.9991536853945822+0.04113296298398234j),(0.9991536853945822-0.04113296298398234j),(0.9999911554514025+0j),(1.0000088430570917+0j)
12,-1.990752637569747,0.010020417478993343,1.4006815517003404,36.90164610444926,3.007865675989472,5430.809194236866,(10861.611998647579+0j),(9.206731195211042e-05+0j),(0.999151907944389+0.04117602496148186j),(0.999151907944389-0.04117602496148186j),(0.9999982516119941+0j),(1.0000017485357533+0j)
13,-1.9907525992495874,0.010031442205491637,1.4006815148847807,36.901645991192275,3.0078656177010576,5430.799529990271,(10861.596416310349+0j),(9.206747578824838e-05+0j),(0.9991500404762955+0.041221350122985806j),(0.9991500404762955-0.041221350122985806j),(0.9999938113578086+0j),(1.0000061886168046+0j)
14,-1.9907525589680821,0.010043018167666203,1.4006814761848871,36.90164587213833,3.0078655564292474,5430.79081228095,(10861.580036820098+0j),(9.206762357841987e-05+0j),(0.9991480764802193+0.0412688433144494j),(0.9991480764802193-0.0412688433144494j),(1.000000000862843+5.163157597634328e-06j),(1.000000000862843-5.163157597634328e-06j)
15,-1.9907525166225144,0.010055172927233388,1.4006814355019752,36.901645746983796,3.0078654920178014,5430.784161352319,(10861.562817983173+0j),(9.206773633105114e-05+0j),(0.9991460129361693+0.041318848878404625j),(0.9991460129361693-0.041318848878404625j),(0.9999930477122011+0j),(1.000006953756686+0j)
16,-1.9907524721045669,0.010067935423988235,1.4006813927319852,36.901645615408434,3.0078654243019405,5430.772403907132,(10861.544715746328+0j),(9.206795937788181e-05+0j),(0.9991438438751703+0.041371218865143056j),(0.9991438438751703-0.041371218865143056j),(1.0000000001715559+3.7712903683670948e-06j),(1.0000000001715559-3.7712903683670948e-06j)
17,-1.9907524252999578,0.010081336044708199,1.4006813477651179,36.901645477074595,3.0078653531078525,5430.762887911851,(10861.525683755604+0j),(9.206810625337972e-05+0j),(0.9991415627944001+0.041426274726042066j),(0.9991415627944001-0.041426274726042066j),(1.000000000234002+3.117791681802263e-06j),(1.000000000234002-3.117791681802263e-06j)
18,-1.990752376088144,0.01009540669550057,1.40068130048557,36.90164533162582,3.0078652782521456,5430.753669146522,(10861.50567289273+0j),(9.206825326637581e-05+0j),(0.9991391645923147+0.04148403192053519j),(0.9991391645923147-0.04148403192053519j),(1.0000000001260312+7.660518641044695e-06j),(1.0000000001260312-7.660518641044695e-06j)
19,-1.9907523243418788,0.010110180877768762,1.400681250771084,36.90164517868616,3.0078651995413,5430.742361647359,(10861.484631226273+0j),(9.206845525999345e-05+0j),(0.9991366428306172+0.04154480997557181j),(0.9991366428306172-0.04154480997557181j),(0.9999946146712387+0j),(1.000005385339936+0j)
20,-1.990752269926887,0.010125693767975478,1.4006811984926624,36.90164501785855,3.007865116771041,5430.73227532357,(10861.46250465993+0j),(9.206861595999488e-05+0j),(0.9991339902204326+0.04160844755209317j),(0.9991339902204326-0.04160844755209317j),(1.0000000006815486+8.157797389511401e-06j),(1.0000000006815486-8.157797389511401e-06j)
