Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.855500971082823,1.7488508524270416,25.358584350534244,1.4647489854608673,17.588799811205607,(-35.14914938649618+0j),(-0.028450190578277457+0j),(0.9999999769918704+0.0002171695066850045j),(0.9999999769918704-0.0002171695066850045j),(-0.4023111558100726+0.9155029950301661j),(-0.4023111558100726-0.9155029950301661j)
1,-1.854230434114652,1.74431873919661,25.361958182467852,1.476610146063154,15.230101452523416,(-30.42733769696411+0j),(-0.03286518226177787+0j),(0.999999979848752+0.0002030444638148816j),(0.999999979848752-0.0002030444638148816j),(-0.446493729339288+0.8947867621165684j),(-0.446493729339288-0.8947867621165684j)
2,-1.852917482542367,1.739802322019535,25.365351195318674,1.488247537819849,12.409614388557806,(-24.778871798608012+0j),(-0.04035696247515012+0j),(0.9999999825594117+0.0001888721321209886j),(0.9999999825594117-0.0001888721321209886j),(-0.4905021670791996+0.8714399715923618j),(-0.4905021670791996-0.8714399715923618j)
3,-1.8515662017312982,1.7353010085936138,25.368764239479688,1.499676815010912,9.121445832433286,(-18.187910076736163+0j),(-0.05498157816003806+0j),(0.9999999839666993+0.000180705019270503j),(0.9999999839666993-0.000180705019270503j),(-0.5343369040757178+0.8452715971455586j),(-0.5343369040757178-0.8452715971455586j)
4,-1.8501800553290222,1.730814251841884,25.372197961659637,1.5109114722259749,5.359668960673087,(-10.62522224290303+0j),(-0.09411567848886278+0j),(0.9999999842346683+0.00017636468777074268j),(0.9999999842346683-0.00017636468777074268j),(-0.577995709621592+0.8160398027407351j),(-0.577995709621592-0.8160398027407351j)
5,-1.8487620129661058,1.7263415466135739,25.3756528502527,1.5219632626169837,1.1184259931551042,(-1.6193019280023782+0j),(-0.6175500582520772+0j),(0.9999999851563022+0.00017261288056681965j),(0.9999999851563022-0.00017261288056681965j),(-0.621474348081128+0.783434512052731j),(-0.621474348081128-0.783434512052731j)
6,-1.8473146460275431,1.7218824260318046,25.379129269434788,1.532842516233413,3.6080370606929333,(7.074725888050846+0j),(0.14134823252653705+0j),(0.9999999832590138+0.00018361694285913929j),(0.9999999832590138-0.00018361694285913929j),(-0.6647670753688679+0.7470506913882748j),(-0.6647670753688679-0.7470506913882748j)
7,-1.845840200493887,1.717436457917952,25.382627484922082,1.5435583853613157,8.825317418645056,(17.593796615435693+0j),(0.05683821528032231+0j),(0.9999999895112643+0.00014591539611165648j),(0.9999999895112643-0.00014591539611165648j),(-0.7078670123196524+0.7063457318253674j),(-0.7078670123196524-0.7063457318253674j)
8,-1.844340653456551,1.7130032414354015,25.38614768395149,1.5541190372261404,14.538835099777078,(29.043238777834826+0j),(0.034431421634706416+0j),(0.9999999899094446+0.000142185866404062j),(0.9999999899094446-0.000142185866404062j),(-0.7507664348102339+0.6605677560709373j),(-0.7507664348102339-0.6605677560709373j)
9,-1.842817757444372,1.708582404019399,25.389689990701257,1.5645318069275165,20.753792153170707,(41.48347832390204+0j),(0.024105982455594248+0j),(0.9999999873315986+0.0001570737371779183j),(0.9999999873315986-0.0001570737371779183j),(-0.7934569960684055+0.6086263183501622j),(-0.7934569960684055-0.6086263183501622j)
10,-1.8412730756877569,1.7041735986390742,25.393254478540594,1.5748033203471556,27.475154005999478,(54.93210372102407+0j),(0.018204290981326268+0j),(0.9999999875948082+0.00015621025098445815j),(0.9999999875948082-0.00015621025098445815j),(-0.8359299037944637+0.5488362195960939j),(-0.8359299037944637-0.5488362195960939j)
11,-1.8397080105600276,1.699776501325491,25.39684117973297,1.584939594355073,34.70767104427859,(69.40093306037986+0j),(0.014409028180192495+0j),(0.9999999886861781+0.0001497622685881892j),(0.9999999886861781-0.0001497622685881892j),(-0.8781760595232342+0.47833754659106187j),(-0.8781760595232342-0.47833754659106187j)
12,-1.8381238265649826,1.6953908090124838,25.40045009314588,1.5949461185214173,42.45584974011016,(84.89992090623196+0j),(0.011778573996151821+0j),(0.999999988839673+0.0001474255967572237j),(0.999999988839673-0.0001474255967572237j),(-0.9201861688439965+0.3914810527555031j),(-0.9201861688439965-0.3914810527555031j)
13,-1.8365216692914752,1.691016237586318,25.40408119045018,1.6048279231860834,50.72392055398497,(101.4379828173811+0j),(0.009858240194932758+0j),(0.9999999915959721+0.00013160259185929365j),(0.9999999915959721-0.00013160259185929365j),(-0.961950829488615+0.273222622864031j),(-0.961950829488615-0.273222622864031j)
14,-1.8349025811129542,1.6866525202015548,25.407734421379697,1.6145896361770253,59.51590268414647,(119.02340361517405+0j),(0.008401708985422725+0j),(0.9999999945467237+0.00010628591408302064j),(0.9999999945467237-0.00010628591408302064j),(-1.0867263779218685+0j),(-0.9201948349785812+0j)
15,-1.8332675142045232,1.6822994057380831,25.411409717652308,1.6242355304389435,68.8355444756765,(137.6638248509345+0j),(0.0072640724669663995+0j),(0.9999999944692533+0.00010652661156933351j),(0.9999999944692533-0.00010652661156933351j),(-0.7423638855434255+0j),(-1.3470482865241777+0j)
16,-1.8316173415607624,1.677956657462871,25.415106996469994,1.633769564519028,78.68633764395592,(157.36632064309666+0j),(0.006354599863730241+0j),(0.9999999953884184+9.769127963766781e-05j),(0.9999999953884184-9.769127963766781e-05j),(-0.6629527701361777+0j),(-1.508403079443307+0j)
