Index,Initial x,Initial vx,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.6051266578099481,-2.6139356802108355e-10,1.412855586285213,31.744077597036835,1.8298990403621955,1.9750824323233749,(0.9943058016404884+0.10656439337212509j),(0.9943058016404884-0.10656439337212509j),(1.0000000000284026+3.826854755244122e-06j),(1.0000000000284026-3.826854755244122e-06j),(-3.6783001560664137+0j),(-0.27186470858034223+0j)
1,-1.6051252132226719,9.463557984206722e-06,1.4128530922753624,31.74407915426391,1.8299025800753324,1.9751057129493743,(0.996265462745374+0.08634317188755017j),(0.996265462745374-0.08634317188755017j),(0.9999881912975005+0j),(1.000011793132184+0j),(-3.6783504332772825+0j),(-0.2718609926213599+0j)
2,-1.605124235724579,1.9148344877078417e-05,1.412851373020501,31.74408066895625,1.829905064485232,1.9751185425643076,(0.9863040024890586+0.16493763057454544j),(0.9863040024890586-0.16493763057454544j),(0.9999837017795095+0j),(1.000016292633242+0j),(-3.6783781402713247+0j),(-0.2718589448572069+0j)
3,-1.6051226963466918,2.834670621057694e-05,1.4128486655062646,31.744083054429048,1.8299089769830246,1.97513948558721,(0.970027628529955+0.24299465077062954j),(0.970027628529955-0.24299465077062954j),(0.9999770038855924+0j),(1.0000229946891739+0j),(-3.67842336900938+0j),(-0.2718556021650411+0j)
4,-1.6051207110642076,3.6972343174810994e-05,1.4128451737180487,31.74408613091505,1.829914022786852,1.9751664890006149,(0.9490667563690098+0.3150750583192026j),(0.9490667563690098-0.3150750583192026j),(0.9999758892827427+0j),(1.0000241109159225+0j),(-3.6784816856894182+0j),(-0.27185129231181254+0j)
5,-1.6051183844234176,4.50247617943277e-05,1.4128410815371089,31.744089736395896,1.829919936170089,1.975198133155871,(0.9245027839088856+0.38117529066938416j),(0.9245027839088856-0.38117529066938416j),(0.9999767395090553+0j),(1.000023261139705+0j),(-0.2718462419653167+0j),(-3.678550024346424+0j)
6,-1.6051157984928421,5.254592816344282e-05,1.4128365333069035,31.744093743724683,1.8299265085456675,1.9752333034336582,(0.8971970730815881+0.44163040111913854j),(0.8971970730815881-0.44163040111913854j),(0.9999791040870557+0j),(1.0000208981833185+0j),(-0.2718406290941693+0j),(-3.678625977773149+0j)
7,-1.6051130141416836,5.959197734023049e-05,1.4128316360877482,31.744098058565687,1.829933585199674,1.9752711724711642,(0.8677910591366791+0.496929250795535j),(0.8677910591366791-0.496929250795535j),(0.9999795647051365+0j),(1.0000204329230262+0j),(-3.678707759138131+0j),(-0.2718345858041977+0j)
8,-1.6051100757957446,6.621939299189541e-05,1.412826468016871,31.74410261208543,1.8299410532170732,1.9753111364484057,(0.8367538713875606+0.5475791852218139j),(0.8367538713875606-0.5475791852218139j),(0.9999819493623172+0j),(1.0000180483093122+0j),(-3.6787940643866612+0j),(-0.2718282085101531+0j)
9,-1.6051070159317822,7.247943133138064e-05,1.4128210862156092,31.74410735396002,1.8299488300519096,1.9753527535527282,(0.8044288444776418+0.5940490174385853j),(0.8044288444776418-0.5940490174385853j),(0.9999843867327824+0j),(1.000015611577163+0j),(-3.6788839393454364+0j),(-0.27182156776000976+0j)
