Index,Initial x,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.9403423004303427,0.1301709417016952,3.4636728913251646e-38,36.98402816945325,3.0084483287653287,3929.4560259665677,(7858.911924689058+0j),(0.00012724407869885967+0j),(0.9999999999438389+1.0619553127447732e-05j),(0.9999999999438389-1.0619553127447732e-05j),(1.0000106525198325+0j),(0.9999893475936427+0j)
1,-0.9403422990076373,0.1301709456938648,9.99999998339168e-05,36.98402816164168,3.008448318322213,3929.456195295391,(7858.91226334671+0j),(0.00012724407304734773+0j),(0.9999976137323473+0.0021846119891588255j),(0.9999976137323473-0.0021846119891588255j),(1.0000000000001275+5.752137000544799e-07j),(1.0000000000001275-5.752137000544799e-07j)
2,-0.9403422947408274,0.13017095767388628,0.00019999999832518312,36.984028137975656,3.008448286991403,3929.4567057840486,(7858.913284324041+0j),(0.0001272440565397258+0j),(0.999990455025737+0.00436919437632832j),(0.999990455025737-0.00436919437632832j),(0.999999999999033+5.710550741220075e-07j),(0.999999999999033-5.710550741220075e-07j)
3,-0.9403422876294645,0.1301709776405604,0.00029999999413427144,36.98402809853239,3.0084482347734007,3929.4575627152262,(7858.914986698751+0j),(0.00012724402798996637+0j),(0.9999785238589618+0.006553763924912327j),(0.9999785238589618-0.006553763924912327j),(0.999999999999797+5.785961878097928e-07j),(0.999999999999797-5.785961878097928e-07j)
4,-0.940342277673548,0.13017100559388245,0.00039999998592006787,36.98402804331167,3.00844816166821,3929.4587483727632,(7858.917369501537+0j),(0.0001272439897645865+0j),(0.9999618202715832+0.008738306397686909j),(0.9999618202715832-0.008738306397686909j),(1.0000000000000178+5.627407110909229e-07j),(1.0000000000000178-5.627407110909229e-07j)
5,-0.9403422648730664,0.13017104153382614,0.000499999972341501,36.984027972313605,3.0084480676758454,3929.4602960613342,(7858.920433535981+0j),(0.00012724393947857965+0j),(0.9999403442925072+0.01092281367053161j),(0.9999403442925072-0.01092281367053161j),(0.9999999999991964+6.0208208464961e-07j),(0.9999999999991964-6.0208208464961e-07j)
6,-0.9403422492280118,0.13017108546036776,0.0005999999520574583,36.98402788553805,3.0084479527963195,3929.46218361,(7858.924177964135+0j),(0.00012724387835593112+0j),(0.9999140959836708+0.013107274805715777j),(0.9999140959836708-0.013107274805715777j),(0.9999999999998279+5.942212490891584e-07j),(0.9999999999998279-5.942212490891584e-07j)
7,-0.9403422307383573,0.13017113737344616,0.0006999999237268554,36.984027782984946,3.0084478170296647,3929.4643974034566,(7858.928603026025+0j),(0.00012724380666889035+0j),(0.9998830754045607+0.015291681341582316j),(0.9998830754045607-0.015291681341582316j),(1.0000000000001017+5.932445158733834e-07j),(1.0000000000001017-5.932445158733834e-07j)
8,-0.9403422094040934,0.13017119727303644,0.0007999998860086036,36.98402766465427,3.0084476603758983,3929.466918250618,(7858.9337092575115+0j),(0.00012724372687479188+0j),(0.9998472826296032+0.017476024109397355j),(0.9998472826296032-0.017476024109397355j),(1.0000000000005187+5.863917637924993e-07j),(1.0000000000005187-5.863917637924993e-07j)
9,-0.9403421852251893,0.13017126515906471,0.0008999998375616002,36.984027530545866,3.0084474828350576,3929.4698116826166,(7858.939496121602+0j),(0.00012724363143531316+0j),(0.9998067177424574+0.019660293858504686j),(0.9998067177424574-0.019660293858504686j),(1.000000000001115+5.650508865400215e-07j),(1.000000000001115-5.650508865400215e-07j)
10,-0.9403421582016259,0.13017134103148154,0.000999999777044759,36.98402738065967,3.00844728440717,3929.473051078657,(7858.945963527984+0j),(0.0001272435264464291+0j),(0.9997613808424058+0.02184448157014069j),(0.9997613808424058-0.02184448157014069j),(0.9999999999995886+5.749746881630197e-07j),(0.9999999999995886-5.749746881630197e-07j)
11,-0.9403421267652874,0.13017142929279377,0.0011049996990505284,36.98402720629821,3.008447053578248,3929.4768305897446,(7858.953487305874+0j),(0.00012724340405905913+0j),(0.9997086413400929+0.024137780122793363j),(0.9997086413400929-0.024137780122793363j),(1.0000000000002107+5.31239809146935e-07j),(1.0000000000002107-5.31239809146935e-07j)
12,-0.9403420903816825,0.1301715314433626,0.00121524959751425,36.98402700449697,3.0084467864241344,3929.4811610199563,(7858.962194796649+0j),(0.00012724326396749218+0j),(0.9996476028375982+0.02654562373560589j),(0.9996476028375982-0.02654562373560589j),(1.0000000000008245+4.890302279863778e-07j),(1.0000000000008245-4.890302279863778e-07j)
13,-0.940342048457412,0.13017164914882828,0.0013310119671976076,36.98402677196484,3.0084464785883074,3929.4861775593026,(7858.972227875503+0j),(0.0001272431024071165+0j),(0.9995772702254841+0.029073714088513492j),(0.9995772702254841-0.029073714088513492j),(0.999999999999666+4.1683580920171005e-07j),(0.999999999999666-4.1683580920171005e-07j)
14,-0.9403420003339346,0.13017178425765627,0.0014525624268614471,36.984026505049314,3.0084461252360506,3929.491953809682,(7858.983744511013+0j),(0.00012724291434434027+0j),(0.999496539211019+0.0317280334328483j),(0.999496539211019-0.0317280334328483j),(1.0000000000003926+2.868641629349231e-07j),(1.0000000000003926-2.868641629349231e-07j)
15,-0.9403419452806446,0.13017193882039982,0.0015801903753390185,36.98402619969833,3.0084457210038855,3929.4985235069603,(7858.996919771219+0j),(0.0001272427017225016+0j),(0.9994041848012405+0.0345148576742886j),(0.9994041848012405-0.0345148576742886j),(0.9999999929255129+0j),(1.0000000070756248+0j)
16,-0.9403418824872907,0.1301721151111275,0.001714199680391958,36.984025851418025,3.008445259943685,3929.5060742820556,(7859.011945945906+0j),(0.0001272424571036385+0j),(0.9992988485801296+0.03744076955414161j),(0.9992988485801296-0.03744076955414161j),(1.0000004056898215+0j),(0.999999594310562+0j)
17,-0.9403418110555231,0.13017231565088733,0.0018549094019847216,36.98402545522611,3.008444735461049,3929.5145857802618,(7859.029044318342+0j),(0.0001272421823460004+0j),(0.9991790245017479+0.04051267695410535j),(0.9991790245017479-0.04051267695410535j),(1.0000000000003908+7.180206526919354e-07j),(1.0000000000003908-7.180206526919354e-07j)
18,-0.9403417395892423,0.13017251628426776,0.001985732932201266,36.98402505884368,3.008444210730414,3929.5231350423414,(7859.046142842778+0j),(0.00012724190480132078+0j),(0.999059146143096+0.04336845064191826j),(0.999059146143096-0.04336845064191826j),(1.0000002355461126+0j),(0.9999997644521127+0j)
19,-0.9403416485328285,0.13017277190994528,0.002140865279083991,36.98402455380747,3.008443542169981,3929.5340320587934,(7859.067936876035+0j),(0.0001272415523977956+0j),(0.9989064118969959+0.0467544679735735j),(0.9989064118969959-0.0467544679735735j),(0.9999999999978306+7.350917223427894e-07j),(0.9999999999978306-7.350917223427894e-07j)
