Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.039491560241291,-1.0416214296345906e-29,-0.02277030702141187,29.876949145788846,3.015129822374698,3654.390436763244,(7308.780736704762+0j),(0.00013682172712799456+0j),(1.000005182395399+0j),(0.9999948176188157+0j),(0.9999999999920799+3.9859043594228715e-06j),(0.9999999999920799-3.9859043594228715e-06j)
1,-1.0394915590210931,-9.999998439568139e-05,-0.02277030502783384,29.8769490341573,3.015129813094888,3654.388948572852,(7308.777755716146+0j),(0.0001368217823544385+0j),(0.9999988506062126+0.0015161756917249716j),(0.9999988506062126-0.0015161756917249716j),(0.9999999999959804+4.396236889606594e-06j),(0.9999999999959804-4.396236889606594e-06j)
2,-1.0394915553618629,-0.00019999984390604294,-0.02277029904457086,29.876948699202263,3.0151297852558923,3654.384474425569,(7308.768812029188+0j),(0.00013682195143689796+0j),(0.9999954020092399+0.0030324888151232127j),(0.9999954020092399-0.0030324888151232127j),(0.9999999999840339+4.231904028718274e-06j),(0.9999999999840339-4.231904028718274e-06j)
3,-1.0394915492631835,-0.00029999945365842394,-0.02277028907246629,29.87694814094521,3.0151297388577274,3654.377023950721,(7308.753905961193+0j),(0.00013682222881852916+0j),(0.9999896542223035+0.00454878676859519j),(0.9999896542223035-0.00454878676859519j),(0.9999999999969387+4.888549192971961e-07j),(0.9999999999969387-4.888549192971961e-07j)
4,-1.039491540725101,-0.0003999986887774351,-0.02277027511154149,29.876947359388286,3.0151296739006312,3654.3665960764106,(7308.733037820475+0j),(0.00013682261924598653+0j),(0.9999816076626902+0.006065010314023407j),(0.9999816076626902-0.006065010314023407j),(0.9999999999874516+4.399928025907944e-06j),(0.9999999999874516-4.399928025907944e-06j)
5,-1.0394915297476903,-0.0004999974243915411,-0.022770257161803784,29.876946354534297,3.01512959038494,3654.353172123475,(7308.706207423828+0j),(0.0001368231220728635+0j),(0.9999712619397425+0.0075812470504269145j),(0.9999712619397425-0.0075812470504269145j),(0.9999999999863439+4.323132659830224e-06j),(0.9999999999863439-4.323132659830224e-06j)
6,-1.0394915163310356,-0.000599995535634824,-0.022770235223287357,29.87694512638696,3.0151294883110835,3654.33677594484,(7308.673415065945+0j),(0.0001368237359387894+0j),(0.9999586171038356+0.009097476945159515j),(0.9999586171038356-0.009097476945159515j),(0.9999999999991177+1.1721897833776332e-06j),(0.9999999999991177-1.1721897833776332e-06j)
7,-1.039491500475242,-0.0006999928976482629,-0.02277020929602823,29.876943674950812,3.0151293676795863,3654.3174023670476,(7308.634660827373+0j),(0.00013682446112551596+0j),(0.9999436734079822+0.010613669886860815j),(0.9999436734079822-0.010613669886860815j),(1.0000000000030382+1.0800290657276906e-06j),(1.0000000000030382-1.0800290657276906e-06j)
8,-1.0394914821804593,-0.0007999893855808046,-0.022770179380025533,29.876942000231146,3.0151292284910762,3654.2950410293424,(7308.589945233386+0j),(0.00013682529885812307+0j),(0.9999264309437867+0.012129827154511977j),(0.9999264309437867-0.012129827154511977j),(0.9999999999933071+4.399990402182862e-06j),(0.9999999999933071-4.399990402182862e-06j)
9,-1.0394914614468134,-0.0008999848745915269,-0.02277014547536049,29.876940102234204,3.0151290707462644,3654.269702479329,(7308.539268132411+0j),(0.00013682624713543684+0j),(0.9999068893213929+0.01364597697463543j),(0.9999068893213929-0.01364597697463543j),(0.9999999999971645+1.0719928791709393e-06j),(0.9999999999971645-1.0719928791709393e-06j)
