Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.6090838142369368,1.12534017074361,88.47353197292983,2.5693009798515654,14848829.510416413,(29697659.020832792+0j),(1.000110875631065+0j),(0.9998891306425917+0j),(3.497858647647076e-08+0j),(-0.11616263341405268+0.993230206245441j),(-0.11616263341405268-0.993230206245441j)
1,-1.6094737588048291,1.1260492964155382,88.47235709588881,2.5686560901151356,14762731.663374914,(29525463.326749794+0j),(0.9999999992290087+6.269828628854192e-05j),(0.9999999992290087-6.269828628854192e-05j),(3.50101071266149e-08+0j),(-0.11521457700699483+0.9933406269982051j),(-0.11521457700699483-0.9933406269982051j)
2,-1.6098638073608345,1.1267586647791827,88.47118294317538,2.5680103536684427,15945860.232821498,(29353773.563797392+0j),(3.135610074963822e-08+0j),(1.000000002977919+0.00014091385663810588j),(1.000000002977919-0.00014091385663810588j),(-0.11426593966756746+0.9934501975599747j),(-0.11426593966756746-0.9934501975599747j)
3,-1.6102539598059924,1.1274682759293422,88.47000951557197,2.5673637692764224,14591295.621435983,(29182591.242871933+0j),(1.0000440608614263+0j),(0.9999559319055636+0j),(4.25210942322879e-08+0j),(-0.11331671861107376+0.9935589168656602j),(-0.11331671861107376-0.9935589168656602j)
4,-1.6106442160408259,1.1281781299607798,88.46883681386186,2.5667163357015026,16881016.08530664,(29011917.86354576+0j),(1.0000000122811046+5.698645618890432e-05j),(1.0000000122811046-5.698645618890432e-05j),(2.9619070171682618e-08+0j),(-0.11236691112375671+0.9936667838287411j),(-0.11236691112375671-0.9936667838287411j)
5,-1.6110345759653777,1.1288882269683171,88.46766483882938,2.5660680517034846,14420877.452140016,(28841754.90428+0j),(0.9999999784917275+5.206766811459338e-05j),(0.9999999784917275-5.206766811459338e-05j),(6.484750932395832e-08+0j),(-0.11141651444467393+0.9937737973548452j),(-0.11141651444467393-0.9937737973548452j)
6,-1.6114250394792018,1.1295985670467932,88.46649359125985,2.5654189160396044,14336051.910240775,(28672103.820481516+0j),(1.0000563526474697+0j),(0.9999436154144474+0j),(5.2977317450937276e-08+0j),(-0.11046552573385163+0.9938799563450338j),(-0.11046552573385163-0.9938799563450338j)
7,-1.611815606481365,1.1303091502911005,88.46532307193966,2.5647689274644545,18117936.70302842,(28502966.050293453+0j),(1.0000792258307223+0j),(0.9999207713135029+0j),(2.759696140876931e-08+0j),(-0.10951394214620455+0.9939852596873107j),(-0.10951394214620455-0.9939852596873107j)
8,-1.6122062768705192,1.1310199767962879,88.46415328165665,2.5641180847299267,21043060.196218893,(28334343.018154792+0j),(1.000161922476685+0j),(0.9998380958583575+0j),(2.3760802627454462e-08+0j),(-0.10856176088612446+0.9940897062505779j),(-0.10856176088612446-0.9940897062505779j)
9,-1.612597050544744,1.131731046657305,88.4629842211992,2.5634663865853944,14083118.070824608,(28166236.14164918+0j),(0.9999999927893257+0.00017366558663334657j),(0.9999999927893257-0.00017366558663334657j),(3.6254480031123963e-08+0j),(-0.10760897929994326+0.9941932948748313j),(-0.10760897929994326-0.9941932948748313j)
