Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.7028834587973578,-0.7062514732482043,45.12539961939083,2.869920789275684,209835.466647206,(419379.67989742476+0j),(2.3828193011979396e-06+0j),(0.997430080719038+0j),(1.0025765384146899+0j),(-18.216881249877318+0j),(-0.05489413836996215+0j)
1,-0.7026472939638067,-0.706845535185568,45.135317545905174,2.869729675528116,209450.89067392872,(418901.7813454702+0j),(2.3888262962538486e-06+0j),(0.9965045255799928+0j),(1.0035077341470893+0j),(-18.29193235264269+0j),(-0.054668909807955135+0j)
2,-0.7024110740906264,-0.7074399162456566,45.14523539069664,2.8695383373423544,209213.44254184334,(418426.8850812968+0j),(2.392838760382736e-06+0j),(0.9976511075168711+0j),(1.0023544177140498+0j),(-18.3673901356179+0j),(-0.05444431640076486+0j)
3,-0.7021747981180388,-0.7080346193827987,45.155153152912675,2.8693467735498506,208977.50873099666,(417955.0174596007+0j),(2.3956868686017576e-06+0j),(0.9975943105687707+0j),(1.0024114885402524+0j),(-18.443256823508083+0j),(-0.05422035866926045+0j)
4,-0.7019384649723706,-0.7086296475892914,45.16507083168903,2.869154982967977,209019.79404739634,(417486.16949069686+0j),(2.392117944052148e-06+0j),(0.9985386848119541+0j),(1.0014634583824273+0j),(-18.519534634594017+0j),(-0.05399703716809068+0j)
5,-0.7017020735660044,-0.709225003895575,45.174988426149696,2.868962964399951,208510.17193682215,(417020.3438712463+0j),(2.398378545235075e-06+0j),(0.999996837655438+0.0025145726340291543j),(0.999996837655438-0.0025145726340291543j),(-18.596225760839946+0j),(-0.053774352541238635+0j)
6,-0.7014656227973302,-0.7098206913704167,45.184905935406825,2.8687707166347325,208278.78161278245,(416557.5632231643+0j),(2.4008854595782872e-06+0j),(0.9999985563846854+0.001698964818712334j),(0.9999985563846854-0.001698964818712334j),(-18.673332363817046+0j),(-0.053552305529441374+0j)
7,-0.7012291115506788,-0.7104167131211298,45.194823358560626,2.86857823844693,208048.90825518646,(416097.81650796963+0j),(2.405010456145009e-06+0j),(0.9999999084664994+0.0004252200583358489j),(0.9999999084664994-0.0004252200583358489j),(-18.750856597491122+0j),(-0.053330896900665836+0j)
8,-0.7009925386963587,-0.71101307229355,45.20474069469934,2.8683855285967605,208003.69365538406,(415641.11145263293+0j),(2.4038034672176453e-06+0j),(0.9976290179370604+0j),(1.0023766209468206+0j),(-18.828800585755094+0j),(-0.05311012751159616+0j)
9,-0.7007559030904564,-0.7116097720725827,45.21465794289906,2.8681925858298567,207593.70952406633,(415187.4190457241+0j),(2.41026182065493e-06+0j),(0.9999928985943418+0.0037682926690346995j),(0.9999928985943418-0.0037682926690346995j),(-0.052889998238248026+0j),(-18.907166445634108+0j)
10,-0.7005192035749519,-0.7122068156819855,45.22457510222375,2.867999408877286,207394.0520766891,(414736.8109898566+0j),(2.410869525891797e-06+0j),(0.9988592723963149+0j),(1.0011420305876884+0j),(-18.98595622711689+0j),(-0.05267051014115487+0j)
11,-0.7002824389775855,-0.7128042063847505,45.23449217172511,2.867805996455407,207154.6774691648,(414289.2261340007+0j),(2.413655371490892e-06+0j),(0.9999973963572327+0.0022824291082741664j),(0.9999973963572327-0.0022824291082741664j),(-19.06517201588533+0j),(-0.05245166417416125+0j)
12,-0.7000456081118561,-0.7134019474831793,45.2444091504425,2.8676123472657977,206922.3498805704,(413844.6997587244+0j),(2.4179786734071455e-06+0j),(0.9999975541153729+0.0022106159163610144j),(0.9999975541153729-0.0022106159163610144j),(-0.05223346146612684+0j),(-19.144815831292753+0j)
13,-0.6998087097769559,-0.7140000423191042,45.25432603740286,2.8674184599951573,206701.62095354663,(413403.24190467433+0j),(1.0029737558884577+0j),(0.9970350586981316+0j),(2.4202174542759732e-06+0j),(-19.224889680245507+0j),(-0.05201590316679239+0j)
