Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.582499007433844,1.0597886943702466,77.50084029481128,2.648733146364303,1352642.7227060068,(2705285.445411644+0j),(1.000460076718542+0j),(0.9995405217772986+0j),(3.705413806666997e-07+0j),(39.3202981737025+0j),(0.025432157090518936+0j)
1,-1.582499007433844,1.0597886943702466,77.50084029481128,2.648733146364303,1578221.4562393795,(3122251.113798782+0j),(1.0002964441707052+0j),(0.9997035592944277+0j),(3.168123193505816e-07+0j),(39.29321484819798+0j),(0.02544968651361401+0j)
2,-1.5824602954720597,1.0597198163900272,77.50115948180519,2.648787770355093,1748595.9184517819,(3497191.836903278+0j),(0.9999999741751149+0.00023674611596837816j),(0.9999999741751149-0.00023674611596837816j),(2.870253711639843e-07+0j),(39.26334099670761+0j),(0.025469050127050252+0j)
3,-1.5824149984557396,1.0596392365246705,77.5014614761464,2.648851649019506,1951444.6706280408,(3839688.770024633+0j),(0.9999999518864192+0.00015895853803847825j),(0.9999999518864192-0.00015895853803847825j),(2.562204337769494e-07+0j),(39.231477578469075+0j),(0.025489735837759486+0j)
4,-1.5823665034441015,1.059552974575338,77.50175154773466,2.6489200154129704,1126689.213368126,(2238495.254222964+0j),(0.9999998968333808+0.00014342926928695172j),(0.9999998968333808-0.00014342926928695172j),(39.342955260876266+0j),(4.4377810142106353e-07+0j),(0.025417511047890903+0j)
5,-1.5823162056927431,1.0594635101953402,77.50203251544232,2.648990906030987,2095551.1668125708,(4130715.015517464+0j),(0.9999998594099992+0.0003341831327981155j),(0.9999998594099992-0.0003341831327981155j),(2.38600711792951e-07+0j),(0.025509576196121486+0j),(39.20096485774806+0j)
6,-1.5822648247968194,1.059372122203954,77.50230606978431,2.649063308324608,2748809.488825005,(5475482.675420709+0j),(0.9999999569897633+0.0001455639662743042j),(0.9999999569897633-0.0001455639662743042j),(1.8189692739082638e-07+0j),(39.01875779912026+0j),(0.025628699025918023+0j)
7,-1.5822127842316382,1.0592795631509873,77.50257331680926,2.64913662651871,3389151.830004231,(6567253.679015145+0j),(1.0003020334971908+0j),(0.9996980943345812+0j),(1.4752953691053335e-07+0j),(38.82052597427908+0j),(0.02575956855047634+0j)
8,-1.582164721532449,1.059194080694712,77.50281348060575,2.649204329124432,3751678.624100067,(7503357.248200001+0j),(1.0002700617403566+0j),(0.9997301556026422+0j),(1.348192532669507e-07+0j),(38.61408007614565+0j),(0.02589728922785922+0j)
9,-1.5818963827683934,1.0587168429372271,77.50408089889841,2.649582138602299,4165264.769350222,(8330529.538700324+0j),(1.0002319319306805+0j),(0.999768084673686+0j),(1.2334256142403363e-07+0j),(0.026039559630383735+0j),(38.403107202827584+0j)
10,-1.5816216705757085,1.058228292814005,77.50530413200684,2.6499686272524428,2391029.3172381786,(4685936.403095076+0j),(1.0002940608317574+0j),(0.9997059316533075+0j),(2.0911495998617035e-07+0j),(39.13396800838656+0j),(0.025553248262120576+0j)
11,-1.5813444304928108,1.0577352636435633,77.5064958122203,2.6503583847732113,4486773.299623003,(8973546.599245895+0j),(1.0001803278965389+0j),(0.9998196939008561+0j),(1.1192055307580959e-07+0j),(0.026164150520465057+0j),(38.220235708346394+0j)
12,-1.5810664276663147,1.0572408917903315,77.50766223242334,2.6507489308855234,5881001.88398858,(11762003.767977074+0j),(1.000000012988452+0.00019375020006223112j),(1.000000012988452-0.00019375020006223112j),(8.52381410539986e-08+0j),(37.227105533585124+0j),(0.02686214750428073+0j)
13,-1.580828238199651,1.056817329648362,77.50864494438257,2.6510833228002664,6953492.22631533,(13906984.452630587+0j),(0.9999999690394823+0.00025921748578947235j),(0.9999999690394823-0.00025921748578947235j),(7.750837149459273e-08+0j),(36.22207677885225+0j),(0.02760747281570053+0j)
14,-1.5795552425105683,1.0545537464475405,77.51373556663388,2.652867022373428,7827417.702597635,(15654835.405195206+0j),(0.9999999230076511+0.0001302916254415489j),(0.9999999230076511-0.0001302916254415489j),(7.917771865720572e-08+0j),(35.224016844736894+0j),(0.02838972069559631+0j)
15,-1.578275262230146,1.0522779390484434,77.51869475440974,2.6546547141664014,8559772.045887101,(17119544.091774143+0j),(1.0002741121036474+0j),(0.9997257827228552+0j),(5.985290037548789e-08+0j),(34.24113144984352+0j),(0.029204642418569016+0j)
16,-1.5769967083023912,1.0500048451034516,77.52355704382384,2.6564346584275937,14831919.12781797,(18365730.70009376+0j),(1.0000000069841217+0.00011534574152335105j),(1.0000000069841217-0.00011534574152335105j),(3.371107917263564e-08+0j),(0.03005023126312878+0j),(33.2776141136034+0j)
17,-1.5757232619720731,1.0477409974664238,77.52833858667539,2.6582018029350962,6271939.759615718,(12543879.519231357+0j),(0.9999999075689775+0.0003303865440361761j),(0.9999999075689775-0.0003303865440361761j),(8.292492365188236e-08+0j),(0.02711006743284372+0j),(36.88666590288616+0j)
18,-1.5744568858216204,1.045489874986796,77.53304862765096,2.6599535280856927,13878891.804863226,(19319713.739615656+0j),(0.9999999788690357+0.00014021216832557897j),(0.9999999788690357-0.00014021216832557897j),(3.6025931106747184e-08+0j),(0.030823334968150817+0j),(32.44295275101429+0j)
19,-1.5733430367786658,1.043510009829422,77.53716201862,2.6614896617582153,14927054.650053345,(22586477.385143526+0j),(1.0000000047956068+0.0002272073892324158j),(1.0000000047956068-0.0002272073892324158j),(3.349622626311037e-08+0j),(28.517139138765323+0j),(0.03506663116287534+0j)
20,-1.5678453179167118,1.0337393874563976,77.55718273513585,2.669008934110547,160734023.91594532,(-25332816.082691915+0j),(1.0000000669827354+0.00016397125969415464j),(1.0000000669827354-0.00016397125969415464j),(3.110729065437143e-09+0j),(21.946722320624858+0j),(0.04556489052855017+0j)
21,-1.5585504967337804,1.0172294360853091,77.57317120256305,2.6814791050297444,13416543.427477084,(-26833086.85495413+0j),(1.0002066522957975+0j),(0.9997933263416033+0j),(-3.9528208085620574e-08+0j),(18.034696450953735+0j),(0.05544867376723417+0j)
22,-1.5503639044698307,1.0026893616991552,77.59972751348819,2.692227874245971,16881335.991600875,(-27493978.53386113+0j),(0.9999999852136997+0.00016829450259821135j),(0.9999999852136997-0.00016829450259821135j),(-2.9618508881570157e-08+0j),(0.06908578973175761+0j),(14.474756731931759+0j)
23,-1.5412415729204387,0.9864903020547365,77.62959115186635,2.7039452071618686,13718117.816984862,(-27436235.633969687+0j),(-6.48244729075883e-08+0j),(1.0000000329630174+0.00021597869401511027j),(1.0000000329630174-0.00021597869401511027j),(11.640933681734415+0j),(0.08590376230468555+0j)
24,-1.5322358179055027,0.9704999022276737,77.65929639057424,2.715248517406915,13472044.549956407,(-26944089.099912778+0j),(1.0000000550071864+0.0001909690377096245j),(1.0000000550071864-0.0001909690377096245j),(-5.341022011487177e-08+0j),(0.10506584014082776+0j),(9.517841371272944+0j)
25,-1.5239163041637613,0.9557282017764852,77.68690310245907,2.7254610602032288,13081462.199585438,(-26162924.39917084+0j),(1.0000000090970358+0.00016993519060847745j),(1.0000000090970358-0.00016993519060847745j),(-6.462427158137279e-08+0j),(0.12810687248787772+0j),(7.805982462765149+0j)
26,-1.5156952890405717,0.9411305106902363,77.7143154987325,2.735339604334303,14393745.179620482,(-25186178.472956114+0j),(0.9999999813951377+8.377235785627094e-05j),(0.9999999813951377-8.377235785627094e-05j),(-3.473731080830375e-08+0j),(6.426760667243288+0j),(0.15559938385395683+0j)
27,-1.507569163938252,0.9266994446548353,77.74151983004995,2.744899008241904,12041384.194080641,(-24082768.388161242+0j),(0.999999996005946+4.6659487745163345e-05j),(0.999999996005946-4.6659487745163345e-05j),(-5.136995716867733e-08+0j),(0.1881115066059642+0j),(5.315995911375844+0j)
28,-1.499534268119994,0.9124276134523719,77.7685024186203,2.7541534056373806,13537566.888887338,(-22904370.048051+0j),(1.0000913929279065+0j),(0.9999085870589147+0j),(-3.69342588741289e-08+0j),(0.22618432807678746+0j),(4.421172804070135+0j)
29,-1.491586719666037,0.8983073106741705,77.79524876528345,2.7631164368522034,10844999.208460666,(-21689998.416921288+0j),(0.9999999802800674+0.00011299924860083703j),(0.9999999802800674-0.00011299924860083703j),(-7.428366581254224e-08+0j),(0.27032201568073644+0j),(3.6992917409327117+0j)
30,-1.4837223126355024,0.8843303212777869,77.82174299364337,2.7718013804580295,10267081.609374655,(-20534163.218749262+0j),(1.0001049493463887+0j),(0.9998950871868094+0j),(-6.187206246062058e-08+0j),(0.31812928253631156+0j),(3.143376152070812+0j)
31,-1.4763509199973177,0.8712248230481261,77.846572130682,2.779777447338205,16789760.51427256,(-19391970.98266779+0j),(1.0001161517625392+0j),(0.9998838609822002+0j),(-2.9780055503171876e-08+0j),(2.686347282031573+0j),(0.3722526892516093+0j)
32,-1.469049512096134,0.8582385748197994,77.87112980150509,2.7875227719170086,9632015.940086398,(-18277517.640674353+0j),(1.0000000310569095+0.00019485059564366375j),(1.0000000310569095-0.00019485059564366375j),(-5.191021309662787e-08+0j),(2.3074351889130464+0j),(0.43338161990631685+0j)
33,-1.4618133548812482,0.8453626648057216,77.89539763848559,2.7950483428849653,8600564.678243374,(-17201129.35648669+0j),(-6.432335516085582e-08+0j),(0.9999999910404196+0.00011135201736825373j),(0.9999999910404196-0.00011135201736825373j),(1.9888155807594219+0j),(0.5028118291481627+0j)
34,-1.454637285889756,0.832587444981623,77.91935505489145,2.8023650011986247,8422415.50342808,(-16170118.583155196+0j),(-5.9365392243649406e-08+0j),(0.9999999966957198+6.464462054698878e-05j),(0.9999999966957198-6.464462054698878e-05j),(1.71401741214674+0j),(0.5834246448800903+0j)
35,-1.4475156682405932,0.8199024413774416,77.94297888519483,2.809483471284872,7594691.595515818,(-15189383.191031571+0j),(-9.090073671850226e-08+0j),(1.0000000164574092+5.18374366470049e-05j),(1.0000000164574092-5.18374366470049e-05j),(0.6830236323081125+0j),(1.4640781851437867+0j)
36,-1.4404423355029339,0.807296247761485,77.9662429350637,2.8164143953368117,7130942.421756834,(-14261884.843513597+0j),(-9.029941401887936e-08+0j),(1.000000008923294+6.980580150595397e-05j),(1.000000008923294-6.980580150595397e-05j),(1.1937888999876878+0j),(0.8376690384793323+0j)
37,-1.4334105242604922,0.794756396881487,77.98911740895004,2.8231683726085244,6694516.778842874,(-13389033.557685673+0j),(-9.178430705834969e-08+0j),(1.000000032359187+9.866296427299354e-05j),(1.000000032359187-9.866296427299354e-05j),(0.9715120488946054+0.2369901661516535j),(0.9715120488946054-0.2369901661516535j)
38,-1.4264127909970874,0.7822692030251022,78.01156817511331,2.829756005302637,6285498.466009433,(-12570996.932018787+0j),(-8.927460941228555e-08+0j),(1.0000790121325436+0j),(0.9999209830970124+0j),(0.9378447343954691+0.34705511690028323j),(0.9378447343954691-0.34705511690028323j)
39,-1.4194409095150473,0.7698195688595749,78.03355581520599,2.836187952498466,5903474.788925595,(-11806949.577851105+0j),(-8.472427864627819e-08+0j),(1.0000645275215014+0j),(0.9999354284030286+0j),(0.9122413021900836+0.40965327605001783j),(0.9122413021900836-0.40965327605001783j)
40,-1.4124857445002792,0.7573907483609593,78.0550343866709,2.842474993507171,5547636.875809666,(-11095273.751619242+0j),(-9.47412953622937e-08+0j),(1.0001012161996374+0j),(0.9998988196798937+0j),(0.8926889359647361+0.4506733446811809j),(0.8926889359647361-0.4506733446811809j)
41,-1.4055370961942926,0.7449640563713741,78.07594979838764,2.8486281019019954,5760242.896071334,(-10433720.354477152+0j),(-8.680189516678532e-08+0j),(1.000062206417724+0j),(0.9999378072512803+0j),(0.877568816257403+0.4794506989592886j),(0.877568816257403-0.4794506989592886j)
42,-1.398583510544932,0.732518514137877,78.09623765938302,2.8546585311241923,5052294.514200419,(-9819537.648075271+0j),(-9.896493535653183e-08+0j),(1.000054592434392+0j),(0.9999454004893442+0j),(0.8655923201762346+0.5007493736909727j),(0.8655923201762346-0.5007493736909727j)
43,-1.3916120491359807,0.7200304198929182,78.11582040070648,2.8605779116121024,4854866.591415442,(-9249573.559958875+0j),(-1.0298944174575758e-07+0j),(1.000019216257833+0j),(0.9999807757914648+0j),(0.8557501493591702+0.517389294314983j),(0.8557501493591702-0.517389294314983j)
44,-1.384608014572444,0.7074728358031551,78.13460338252891,2.866398357130733,4371797.898301595,(-8743595.796603076+0j),(-1.1665043743202444e-07+0j),(1.0000347423204035+0j),(0.9999652518368056+0j),(0.8476373602038643+0.5305760130147428j),(0.8476373602038643-0.5305760130147428j)
45,-1.377876785661641,0.6953933859863014,78.15167877951184,2.871873439269702,4330436.794456404,(-8250043.668525251+0j),(-1.154617937479379e-07+0j),(1.0000587719429275+0j),(0.9999411962834603+0j),(0.8399421344578902+0.5426759721623043j),(0.8399421344578902-0.5426759721623043j)
46,-1.3707620490234602,0.6826135307312385,78.16852522542472,2.877534975904244,3905027.2130490136,(-7810054.4260979+0j),(-1.3247967550553586e-07+0j),(1.0000000086579317+4.841751519486744e-05j),(1.0000000086579317-4.841751519486744e-05j),(0.8330206803286091+0.5532418514039247j),(0.8330206803286091-0.5532418514039247j)
47,-1.3638886031274853,0.6702547346445954,78.18345091419512,2.882882915709612,3698544.004939228,(-7397088.009878321+0j),(-1.4105396949134037e-07+0j),(1.0000275049608327+0j),(0.9999724929368788+0j),(0.8263392422014937+0.563172670499738j),(0.8263392422014937-0.563172670499738j)
48,-1.356916947876588,0.6577064775538773,78.19703394336871,2.888186068688242,3521629.1462020236,(-7007539.080515083+0j),(-1.4197974268223154e-07+0j),(0.9999999863972098+3.0102293330572828e-05j),(0.9999999863972098-3.0102293330572828e-05j),(0.8198761632386665+0.5725408954415533j),(0.8198761632386665-0.5725408954415533j)
49,-1.3498243897191737,0.6449268245854068,78.20901112937726,2.893456799561232,3324792.692002011,(-6637833.137283841+0j),(-1.5038531611393137e-07+0j),(0.9999999870857494+2.4695516525227737e-05j),(0.9999999870857494-2.4695516525227737e-05j),(0.8137705352925342+0.5811863005006627j),(0.8137705352925342-0.5811863005006627j)
50,-1.3425875452414497,0.6318723643070139,78.21904032860866,2.8987063212063804,3157316.8198485305,(-6284589.87665456+0j),(-1.5836231475306923e-07+0j),(0.9999651096406111+0j),(1.0000348768414973+0j),(0.8083414851001294+0.58871388930964j),(0.8083414851001294-0.58871388930964j)
51,-1.3351856602560688,0.618504174251624,78.22667585142314,2.903942266759094,2979221.1363454387,(-5958442.27269071+0j),(-1.7590131541293622e-07+0j),(0.9999999955763277+2.1417905216500528e-05j),(0.9999999955763277-2.1417905216500528e-05j),(0.8042528491895946+0.5942872660341756j),(0.8042528491895946-0.5942872660341756j)
52,-1.3279180287460453,0.6053621841277101,78.23122234265998,2.908952955252758,2865460.6278072568,(-5643737.686377845+0j),(-1.7449201540159754e-07+0j),(1.0000091804163143+0j),(0.9999908224168239+0j),(0.8019267472833944+0.5974223731929111j),(0.8019267472833944-0.5974223731929111j)
53,-1.3205138421142726,0.5919561689546167,78.23242156102235,2.913925887996474,2670391.199609949,(-5340782.39921971+0j),(-1.8888544989418145e-07+0j),(1.0000229668841882+0j),(0.9999770445657412+0j),(0.8021574561454469+0.5971125652255658j),(0.8021574561454469-0.5971125652255658j)
