Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.8603319536028599,0.1142433913152139,2.0120370217792947,5.741368678505594,-0.9734575374383465,30.145467680408448,(60.274344553061255+0j),(0.016590806708852785+0j),(1.0000152229785977+2.6070622277357793e-06j),(1.0000152229785977-2.6070622277357793e-06j),(0.9999847772479333+2.6069865581497215e-06j),(0.9999847772479333-2.6069865581497215e-06j)
1,-0.8602655590502813,0.11417199080510344,2.0120592486190114,5.741368621811794,-0.9734738209142648,30.145710952054902,(60.27483123136015+0j),(0.016590672750129595+0j),(0.991070190191843+0j),(1.009010257115872+0j),(0.9996868163144571+0j),(1.0003132943826964+0j)
2,-0.860199132040157,0.11410062326028209,2.0120814773511015,5.741368428476173,-0.9734900434303762,30.145522359448282,(60.274453941870355+0j),(0.01659077659927592+0j),(0.9999667034012107+0.008162162762307084j),(0.9999667034012107-0.008162162762307084j),(0.9999999848914605+3.753243998989163e-05j),(0.9999999848914605-3.753243998989163e-05j)
3,-0.8601326669581059,0.11402929174225411,2.0121037075795885,5.741368116417248,-0.9735061983394657,30.145589547578343,(60.274588355555096+0j),(0.01659073960193265+0j),(0.9999248186717496+0.012262817991789396j),(0.9999248186717496-0.012262817991789396j),(0.9999999900783159+1.2051557458289203e-05j),(0.9999999900783159-1.2051557458289203e-05j)
4,-0.8600661654723779,0.11395799487339889,2.0121259395644753,5.7413676794485955,-0.973522288040602,30.14568439266489,(60.274778095893154+0j),(0.016590687374657062+0j),(0.9998663513361599+0.016349119075948652j),(0.9998663513361599-0.016349119075948652j),(0.9999999928143644+1.209001058194918e-05j),(0.9999999928143644-1.209001058194918e-05j)
5,-0.8599996276255647,0.11388673270503437,2.01214817330888,5.741367117625827,-0.9735383125268102,30.145806316748754,(60.275022012280395+0j),(0.016590620237019578+0j),(0.9997911817945737+0.02043537752336517j),(0.9997911817945737-0.02043537752336517j),(0.9999999940051739+1.1953872165917037e-05j),(0.9999999940051739-1.1953872165917037e-05j)
6,-0.8599330534677272,0.11381550528186804,2.0121704088170933,5.74136643097653,-0.973554271802207,30.145955323259173,(60.275320108331194+0j),(0.016590538187274965+0j),(0.9996993109839678+0.024521371550222194j),(0.9996993109839678-0.024521371550222194j),(0.9999999949088212+1.184730271219547e-05j),(0.9999999949088212-1.184730271219547e-05j)
7,-0.8598664430516049,0.11374431264621049,2.0121926460938195,5.741365619518702,-0.9735701658749174,30.146131413445254,(60.27567238263463+0j),(0.01659044122480519+0j),(0.9995907400867452+0.02860699799376862j),(0.9995907400867452-0.02860699799376862j),(0.999999995933547+1.1669807870935702e-05j),(0.999999995933547-1.1669807870935702e-05j)
8,-0.8597997964342731,0.11367315483653234,2.0122148851444366,5.741364683254432,-0.9735859947595289,30.146334580221033,(60.27607883108766+0j),(0.016590329354425056+0j),(0.9994654712822302+0.032692187404827745j),(0.9994654712822302-0.032692187404827745j),(0.9999999962293677+1.1903817136798043e-05j),(0.9999999962293677-1.1903817136798043e-05j)
9,-0.8597331136681492,0.11360203189533927,2.0122371259735865,5.741363622204325,-0.9736017584637979,30.146564825787618,(60.276539448940404+0j),(0.01659020257535027+0j),(0.9993235049022964+0.03677688357495831j),(0.9993235049022964-0.03677688357495831j),(0.999999996625753+1.1697192520939003e-05j),(0.999999996625753-1.1697192520939003e-05j)
10,-0.8596663948065932,0.1135309438642632,2.012259368586049,5.74136243638605,-0.9736174569969056,30.146822149651285,(60.27705423642269+0j),(0.016590060888587846+0j),(0.9991648427017531+0.04086101806370931j),(0.9991648427017531-0.04086101806370931j),(0.9999999970892055+1.1720208622333425e-05j),(0.9999999970892055-1.1720208622333425e-05j)
11,-0.8595996399052158,0.11345989078292346,2.0122816129869494,5.741361125809375,-0.9736330903714183,30.147106543818083,(60.27762318252351+0j),(0.0165899042992863+0j),(0.9989894855166357+0.04494455609452511j),(0.9989894855166357-0.04494455609452511j),(0.9999999972845515+1.1786855668866481e-05j),(0.9999999972845515-1.1786855668866481e-05j)
12,-0.859532849017075,0.1133888726931224,2.0123038591810096,5.741359690494476,-0.9736486585961863,30.147418009577905,(60.27824628589277+0j),(0.016589732807579693+0j),(0.9987974345633841+0.04902743700463761j),(0.9987974345633841-0.04902743700463761j),(0.9999999974932301+1.2178628800962133e-05j),(0.9999999974932301-1.2178628800962133e-05j)
13,-0.859466022198322,0.11331788963391409,2.0123261071734224,5.74135813045041,-0.973664161684666,30.147756543891226,(60.27892354136639+0j),(0.016589546416494762+0j),(0.998588690905814+0.05310961301130196j),(0.998588690905814-0.05310961301130196j),(0.9999999976339995+1.166340090544983e-05j),(0.9999999976339995-1.166340090544983e-05j)
14,-0.8593991595026637,0.11324694164643646,2.012348356968995,5.741356445696251,-0.9736795996467578,30.14812214434578,(60.27965494356448+0j),(0.016589345127082822+0j),(0.998363255510164+0.05719103283578831j),(0.998363255510164-0.05719103283578831j),(0.9999999978337399+1.2079058546284493e-05j),(0.9999999978337399-1.2079058546284493e-05j)
