Index,Initial x,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.0000445334115295,1.403534906255832,2.979440377820883e-12,12.428358536966762,2.9747705885663698,364286.0543625756,(627724.626151683+0j),(1.3725477382762769e-06+0j),(1.0010368138002705+0j),(0.9989638870654151+0j),(1.0002969936965809+0j),(0.9997030944825037+0j)
1,1.0000445190473668,1.403535409403524,0.0009999982288127,12.428362167375134,2.9747705222924288,397883.3341922484,(627725.3366044343+0j),(1.2566497689978659e-06+0j),(1.0128425679552229+0j),(0.987312916892511+0j),(0.9966939437008437+0j),(1.0033068976844066+0j)
2,1.000044476027668,1.4035369145555785,0.0019999823234175,12.42837303810725,2.974770323713752,313863.73751418444,(627727.4750267758+0j),(1.649428215904523e-06+0j),(1.0252659854100283+0j),(1.0000121938412714+0.0016076338349347036j),(1.0000121938412714-0.0016076338349347036j),(0.9753344175969566+0j)
3,1.0000444043321677,1.4035394230063645,0.0029999381456441,12.428391155074918,2.9747699927666496,375229.3896758508,(627731.0205223216+0j),(1.332518224206325e-06+0j),(1.0382005524117546+0j),(0.9632036321910807+0j),(1.0007350215486752+0j),(0.9992663729379051+0j)
4,1.0000443039669082,1.403542934549158,0.0039998515686721,12.42841651689208,2.9747695294772853,313868.01058440935,(627736.0211672257+0j),(1.7814352266665168e-06+0j),(1.0512137583709398+0j),(0.9512787166734605+0j),(1.0000027019068822+0.002360424533442897j),(1.0000027019068822-0.002360424533442897j)
5,1.0000441749402855,1.4035474488982451,0.0049997084768274,12.428449121629075,2.97476893388219,313871.2166506236,(627742.4332996542+0j),(1.6906884721112903e-06+0j),(0.9394467333040754+0j),(1.0644530207707068+0j),(1.0000017344323546+0.0009205104228130171j),(1.0000017344323546-0.0009205104228130171j)
6,1.0000440172631242,1.4035529656843508,0.0059994947693901,12.428488966800062,2.97476820602826,357404.47253639414,(627750.2626896494+0j),(1.398975218336318e-06+0j),(1.07780815025048+0j),(0.9278025578875397+0j),(1.0000050002785414+0.0022601463787197563j),(1.0000050002785414-0.0022601463787197563j)
7,1.0000438309486326,1.4035594844571848,0.0069991963642399,12.428536049371884,2.97476734597283,321883.72907152824,(627759.5264102577+0j),(1.5533559321045942e-06+0j),(1.0913658798784418+0j),(0.9162825192915439+0j),(1.000000532652026+0.0007710972368254583j),(1.000000532652026-0.0007710972368254583j)
8,1.0000436160124204,1.4035670046842412,0.007998799201622,12.42859036575929,2.9747663537837137,688438.6546585716,(627770.2101268491+0j),(7.262811241304234e-07+0j),(1.1051369593937181+0j),(0.9048591485205562+0j),(1.004833977733697+0j),(0.9951604284291515+0j)
9,1.0000433724724715,1.4035755257523563,0.0089982892477577,12.428651911831858,2.9747652295388267,463829.02285930974,(627782.2912626197+0j),(1.0779834278551448e-06+0j),(1.1189356495303815+0j),(0.8937066400029527+0j),(1.0003446814182637+0j),(0.9996556765497209+0j)
10,1.0000431003491508,1.4035850469669535,0.0099976524985452,12.428720682912894,2.974763973326651,313897.91564044176,(627795.8312792906+0j),(2.079859113823801e-06+0j),(1.132941445315867+0j),(0.8826719428966845+0j),(0.9999958858334885+0.0037228209639359106j),(0.9999958858334885-0.0037228209639359106j)
11,1.000042799665194,1.403595567552582,0.0109968749832074,12.428796673781106,2.9747625852457507,313905.37467536994,(627810.7493491471+0j),(1.933902755713035e-06+0j),(1.1471528066933463+0j),(0.8717212473832214+0j),(1.0000029384956395+0.002509112900380722j),(1.0000029384956395-0.002509112900380722j)
12,1.000042470445677,1.4036070866543833,0.0119959427678273,12.42887987867622,2.974761065405022,313913.55516363226,(627827.1103256717+0j),(1.9202311272170647e-06+0j),(1.1615109081251402+0j),(0.8609503893865937+0j),(1.0000019354628833+0.0036536188855872567j),(1.0000019354628833-0.0036536188855872567j)
13,1.0000421127180537,1.4036196033356871,0.0129948419590992,12.428970291294732,2.9747594139235374,313922.4434143581,(627844.8868271234+0j),(1.6273039851188997e-06+0j),(1.1760786094764242+0j),(0.8502845660033634+0j),(1.0009314189024303+0j),(0.9990667637190566+0j)
14,1.0000417265120958,1.403633116581204,0.0139935587077457,12.429067904798174,2.974757630930569,313932.03348959977,(627864.0669776069+0j),(1.9122514176572736e-06+0j),(0.8397821728217856+0j),(1.0000013368672382+0.0011431184477823527j),(1.0000013368672382-0.0011431184477823527j),(1.1907820872795114+0j)
15,1.0000413118599072,1.4036476252959769,0.0149920792121002,12.429172711814022,2.9747557165653387,313942.3383790458,(627884.6767564989+0j),(2.297660947392366e-06+0j),(0.8294260966324248+0j),(0.9999997878569877+0.002582521093286755j),(0.9999997878569877-0.002582521093286755j),(1.205656891430743+0j)
16,1.000040868795923,1.403663128305015,0.0159903897217203,12.42928470443498,2.9747536709772358,313953.35050860315,(627906.7010156137+0j),(2.377572576373055e-06+0j),(1.2207194253632538+0j),(0.9999990647675645+0.001097775237817261j),(0.9999990647675645-0.001097775237817261j),(0.8191900542985335+0j)
17,1.0000403973568532,1.4036796243562946,0.0169884765406229,12.429403874229312,2.9747514943256146,356598.64426446194,(627930.1264500543+0j),(1.4021365701832877e-06+0j),(0.8090916877469585+0j),(0.9982481032907711+0j),(1.001751547846771+0j),(1.2359528341990669+0j)
