Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.9926209251989874,0.09594220276979482,2.029778192907545,6.2975058366580985,-1.1169736557241712,1.1843555928093439,(1.8189406306244287+0j),(0.5497705550044953+0j),(0.9999975852361189+4.8164672077046517e-05j),(0.9999975852361189-4.8164672077046517e-05j),(0.9999503473771718+0j),(1.0000544825304898+0j)
1,-0.9926109261575073,0.09594228701131337,2.0297783044236026,6.297505833767473,-1.11697365537457,1.1843555879054497,(1.818940616568168+0j),(0.5497705592529701+0j),(0.9998072225666023+0j),(0.9999880898560167+0j),(1.0000114244091745+0j),(1.000193300545758+0j)
2,-0.9926009272035549,0.09594237997395834,2.0297784152241003,6.297505831710506,-1.116973653249075,1.18435564292423,(1.818940774271054+0j),(0.5497705115876914+0j),(0.9996589406790701+0j),(0.9999999491435675+3.6843886064833604e-06j),(0.9999999491435675-3.6843886064833604e-06j),(1.0003412773928915+0j)
3,-0.992590928529388,0.09594250174533153,2.029778523327425,6.297505830457775,-1.1169736453012433,1.1843557988691533,(1.8189412212631682+0j),(0.5497703764851931+0j),(0.999476617519283+0j),(0.9999999896424556+1.2122101356286535e-06j),(0.9999999896424556-1.2122101356286535e-06j),(1.0005236772548358+0j)
4,-0.9925809593176577,0.09594174216157735,2.029778718063001,6.297505831340113,-1.116973814810374,1.1843524817160653,(1.818931713134021+0j),(0.5497732503083316+0j),(0.9999999998942911+4.497094622345775e-07j),(0.9999999998942911-4.497094622345775e-07j),(0.999998644957816+0.001646289903438516j),(0.999998644957816-0.001646289903438516j)
5,-0.9925709898673366,0.0959425221988703,2.0297787612429654,6.297505830811653,-1.1169736741865637,1.1843551942666057,(1.8189394882625174+0j),(0.5497709002810074+0j),(0.9999998756031772+0.0005223900871223547j),(0.9999998756031772-0.0005223900871223547j),(0.9999991117271126+0j),(1.0000008641524307+0j)
6,-0.992560991119425,0.0959426366654535,2.0297788705004467,6.297505832103804,-1.1169736676529727,1.1843553644333442,(1.8189399760195688+0j),(0.5497707528578625+0j),(0.999999975809797+0.0003724911486758683j),(0.999999975809797-0.0003724911486758683j),(0.9999963306509073+0j),(1.0000035789693247+0j)
7,-0.9925509922007412,0.09594273288419919,2.0297789817027754,6.297505834269132,-1.1169736647760735,1.184355419280645,(1.8189401332309831+0j),(0.5497707053403381+0j),(1.0000000196895555+0.0003474884328013265j),(1.0000000196895555-0.0003474884328013265j),(0.9999941905531606+0j),(1.0000056493299425+0j)
8,-0.9925409932451049,0.09594282444421265,2.029779093509373,6.2975058372877895,-1.1169736628184883,1.184355455937233,(1.8189402383014892+0j),(0.549770673583103+0j),(1.000000029657587+0.0003623552949695981j),(1.000000029657587-0.0003623552949695981j),(0.9999927230783622+0j),(1.0000070863336807+0j)
9,-0.9925309942843089,0.09594291514849207,2.0297792055451307,6.2975058411542095,-1.1169736610141445,1.1843554885883445,(1.8189403318909056+0j),(0.5497706452956755+0j),(1.0000000201602068+0.0003970160004168015j),(1.0000000201602068-0.0003970160004168015j),(1.0000081010343664+0j),(0.9999917010676768+0j)
10,-0.9925209953248284,0.09594300580301644,2.029779317730555,6.297505845867258,-1.1169736592006974,1.1843555218170554,(1.8189404271359182+0j),(0.5497706165085468+0j),(0.999999996134942+0.0004422443256101262j),(0.999999996134942-0.0004422443256101262j),(1.0000087719317563+0j),(0.9999910402735285+0j)
11,-0.9931425989305622,-0.09593960976569578,2.029772398193509,6.297507158191458,-1.1169732845055589,1.1843620604694938,(1.8189591690979092+0j),(0.5497649518512715+0j),(0.9999933894464739+0.0036324673546551953j),(0.9999933894464739-0.0036324673546551953j),(0.9999655371277849+0j),(1.0000344902816378+0j)
12,-0.9937175579818549,-0.09594021538178037,2.029766127297205,6.2975112741485715,-1.1169721176808411,1.1843826067525611,(1.8190180605195185+0j),(0.5497471529961953+0j),(0.9999730291405069+0.007343579485624962j),(0.9999730291405069-0.007343579485624962j),(0.99996077504064+0j),(1.0000392393063158+0j)
13,-0.9943787307218123,-0.0959453713190781,2.02975906949217,6.2975194484891475,-1.1169697999097625,1.1844233937952926,(1.8191349627536333+0j),(0.5497118248480382+0j),(0.9999325715550826+0.01161224669852565j),(0.9999325715550826-0.01161224669852565j),(1.0000517924741208+0j),(0.9999482182531918+0j)
14,-0.9951389898129134,-0.09595718462031977,2.029751158535681,6.2975333885302875,-1.1169658465736911,1.1844929462628169,(1.819334296323104+0j),(0.5496515962137277+0j),(0.9998635652925563+0.016518021376927077j),(0.9998635652925563-0.016518021376927077j),(0.9999320437896242+0j),(1.0000679665744827+0j)
15,-0.9960130944782319,-0.09597852761691306,2.0297423358719193,6.297555403842068,-1.116959601316907,1.1846028822728574,(1.8196493283609847+0j),(0.5495564361964518+0j),(0.9997546105495747+0.022152075832280727j),(0.9997546105495747-0.022152075832280727j),(1.0000099631654453+0j),(0.9999900411292802+0j)
16,-0.9966830439036458,-0.09600049055622067,2.0297357732038472,6.297576601806546,-1.1169535858516948,1.1847086380011254,(1.8199523368714732+0j),(0.5494649391421859+0j),(0.99964962788507+0.026469186696612575j),(0.99964962788507-0.026469186696612575j),(1.000053180074787+0j),(0.9999468263524446+0j)
17,-0.9978381955187584,-0.09604974499905994,2.0297248680110105,6.297621938120358,-1.1169407137010716,1.1849348976273082,(1.8206004634833168+0j),(0.5492693317828258+0j),(0.9994250670702998+0.03390475568609349j),(0.9994250670702998-0.03390475568609349j),(1.0000097671439452+0j),(0.9999902357787053+0j)
