Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.0744400104588814,0.20207892427907193,-0.19147601392403563,9.018795551744034,3.0567337072659218,1.0000000232872832,(-0.9964270395046015+0.08445800628344777j),(-0.9964270395046015-0.08445800628344777j),(1.0002158347027401+0j),(0.9997842132971161+0j),(0.9999999993432581+2.2726220984908155e-08j),(0.9999999993432581-2.2726220984908155e-08j)
1,1.0738755281304053,0.2022197119853609,-0.19066275512048375,9.018819935461627,3.0567914245071446,1.0000068027758782,(-0.9974551157112568+0.07129720889946686j),(-0.9974551157112568-0.07129720889946686j),(0.9963182260810116+0j),(1.0036953681063912+0j),(1.0000000046169413+4.7146444291222965e-05j),(1.0000000046169413-4.7146444291222965e-05j)
2,1.0733113265743381,0.20235762839894741,-0.18984954263901044,9.018893178262866,3.056849619043499,1.0003823978514363,(-1.0280399812895653+0j),(-0.9727248142442355+0j),(1.014868622150534+0j),(0.9853492094768903+0j),(1.0000000013699935+5.341234369533754e-05j),(1.0000000013699935-5.341234369533754e-05j)
3,1.0727476973791081,0.20249255227608717,-0.18903690128722253,9.019015353727323,3.056908247387737,1.0047234784185188,(-1.102033642586305+0j),(-0.9074133140706564+0j),(1.0338004604740265+0j),(0.96730465098589+0j),(1.000000001760049+5.4944111280963707e-05j),(1.000000001760049-5.4944111280963707e-05j)
4,1.0721849310390104,0.20262436606199694,-0.1882253555163406,9.019186381608808,3.056967266715826,1.0096560572665523,(-1.1489591580894514+0j),(-0.870352956170276+0j),(1.0609387200864504+0j),(0.9425615055452649+0j),(0.999999999929239+5.5320109946189806e-05j),(0.999999999929239-5.5320109946189806e-05j)
5,1.0716233138925328,0.20275295688933337,-0.18741542444858533,9.019406038116951,3.057026635263111,1.01402137366699,(-1.1820670405518399+0j),(-0.845975706500325+0j),(1.0969488525184392+0j),(0.911619530301115+0j),(0.9999999997054507+5.5785156434303495e-05j),(0.9999999997054507-5.5785156434303495e-05j)
6,1.0710631251209926,0.20287821743028822,-0.18660761702701545,9.01967395979787,3.05708631271744,1.0163337380892257,(-1.1978117451822698+0j),(-0.8348557306656846+0j),(1.1427724474428964+0j),(0.8750648478929113+0j),(0.9999999996152644+5.5949547489048044e-05j),(0.9999999996152644-5.5949547489048044e-05j)
7,1.0705046338904378,0.20300004662372403,-0.185802427388058,9.01998964849476,3.057146260595809,1.016623266428462,(-1.187521566136473+0j),(-0.8420899697149653+0j),(1.1997157706765615+0j),(0.8335307601818227+0j),(0.9999999994055143+5.6316027477917335e-05j),(0.9999999994055143-5.6316027477917335e-05j)
8,1.0699480967607429,0.20311835025761404,-0.1850003306447402,9.02035247896668,3.0572064425880785,1.028620854364629,(-1.1292594808648868+0j),(-0.8855360672557827+0j),(1.2695790675829148+0j),(0.7876626379995941+0j),(0.9999999998836857+5.5617772478816305e-05j),(0.9999999998836857-5.5617772478816305e-05j)
9,1.069393755396191,0.20323304139775392,-0.18420177914393054,9.020761707970907,3.0572668248634822,1.0464681754163778,(-0.991902314256901+0.1270031436059353j),(-0.991902314256901-0.1270031436059353j),(1.3548439856680647+0j),(0.7380923622285029+0j),(0.9999999997757214+5.555577514850845e-05j),(0.9999999997757214-5.555577514850845e-05j)
10,1.0688418346325301,0.2033440406583131,-0.18340719928601446,9.021216484769742,3.0573273763324216,1.0721856199070445,(-0.966078384025828+0.25824901809052075j),(-0.966078384025828-0.25824901809052075j),(1.4589439442205605+0j),(0.6854272928661734+0j),(0.9999999996817143+5.5301352278285256e-05j),(0.9999999996817143-5.5301352278285256e-05j)
11,1.0682925409226882,0.20345127631669896,-0.18261698894661016,9.02171586259623,3.057388068860599,1.1084546985739285,(-0.9278538040065358+0.3729441212279817j),(-0.9278538040065358-0.3729441212279817j),(1.5866511203783422+0j),(0.6302582757614834+0j),(0.9999999992437786+5.440674438141814e-05j),(0.9999999992437786-5.440674438141814e-05j)
12,1.0677460611710117,0.2035546842812923,-0.1818315155192431,9.022258810729172,3.0574488774337603,1.158904938258181,(-0.8756168760656318+0.48300629953592406j),(-0.8756168760656318-0.48300629953592406j),(1.7446187377825213+0j),(0.5731911379092407+0j),(0.9999999992170636+5.4528108614850285e-05j),(0.9999999992170636-5.4528108614850285e-05j)
13,1.0672025619739343,0.20365420792063946,-0.18105111460785642,9.022844227112591,3.057509780270384,1.2285054175673478,(1.9421058386661048+0j),(-0.8086120481982246+0.5883422086169493j),(-0.8086120481982246-0.5883422086169493j),(0.5149049965437965+0j),(0.9999999989475212+5.4822377757433134e-05j),(0.9999999989475212-5.4822377757433134e-05j)
14,1.0666621892233508,0.20374979777434524,-0.18027608930582836,9.023470950820494,3.0575707588876284,1.3240440553467376,(2.1918531705898507+0j),(-0.7274221971824885+0.686190167391651j),(-0.7274221971824885-0.686190167391651j),(0.4562349403112709+0j),(0.9999999988691528+5.4784981538434714e-05j),(0.9999999988691528-5.4784981538434714e-05j)
15,1.0661250680562875,0.203841411161399,-0.17950671003636276,9.024137774272157,3.0576317981224075,1.4545927519818842,(2.5109260674795344+0j),(-0.634435201351335+0.7729760501684864j),(-0.634435201351335-0.7729760501684864j),(0.39825943615859194+0j),(0.9999999991029449+5.536462470652127e-05j),(0.9999999991029449-5.536462470652127e-05j)
16,1.065591303127636,0.20392901170382743,-0.17874321491733822,9.024843455075732,3.0576928861101433,1.6317096201145196,(2.921080118037704+0j),(-0.534045655003601+0.8454556387082711j),(-0.534045655003601-0.8454556387082711j),(0.3423391208497544+0j),(0.9999999994091266+5.453864729024427e-05j),(0.9999999994091266-5.453864729024427e-05j)
17,1.0650609791346393,0.20401256878872281,-0.1779858105428283,9.025586727003063,3.057754014230431,1.869017162660118,(3.448012144066899+0j),(-0.43223023429852214+0.9017632855073536j),(-0.43223023429852214-0.9017632855073536j),(0.2900221803001113+0j),(0.9999999994141378+5.38456009330868e-05j),(0.9999999994141378-5.38456009330868e-05j)
18,1.0645341615876267,0.20409205698238325,-0.17723467316822655,9.02636631033717,3.05781517701983,2.180979073707668,(4.11919209537436+0j),(-0.3353191444515083+0.9421045960018368j),(-0.3353191444515083-0.9421045960018368j),(0.24276605137220822+0j),(0.9999999994045687+5.3740800561333836e-05j),(0.9999999994045687-5.3740800561333836e-05j)
19,1.0640108977423814,0.2041674554189911,-0.17648995017011554,9.027180921115642,3.057876372062975,2.581307705323893,(4.96104497431579+0j),(-0.24839545777864838+0.9686587092223641j),(-0.24839545777864838-0.9686587092223641j),(0.20157043630352864+0j),(0.999999999401722+5.275971663363774e-05j),(0.999999999401722-5.275971663363774e-05j)
20,1.0634912176819682,0.20423874717507537,-0.1757517617578393,9.028029279502892,3.0579375998632408,3.081917065572434,(5.997086494450729+0j),(-0.1742370448734027+0.9847037374199442j),(-0.1742370448734027-0.9847037374199442j),(0.16674763674037774+0j),(0.9999999992672998+5.3582269693045914e-05j),(0.9999999992672998-5.3582269693045914e-05j)
21,1.0629751354858907,0.20430591864616052,-0.1750202028400201,9.028910117081844,3.057998863701253,3.692950777775035,(7.247931150023135+0j),(-0.11333044207883118+0.9935573507535782j),(-0.11333044207883118-0.9935573507535782j),(0.13797040555021403+0j),(0.9999999993085864+5.3422725097434865e-05j),(0.9999999993085864-5.3422725097434865e-05j)
22,1.0624626504658667,0.20436895893434023,-0.17429534501124613,9.029822183207479,3.05806016948374,4.423557562966522,(8.732601713643806+0j),(-0.06462908424552832+0.9979093545910197j),(-0.06462908424552832-0.9979093545910197j),(0.11451340992302884+0j),(0.9999999994090272+5.407746377804651e-05j),(0.9999999994090272-5.407746377804651e-05j)
23,1.0619537484321104,0.20442785925655246,-0.17357723860070182,9.03076425041361,3.058121525587611,5.282763529699917,(10.470016222396985+0j),(-0.02640520193518006+0.9996513211046258j),(-0.02640520193518006-0.9996513211046258j),(0.09551083576572561+0j),(0.9999999993681767+5.375881596050927e-05j),(0.9999999993681767-5.375881596050927e-05j)
24,1.0614484029418736,0.20448261238260185,-0.17286591470816365,9.031735118789012,3.058182942705753,6.280077073957487,(12.480026110180408+0j),(0.0031689216874006138+0.9999949781991638j),(0.0031689216874006138-0.9999949781991638j),(0.08012803748578133+0j),(0.999999999339351+5.3244769256597516e-05j),(0.999999999339351-5.3244769256597516e-05j)
25,1.060946576550428,0.20453321210282804,-0.17216138725282504,9.032733619677016,3.0582444336917587,7.425799633932119,(14.783958384822615+0j),(0.025737029565260954+0.9996687470513522j),(0.025737029565260954-0.9996687470513522j),(0.06764088304820252+0j),(0.9999999992566136+5.332511000016642e-05j),(0.9999999992566136-5.332511000016642e-05j)
26,1.060448222007701,0.20457965273310366,-0.17146365494899538,9.033758618505884,3.0583060134113382,8.731146761798026,(17.404838235216722+0j),(0.04266790497418211+0.99908930954276j),(0.04266790497418211-0.99908930954276j),(0.057455288391229944+0j),(0.9999999991746759+5.34943957871169e-05j),(0.9999999991746759-5.34943957871169e-05j)
27,1.0599532834069567,0.20462192865689566,-0.17077270321459925,9.034809016960748,3.0583676985996417,10.208278147433726,(20.367458367085945+0j),(0.05505867730759576+0.9984831198779436j),(0.05505867730759576-0.9984831198779436j),(0.04909792779345105+0j),(0.9999999992043072+5.196320294943337e-05j),(0.9999999992043072-5.196320294943337e-05j)
28,1.05946169727288,0.204660033905035,-0.1700885059924074,9.035883754554755,3.058429507726194,11.870295833744233,(23.69839471651511+0j),(0.06377320665718489+0.9979644165971452j),(0.06377320665718489-0.9979644165971452j),(0.04219695098262138+0j),(0.9999999991859487+5.1986013212887734e-05j),(0.9999999991859487-5.1986013212887734e-05j)
29,1.0589733935793197,0.20469396177324292,-0.1694110274675376,9.036981809655293,3.058491460868966,13.731238857385987,(27.426015984400024+0j),(0.06948728522971194+0.9975828366254808j),(0.06948728522971194-0.9975828366254808j),(0.03646173037350524+0j),(0.9999999992578712+5.179663573603447e-05j),(0.9999999992578712-5.179663573603447e-05j)
30,1.0584882966980875,0.2047237044762311,-0.1687402236817696,9.0381022000666,3.05855357959736,15.80608550741685,(31.580505910961726+0j),(0.07272955381466838+0.997351698644433j),(0.07272955381466838-0.997351698644433j),(0.0316651038728903+0j),(0.9999999992506288+5.1604336642559575e-05j),(0.9999999992506288-5.1604336642559575e-05j)
31,1.05800632627038,0.2047492528370459,-0.1680760440316084,9.03924398319905,3.0586158868654203,18.110766282812772,(36.19390360249226+0j),(0.07391503900066898+0.9972645415541787j),(0.07391503900066898-0.9972645415541787j),(0.02762896235126003+0j),(0.9999999992710207+5.12153023997826e-05j),(0.9999999992710207-5.12153023997826e-05j)
32,1.0575273980126758,0.20477059600879463,-0.16741843266664713,9.040406255947875,3.0586784069136512,20.662187509489627,(41.30016203891739+0j),(0.07337141115782911+0.9973046850855074j),(0.07337141115782911-0.9973046850855074j),(0.024212980062088257+0j),(0.9999999992352995+5.124542112973207e-05j),(0.9999999992352995-5.124542112973207e-05j)
33,1.0570514244467981,0.20478772122834124,-0.16676732977195968,9.041588154271711,3.058741165180974,23.478264524048818,(46.93522308405991+0j),(0.07135910663844322+0.9974506889129454j),(0.07135910663844322-0.9974506889129454j),(0.021305960304683902+0j),(0.9999999992774876+5.089546601361011e-05j),(0.9999999992774876-5.089546601361011e-05j)
34,1.0565783155704258,0.204800613597664,-0.16612267275929182,9.042788852591737,3.0588041882245074,26.577963185011274,(53.13710712371143+0j),(0.06808660821299832+0.9976794138080022j),(0.06808660821299832-0.9976794138080022j),(0.018819240527396412+0j),(0.9999999992869879+5.0543152774204624e-05j),(0.9999999992869879-5.0543152774204624e-05j)
35,1.0561079794574386,0.20480925589297785,-0.16548439734996867,9.044007562981298,3.058867503648805,29.981348654815253,(59.94601562786271+0j),(0.06372202602759444+0.9979676860518217j),(0.06372202602759444-0.9979676860518217j),(0.01668167582827844+0j),(0.999999999334245+4.8953365738934286e-05j),(0.999999999334245-4.8953365738934286e-05j)
36,1.0556403228037856,0.2048136283978912,-0.16485243857345014,9.045243534243546,3.058931140042229,33.70964061458313,(67.40444540499155+0j),(0.0584018900521862+0.9982931524714662j),(0.0584018900521862-0.9982931524714662j),(0.014835816745934302+0j),(0.9999999993232185+4.908997969228844e-05j),(0.9999999993232185-4.908997969228844e-05j)
37,1.055175251422296,0.20481370875928048,-0.1642267316857425,9.046496050901059,3.0589951269200433,37.78527421537497,(75.55731343462236+0j),(0.05223785777142077+0.9986346705768325j),(0.05223785777142077-0.9986346705768325j),(0.013234986190102561+0j),(0.9999999993028026+4.940756140225641e-05j),(0.9999999993028026-4.940756140225641e-05j)
38,1.0547126706852032,0.2048094718642682,-0.16360721300666806,9.047764432100335,3.0590594946742566,42.231966426308034,(84.4520918111319+0j),(0.045321856457824466+0.9989724362640114j),(0.045321856457824466-0.9989724362640114j),(0.011841032927106991+0j),(0.9999999992313096+5.031129869279965e-05j),(0.9999999992313096-5.031129869279965e-05j)
39,1.054252485924329,0.20480088973692112,-0.16299382068960364,9.049048030477266,3.0591242745288385,47.0747873709711,(94.13895212958087+0j),(0.03773005444784849+0.9992879675582402j),(0.03773005444784849-0.9992879675582402j),(0.010622595399652822+0j),(0.9999999992622616+5.0205167479594054e-05j),(0.9999999992622616-5.0205167479594054e-05j)
40,1.0537946027970269,0.20478793145273208,-0.16238649543643333,9.05034623101873,3.0591894984988937,52.34023643430309,(104.67091909389055+0j),(0.029525947503570727+0.9995640137394999j),(0.029525947503570727-0.9995640137394999j),(0.009553751972749118+0j),(0.9999999992626529+5.02952342121531e-05j),(0.9999999992626529-5.02952342121531e-05j)
41,1.0533389276118617,0.2047705630708816,-0.16178518114827214,9.051658449890397,3.059255199354666,58.05632299083193,(116.10403298522058+0j),(0.020762775756812735+0.9997844299208076j),(0.020762775756812735-0.9997844299208076j),(0.008612965234881184+0j),(0.9999999992965419+4.989563939438488e-05j),(0.9999999992965419-4.989563939438488e-05j)
42,1.0528853676312444,0.2047487475829667,-0.1611898255369176,9.0529841332983,3.0593214105875637,64.25265157719814,(128.4975208652819+0j),(0.01148542922038261+0.9999340398814278j),(0.01148542922038261-0.9999340398814278j),(0.007782251307044157+0j),(0.9999999993064659+4.9642728114238956e-05j),(0.9999999993064659-4.9642728114238956e-05j)
43,1.0524338313478157,0.2047224448777966,-0.16060038069256966,9.054322756363872,3.059388166378514,70.96051138454276,(141.91397620559513+0j),(0.0017319616731498177+0.9999984997659912j),(0.0017319616731498177-0.9999984997659912j),(0.007046522311946954+0j),(0.9999999992945899+4.9509047170301834e-05j),(0.9999999992945899-4.9509047170301834e-05j)
44,1.051984228740479,0.20469161172261077,-0.16001680361530418,9.055673822027572,3.0594555015675,78.21296993682198,(156.41954677356557+0j),(-0.00846519814571346+0.9999641691982509j),(-0.00846519814571346-0.9999641691982509j),(0.006393062890086636+0j),(0.9999999993410419+4.784880549630454e-05j),(0.9999999993410419-4.784880549630454e-05j)
45,1.0515364715159867,0.2046562017604261,-0.15943905671896874,9.057036859996622,3.0595234516230283,86.04497081999129,(172.08413049822758+0j),(-0.019078271102823292+0.9998179928608598j),(-0.019078271102823292-0.9998179928608598j),(0.005811111093896742+0j),(0.9999999992303213+4.908527520794308e-05j),(0.9999999992303213-4.908527520794308e-05j)
46,1.0510904733370874,0.20461616552420936,-0.15886710830789172,9.058411425730625,3.059592052611101,94.49343511389175,(188.98157867031415+0j),(-0.030083334195094576+0.9995473937251881j),(-0.030083334195094576-0.9995473937251881j),(0.005291521040533669+0j),(0.9999999992062483+4.918146022218916e-05j),(0.9999999992062483-4.918146022218916e-05j)
47,1.0506461500457243,0.20457145046885458,-0.1583009330377524,9.059797099487408,3.0596613411618,103.59736643669733,(207.18990635245558+0j),(-0.041459673475478076+0.9991401777468261j),(-0.041459673475478076-0.9991401777468261j),(0.004826489945650572+0j),(0.999999999201405+4.9169520841693576e-05j),(0.999999999201405-4.9169520841693576e-05j)
48,1.050203419878027,0.20452200102172655,-0.15774051235500486,9.061193485407042,3.059731354433678,113.39795917736002,(226.7915089761937+0j),(-0.05318924954982891+0.9985844496403516j),(-0.05318924954982891-0.9985844496403516j),(0.004409336153401287+0j),(0.9999999992087925+4.898211748592885e-05j),(0.9999999992087925-4.898211748592885e-05j)
49,1.049762203680985,0.20446775865395062,-0.1571858349270226,9.062600210659381,3.0598021300736566,123.93870936092485,(247.87338436037686+0j),(-0.06525625395170373+0.9978685387741975j),(-0.06525625395170373-0.9978685387741975j),(0.004034317772374559+0j),(0.9999999992071198+4.871957897182692e-05j),(0.9999999992071198-4.871957897182692e-05j)
50,1.049322425128763,0.20440866197338445,-0.15663689705914202,9.06401692463836,3.059873706172252,135.26552780807674,(270.527359089852+0j),(-0.07764673753647627+0.9969809343831116j),(-0.07764673753647627-0.9969809343831116j),(0.0036964837981904477+0j),(0.9999999992059585+4.85025172285935e-05j),(0.9999999992059585-4.85025172285935e-05j)
51,1.0488840109454567,0.20434464684184023,-0.15609370310594278,9.065443298216378,3.059946121212244,147.42685471006814,(294.85031780269827+0j),(-0.09034829642366062+0.9959102292517501j),(-0.09034829642366062-0.9959102292517501j),(0.003391551371652553+0j),(0.999999999224064+4.835074980468422e-05j),(0.999999999224064-4.835074980468422e-05j)
52,1.0484468911363958,0.2042756465193337,-0.15555626587702814,9.066879023054913,3.0600194140095924,160.473774745708,(320.9444336277625+0j),(-0.1033498040305717+0.9946450710834311j),(-0.1033498040305717-0.9946450710834311j),(0.0031158041549785324+0j),(0.9999999992985706+4.6720355291086075e-05j),(0.9999999992985706-4.6720355291086075e-05j)
53,1.0480109992275322,0.20420159183771783,-0.1550246070342954,9.068323810960264,3.060093623645837,174.46013200377246,(348.91739790251256+0j),(-0.11664118062167188+0.9931741209009606j),(-0.11664118062167188-0.9931741209009606j),(0.0028660078452174536+0j),(0.9999999992787847+4.720555082537509e-05j),(0.9999999992787847-4.720555082537509e-05j)
54,1.0475762725210462,0.20412241140731052,-0.15449875748861222,9.069777393301122,3.0601687893895826,189.4426427905906,(378.88264620956727+0j),(-0.1302131917634209+0.9914860181772724j),(-0.1302131917634209-0.9914860181772724j),(0.002639339673959573+0j),(0.9999999991621966+4.807244251954044e-05j),(0.9999999991621966-4.807244251954044e-05j)
55,1.0471426523640117,0.20403803185972363,-0.1539787577883617,9.071239520468097,3.060244950606389,205.48100579997813,(410.95957816179384+0j),(-0.14405727157117132+0.9895693517815395j),(-0.14405727157117132-0.9895693517815395j),(0.002433329341557542+0j),(0.9999999992659813+4.735520094443188e-05j),(0.9999999992659813-4.735520094443188e-05j)
56,1.0467100844338713,0.2039483781303616,-0.1534646585005058,9.072709961377283,3.06032214665554,222.6380066858405,(445.27376744278456+0j),(-0.15816536520179414+0.9874126375262139j),(-0.15816536520179414-0.9874126375262139j),(0.00224580937133258+0j),(0.9999999992475057+4.7345273390705075e-05j),(0.9999999992475057-4.7345273390705075e-05j)
57,1.046278519046587,0.2038533737865276,-0.15295652058720258,9.074188503026631,3.06040041677081,240.97961603851232,(481.95715711051946+0j),(-0.17252978610995068+0.9850043007057474j),(-0.17252978610995068-0.9850043007057474j),(0.0020748732227606217+0j),(0.9999999992389581+4.757012941166823e-05j),(0.9999999992389581-4.757012941166823e-05j)
58,1.0458479114828267,0.2037529414030473,-0.15245441576764523,9.075674950082611,3.0604797999251465,260.5750777325747,(521.1482363780292+0j),(-0.1871430862128361+0.9823326650403306j),(-0.1871430862128361-0.9823326650403306j),(0.0019188398419526366+0j),(0.9999999992464201+4.740959404714075e-05j),(0.9999999992464201-4.740959404714075e-05j)
59,1.045418222337637,0.20364700299190375,-0.15195842686571479,9.07716912450444,3.06056033467647,281.49698443169825,(562.9921925227704+0j),(-0.20199793580668707+0.979385947148508j),(-0.20199793580668707-0.979385947148508j),(0.00177622356592739+0j),(0.9999999992567931+4.712042074181439e-05j),(0.9999999992567931-4.712042074181439e-05j)
60,1.044989417892463,0.20353548049007295,-0.15146864813575994,9.07867086519453,3.060642058993325,303.8213388698781,(607.6410318193964+0j),(-0.21708701116199042+0.9761522571874884j),(-0.21708701116199042-0.9761522571874884j),(0.0016457084813004048+0j),(0.9999999992292704+4.643127421254301e-05j),(0.9999999992292704-4.643127421254301e-05j)
61,1.0445614705108799,0.203418296310222,-0.1509851855622363,9.08018002767298,3.0607250100583663,327.627594149157,(655.2536621197919+0j),(-0.23240288848454269+0.9726196055306838j),(-0.23240288848454269-0.9726196055306838j),(0.0015261265334795505+0j),(0.9999999991631291+4.7243043343356825e-05j),(0.9999999991631291-4.7243043343356825e-05j)
62,1.0441343590552723,0.20329537395874756,-0.15050815712132923,9.081696483760789,3.060809224048754,352.9986727802076,(705.9959290510612+0j),(-0.2479379427280745+0.9687759164080363j),(-0.2479379427280745-0.9687759164080363j),(0.0014164387622519648+0j),(0.9999999991373711+4.7489658290699036e-05j),(0.9999999991373711-4.7489658290699036e-05j)
63,1.0437080693294345,0.2031666387269514,-0.15003769300387498,9.08322012128189,3.060894735890403,380.02095635029826,(760.0405966707835+0j),(-0.2636842506472963+0.9646090480784697j),(-0.2636842506472963-0.9646090480784697j),(0.0013157191918058374+0j),(0.9999999991341473+4.747985456219339e-05j),(0.9999999991341473-4.747985456219339e-05j)
64,1.043282594538003,0.20303201845775157,-0.14957393577933084,9.084750843754007,3.0609815789865067,408.7842429334612,(817.5672626785577+0j),(-0.27963349710775665+0.9601068205717893j),(-0.27963349710775665-0.9601068205717893j),(0.0012231409519331215+0j),(0.9999999992274905+4.673650809545995e-05j),(0.9999999992274905-4.673650809545995e-05j)
65,1.042857935761895,0.20289144439180545,-0.14911704049132385,9.086288570064706,3.0610697849188373,439.3816680782176,(878.7621978139673+0j),(-0.29577688469865276+0.955257051322738j),(-0.29577688469865276-0.955257051322738j),(0.0011379642889251186+0j),(0.9999999992189614+4.69362838109172e-05j),(0.9999999992189614-4.69362838109172e-05j)
66,1.0424341024506845,0.20274485209667237,-0.14866717467773233,9.08783323413573,3.061159383120007,471.9095784648012,(943.8180969857679+0j),(-0.3121050459400748+0.9500475987736464j),(-0.3121050459400748-0.9500475987736464j),(0.0010595261976340151+0j),(0.9999999992160021+4.6806862817129794e-05j),(0.9999999992160021-4.6806862817129794e-05j)
67,1.042011112919061,0.20259218247786873,-0.1482245182907706,9.089384784543178,3.0612504005184267,506.4673593940859,(1012.9337314560739+0j),(-0.3286079590733685+0.9444664149243402j),(-0.3286079590733685-0.9444664149243402j),(0.9999999991109826+4.756522056414824e-05j),(0.9999999991109826-4.756522056414824e-05j),(0.0009872314139081138+0j)
68,1.0415889948439994,0.20243338287297066,-0.14778926350460664,9.090943184090548,3.0613428611555085,543.157204547796,(1086.3134885510067+0j),(-0.34527486701387944+0.9385016067746139j),(-0.34527486701387944-0.9385016067746139j),(0.9999999991219952+4.731692175444006e-05j),(0.9999999991219952-4.731692175444006e-05j),(0.000920544585548055+0j)
69,1.04116778575764,0.20226840822572464,-0.14736161439821008,9.092508409330739,3.061436785775912,582.0838232207202,(1164.1667874579935+0j),(-0.3620942008287751+0.9321415072075578j),(-0.3620942008287751-0.9321415072075578j),(0.9999999991611734+4.627163971118518e-05j),(0.9999999991611734-4.627163971118518e-05j),(0.0008589834473716693+0j)
70,1.0407475335171217,0.20209722233427482,-0.14694178648351272,9.09408045000063,3.061532191394727,623.3540805706291,(1246.707358544581+0j),(-0.3790535082094803+0.9253747552533681j),(-0.3790535082094803-0.9253747552533681j),(0.9999999991373137+4.652711437996177e-05j),(0.9999999991373137-4.652711437996177e-05j),(0.0008021128557220765+0j)
71,1.0403282967474914,0.20191979916601732,-0.14653000607129457,9.095659308376128,3.061629090843471,667.0765623994469,(1334.152375259322+0j),(-0.3961393881625375+0.9181903859798164j),(-0.3961393881625375-0.9181903859798164j),(0.9999999991308115+4.639869936408727e-05j),(0.9999999991308115-4.639869936408727e-05j),(0.0007495395718219752+0j)
72,1.0399101452401691,0.2017361242273816,-0.14612650945140654,9.097244998524397,3.061727492300129,713.3610654317647,(1426.721429585888+0j),(-0.4133374336125865+0.910577929518993j),(-0.4133374336125865-0.910577929518993j),(0.9999999990831607+4.6684415004596717e-05j),(0.9999999990831607-4.6684415004596717e-05j),(0.0007009076747595652+0j)
73,1.0394931602890296,0.20154619597221224,-0.14573154186718723,9.098837545435263,3.0618273988099065,762.3179995075852,(1524.6353431206285+0j),(0.9999999991750718+4.6115060618805414e-05j),(0.9999999991750718-4.6115060618805414e-05j),(-0.43063218318241564+0.9025275189815679j),(-0.43063218318241564-0.9025275189815679j),(0.0006558945420492994+0j)
