Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.0629548995699878,0.2002138519346235,-0.1764413797490832,8.32804033405885,3.019003576167452,11.313967726700564,(22.583655633249094+0j),(0.04427981084318087+0j),(1.0001785079420473+0j),(0.9998215248684622+0j),(0.9999999997210031+1.1360751487802241e-08j),(0.9999999997210031-1.1360751487802241e-08j)
1,1.06252140200566,0.2004288279561155,-0.1755662850301708,8.328057585706523,3.019003072498729,11.311071958411056,(22.57785271611883+0j),(0.044291191556979956+0j),(1.0000971048349383+0j),(0.9999028711767405+0j),(1.0000000052000468+0.0001530022678480431j),(1.0000000052000468-0.0001530022678480431j)
2,1.0620879043026223,0.2006432330599983,-0.1746913903177122,8.328109332685973,3.01900156255471,11.302394017126714,(22.560462692938486+0j),(0.04432533202882376+0j),(0.9999996782884735+0.000811041404548093j),(0.9999996782884735-0.000811041404548093j),(0.9999999907918137+6.666172885738327e-05j),(0.9999999907918137-6.666172885738327e-05j)
3,1.0616545387098888,0.2008570082179978,-0.1738169537593405,8.328195475639843,3.018999049103376,11.287947748511533,(22.53151320652+0j),(0.044382283183081996+0j),(0.9999983766349888+0.0018049871347641862j),(0.9999983766349888-0.0018049871347641862j),(0.9999999923823728+6.551695885238974e-05j),(0.9999999923823728-6.551695885238974e-05j)
4,1.061221436585486,0.2010700958202971,-0.1729432313225088,8.328315897043744,3.018995535861684,11.26776396587632,(22.49106582541694+0j),(0.04446209919284141+0j),(0.9999948729412778+0.0032035651634262363j),(0.9999948729412778-0.0032035651634262363j),(0.9999999936485822+6.535101415411342e-05j),(0.9999999936485822-6.535101415411342e-05j)
5,1.060788727928366,0.2012824397036687,-0.1720704760290582,8.32847044790985,3.0189910275610865,11.241877603037391,(22.43919031126879+0j),(0.04456488785104965+0j),(0.9999874820709505+0.00500430504903371j),(0.9999874820709505-0.00500430504903371j),(0.9999999943821414+6.45415621991431e-05j),(0.9999999943821414-6.45415621991431e-05j)
6,1.060356541024854,0.2014939852924283,-0.1711989372775969,8.328658948843358,3.018985529920668,11.210331624473003,(22.375972447073412+0j),(0.04469079509560813+0j),(0.9999740276613588+0.007207656771421124j),(0.9999740276613588-0.007207656771421124j),(0.9999999948878935+6.481018012348455e-05j),(0.9999999948878935-6.481018012348455e-05j)
7,1.0599250021123674,0.2017046797259054,-0.1703288602023273,8.328881191118493,3.018979049616977,11.173176687320336,(22.301513361744682+0j),(0.04484000630287869+0j),(0.9999518373630831+0.009814730564434146j),(0.9999518373630831-0.009814730564434146j),(0.9999999949302238+6.664932110247313e-05j),(0.9999999949302238-6.664932110247313e-05j)
8,1.0594942350508971,0.201914471974815,-0.1694604850506602,8.32913693746453,3.018971594252249,11.130470868640272,(22.21592898194905+0j),(0.04501274740551037+0j),(0.9999177329745297+0.012827076110982397j),(0.9999177329745297-0.012827076110982397j),(0.9999999945567918+6.805356177545709e-05j),(0.9999999945567918-6.805356177545709e-05j)
9,1.05906436102589,0.2021233129445438,-0.1685940466199541,8.329425923409486,3.0189631723166657,11.082279366796808,(22.119349438945257+0j),(0.04520928621245667+0j),(0.9998680167255727+0.016246679483231878j),(0.9998680167255727-0.016246679483231878j),(0.9999999952547921+6.627225455355775e-05j),(0.9999999952547921-6.627225455355775e-05j)
10,1.0586354982598738,0.2023311555677838,-0.1677297737145315,8.329747858298,3.018953793149575,11.02867420454512,(22.01191846716424+0j),(0.04542993383899429+0j),(0.9997984583981754+0.020076051020206646j),(0.9997984583981754-0.020076051020206646j),(0.9999999952702083+6.761978617895473e-05j),(0.9999999952702083-6.761978617895473e-05j)
11,1.0582077617492458,0.2025379548845503,-0.1668678886508827,8.33010242653315,3.0189434668973405,10.969733904816868,(21.893792755156223+0j),(0.04567504638477282+0j),(0.9997042781987658+0.02431791316626767j),(0.9997042781987658-0.02431791316626767j),(0.9999999953739167+6.968416511266976e-05j),(0.9999999953739167-6.968416511266976e-05j)
12,1.0577812630302008,0.2027436681083639,-0.1660086068194683,8.330489289028533,3.0189322044679505,10.905543145978273,(21.76514125705067+0j),(0.04594502685831692+0j),(0.9995801269307905+0.028975408502019583j),(0.9995801269307905-0.028975408502019583j),(0.999999995509673+6.984154242792003e-05j),(0.999999995509673-6.984154242792003e-05j)
13,1.0573561099608908,0.2029482546815472,-0.1651521362789633,8.330908084520937,3.0189200174847746,10.836192414455365,(21.626144493628566+0j),(0.04624032730039039+0j),(0.9994200600581639+0.03405213373472778j),(0.9994200600581639-0.03405213373472778j),(0.9999999954912362+7.148357111743812e-05j),(0.9999999954912362-7.148357111743812e-05j)
14,1.056932406532519,0.2031516763173028,-0.1642986774062481,8.331358431038947,3.0189069182380903,10.761777641952945,(21.476993824246666+0j),(0.04656145118767006+0j),(0.999217513748756+0.039552041216630696j),(0.999217513748756-0.039552041216630696j),(0.9999999956850676+7.252588640720376e-05j),(0.9999999956850676-7.252588640720376e-05j)
15,1.0565102527021015,0.2033538970305095,-0.1634484225885756,8.331839927342944,3.0188929196357908,10.68239984077557,(21.31789071723119+0j),(0.04690895609131282+0j),(0.9989652724776001+0.04547953421558081j),(0.9989652724776001-0.04547953421558081j),(0.9999999956510875+7.361455791285489e-05j),(0.9999999956510875-7.361455791285489e-05j)
16,1.0560897442518835,0.2035548831564217,-0.1626015559669752,8.332352154428186,3.01887803515307,10.598164737669393,(21.149046009234617+0j),(0.04728345662092536+0j),(0.998655434066431+0.05183943460970786j),(0.998655434066431-0.05183943460970786j),(0.999999996103855+7.242350731618953e-05j),(0.999999996103855-7.242350731618953e-05j)
17,1.055670972677818,0.203754603356559,-0.1617582532358841,8.332894677110152,3.018862278781481,10.50918240414251,(20.97067917158097+0j),(0.04768562769897154+0j),(0.9982793687553971+0.05863706133926162j),(0.9982793687553971-0.05863706133926162j),(0.9999999959775273+7.351304591329485e-05j),(0.9999999959775273-7.351304591329485e-05j)
18,1.0552540250901483,0.2039530286179517,-0.1609186814656483,8.333467045412295,3.018845664978648,10.415566904931229,(20.783017592920736+0j),(0.04811620810615555+0j),(0.9978276757541393+0.06587816402018841j),(0.9978276757541393-0.06587816402018841j),(0.9999999958969856+7.493751757215242e-05j),(0.9999999958969856-7.493751757215242e-05j)
19,1.054838984149202,0.2041501322384263,-0.1600829989928736,8.334068796143788,3.018828208617529,10.3174359435608,(20.586295874025996+0j),(0.048576004430247455+0j),(0.9972901314003064+0.07356899343877782j),(0.9972901314003064-0.07356899343877782j),(0.9999999958168526+7.605230714270734e-05j),(0.9999999958168526-7.605230714270734e-05j)
20,1.0544259280197454,0.204345889803831,-0.1592513553461065,8.334699454387648,3.018809924936558,10.21491052694262,(20.38075515010714+0j),(0.049065895361673266+0j),(0.9966556305929176+0.08171631935467318j),(0.9966556305929176-0.08171631935467318j),(0.9999999957012122+7.841271018975387e-05j),(0.9999999957012122-7.841271018975387e-05j)
