Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.4663967914059368,-0.8173922204502216,25.721876918180698,2.8692137930561445,4457859.121151723,(8915718.242303334+0j),(-44.1272358693276+0j),(0.9999987158710053+0.001560736306188747j),(0.9999987158710053-0.001560736306188747j),(1.698809491499834e-07+0j),(-0.022661741219452004+0j)
1,1.4663766806578686,-0.8173633164052134,25.721660281189582,2.869222373396771,4456978.3414106965,(8913956.682821281+0j),(-44.134443183554126+0j),(1.0027034406816449+0j),(0.9973038743844828+0j),(1.526442203735359e-07+0j),(-0.02265804047511769+0j)
2,1.4663372745019014,-0.8173066801519719,25.721235723097227,2.869239185673275,4855623.465339706,(8910503.257430982+0j),(-44.1485642755025+0j),(0.9999956412992819+0.002950575468356692j),(0.9999956412992819-0.002950575468356692j),(1.0297338818981603e-07+0j),(-0.022650793211748985+0j)
3,1.4663046174019263,-0.8172597439321959,25.720883811610552,2.8692531179882765,5222676.272556715,(8907643.883776564+0j),(-44.160265524360675+0j),(0.9999999031979261+0.0004669041119591915j),(0.9999999031979261-0.0004669041119591915j),(9.573635697608229e-08+0j),(-0.022644791378076446+0j)
4,1.4662710905461127,-0.8172115576561608,25.72052246452592,2.8692674208546167,4458530.636833436,(8904708.272054166+0j),(-44.172277142485335+0j),(0.9999976972391451+0.002147341937777653j),(0.9999976972391451-0.002147341937777653j),(1.1214456975339285e-07+0j),(-0.02263863365645221+0j)
5,1.4662116920275374,-0.8171261874724698,25.719882119079305,2.8692927595496966,4449755.229953231,(8899510.45990635+0j),(-44.19355462548342+0j),(0.9999998405601993+0.0005014110794896704j),(0.9999998405601993-0.0005014110794896704j),(1.197194663839081e-07+0j),(-0.0226277340321372+0j)
6,1.4661317807078382,-0.8170113353570132,25.71902031778922,2.8693268462153134,6418445.230471143,(8892521.43229824+0j),(-44.22217376595315+0j),(0.9999983202237857+0.0018312464570297924j),(0.9999983202237857-0.0018312464570297924j),(7.790048556094025e-08+0j),(-0.02261309010481333+0j)
7,1.465732935329086,-0.8164380965699506,25.71471352390119,2.8694969325879236,4428858.239639477,(8857716.47927884+0j),(-44.36490566082265+0j),(0.9999981446576705+0.0019158738547468241j),(0.9999981446576705-0.0019158738547468241j),(1.202428053678437e-07+0j),(-0.022540338700266525+0j)
8,1.457823527273955,-0.8050702972667164,25.627386958651854,2.8728551982993893,5700515.48053249,(8193392.424155854+0j),(0.9999974778094722+0.0022530369994863382j),(0.9999974778094722-0.0022530369994863382j),(8.771136605233786e-08+0j),(-47.15679271121235+0j),(-0.021205852699186067+0j)
9,1.451061335567624,-0.7953515559725952,25.549712028130667,2.8757051236139146,3831532.9844453502,(7663065.96889057+0j),(-49.481926322419774+0j),(0.9999997335446229+0.0007847870456562569j),(0.9999997335446229-0.0007847870456562569j),(1.3078362970133771e-07+0j),(-0.020209399154835956+0j)
10,1.4434971981057707,-0.7844809201811659,25.45933334936657,2.8788714240072384,3659899.900397642,(7108722.143184179+0j),(-52.0078781659547+0j),(0.9999992829040465+0.0011807613388060358j),(0.9999992829040465-0.0011807613388060358j),(1.3661575824674473e-07+0j),(-0.01922785614919543+0j)
11,1.4376776351747484,-0.7761182165014164,25.38714954811821,2.8812930765637135,3354389.4656454083,(6708778.9312906675+0j),(-53.89105905507043+0j),(0.999999895562971+0.00040961676566494287j),(0.999999895562971-0.00040961676566494287j),(1.8138765320099774e-07+0j),(-0.018555953761792057+0j)
12,1.427047548248188,-0.7608451422905611,25.24894051952638,2.8856876538151877,3437200.5043941513,(6034287.479637168+0j),(-57.17384362680544+0j),(1.0009678142568157+0j),(0.9990331864922032+0j),(1.4546721943069822e-07+0j),(-0.017490515532368325+0j)
