Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.10906765914819676,-4.308206006920004,0.0,6.261629749263086,1.858867754270637,1.0497027999160902,(1.3688829466201125+0j),(0.7305226499197606+0j),(1.0000265609665717+0j),(0.9999734420529888+0j),(0.9999997989861682+0.000634076603100495j),(0.9999997989861682-0.000634076603100495j)
1,-0.10912113604663945,-4.306873884304822,0.004818979665522823,6.261619841139321,1.8590893791717065,1.0306007256381156,(1.2725729420819274+0.13652511718959917j),(1.2725729420819274-0.13652511718959917j),(0.7768681414303853+0.0833445441703067j),(0.7768681414303853-0.0833445441703067j),(1.0221773075438616+0j),(0.9783038544629676+0j)
2,-0.10912127482704707,-4.306862125438808,0.009818965836484516,6.261619843896944,1.859088346172502,1.0499373789877668,(1.336611960614877+0.3001033606178672j),(1.336611960614877-0.3001033606178672j),(0.712254368309782+0.15991920989870076j),(0.712254368309782-0.15991920989870076j),(1.0224190229876342+0j),(0.9780725685347196+0j)
3,-0.10912150841650135,-4.306842333476841,0.014818926658698231,6.261619848538478,1.8590866074711272,1.0695013172642265,(1.3870480997691517+0.4183150940054664j),(1.3870480997691517-0.4183150940054664j),(0.6608484168970095+0.19930301416749205j),(0.6608484168970095-0.19930301416749205j),(1.0229305317759665+0j),(0.9775834906392797+0j)
4,-0.10912183681605347,-4.306814508464151,0.01981884922417981,6.261619855063926,1.8590841630635069,1.0893139338239664,(1.4290524767279011+0.5216681438320036j),(1.4290524767279011-0.5216681438320036j),(0.6174803596342955+0.2254079803854959j),(0.6174803596342955-0.2254079803854959j),(1.023644709021852+0j),(0.976901449421339+0j)
5,-0.10912226002703676,-4.306778650467915,0.024818720625024104,6.261619863473314,1.8590810129433777,1.1093787135805702,(1.4650571272384743+0.617086200314826j),(1.4650571272384743-0.617086200314826j),(0.579718352516079+0.24417900736869957j),(0.579718352516079-0.24417900736869957j),(1.0245388497923913+0j),(0.9760488830061421+0j)
6,-0.10912277805117572,-4.306734759574538,0.029818527953422182,6.261619873766671,1.8590771571027744,1.1296961712667597,(1.4964497666398993+0.7074683629390379j),(1.4964497666398993-0.7074683629390379j),(0.5461747878742724+0.2582120639011544j),(0.5461747878742724-0.2582120639011544j),(1.0255934846775747+0j),(0.9750451956620095+0j)
7,-0.10912339089058096,-4.3066828358898,0.03481825830168638,6.261619885944027,1.859072595531849,1.150265860849846,(1.524115186506179+0.7943456371656019j),(1.524115186506179-0.7943456371656019j),(0.5159649775307931+0.2689130927951233j),(0.5159649775307931-0.2689130927951233j),(1.0267899975559642+0j),(0.973908980724093+0j)
8,-0.10912409854771991,-4.306622879539568,0.03981789876228341,6.2616199000054396,1.859067328218881,1.171086869422777,(1.5486607402461776+0.8786385636746j),(1.5486607402461776-0.8786385636746j),(0.48848168196961833+0.27714194080494947j),(0.48848168196961833-0.27714194080494947j),(1.0281109050633503+0j),(0.9726577113542931+0j)
9,-0.10912490102558534,-4.306554890665624,0.04481743642780664,6.261619915950927,1.8590613551508568,1.1921579828980318,(1.5705260499548461+0.9609490849770954j),(1.5705260499548461-0.9609490849770954j),(0.4632854075281607+0.2834678789645088j),(0.4632854075281607-0.2834678789645088j),(1.029540263884668+0j),(0.971307325236185+0j)
10,-0.1091257983274761,-4.306478869431083,0.049816858391060856,6.2616199337805405,1.8590546763127982,1.2134777549234488,(1.590042347685418+1.0416946994262426j),(1.590042347685418-1.0416946994262426j),(0.4400450665039338+0.28828956270230605j),(0.4400450665039338-0.28828956270230605j),(1.0310638882616936+0j),(0.9698720043655441+0j)
11,-0.1091267904571274,-4.306394816017204,0.05481615174504569,6.261619953494331,1.8590472916879186,1.235044541231267,(1.6074671685221016+1.1211778942912274j),(1.6074671685221016-1.1211778942912274j),(0.418503284516423+0.2918981116964241j),(0.418503284516423-0.2918981116964241j),(1.0326693836977305+0j),(0.9683641402798498+0j)
12,-0.10912787741845775,-4.306302730629638,0.059815303583087356,6.261619975092367,1.8590392012569268,1.2568565199804926,(1.6230058837572752+1.1996253093793585j),(1.6230058837572752-1.1996253093793585j),(0.39845486767146887+0.2945131305525893j),(0.39845486767146887-0.2945131305525893j),(1.0343460568877187+0j),(0.9667944236633214+0j)
13,-0.1091290592161503,-4.306202613483997,0.06481430099860629,6.261619998574708,1.8590304050003041,1.278911705830966,(1.636825717069565+1.27721132279473j),(1.636825717069565-1.27721132279473j),(0.3797327864240464+0.29630461522701435j),(0.3797327864240464-0.29630461522701435j),(1.0360847582500308+0j),(0.9651720015901458+0j)
14,-0.10913033585495421,-4.306094464823223,0.06981313108545716,6.261620023941417,1.8590209028953382,1.3012079611054708,(1.649065229125793+1.3540730085893051j),(1.649065229125793-1.3540730085893051j),(0.3621986910378675+0.2974069566544389j),(0.3621986910378675-0.2974069566544389j),(1.0378776976904867+0j),(0.963504661640743+0j)
15,-0.10913170734018335,-4.305978284905179,0.07481178093771584,6.261620051192573,1.8590106949183607,1.323743005513941,(1.6598409464899704+1.4303200285242894j),(1.6598409464899704-1.4303200285242894j),(0.34573628271953916+0.2979282627345514j),(0.34573628271953916-0.2979282627345514j),(0.9617990176243157+0j),(1.0397182588177707+0j)
16,-0.10913317367743687,-4.305854074009616,0.07981023764984872,6.261620080328263,1.8589997810433587,1.3465144251816623,(1.6692521230722033+1.5060414047554396j),(1.6692521230722033-1.5060414047554396j),(0.3302465521448271+0.29795677613916566j),(0.3302465521448271-0.29795677613916566j),(0.9600606830398251+0j),(1.0416008254507876+0j)
17,-0.10913473487281472,-4.3057218324328,0.084808488316611,6.261620111348567,1.8589881612430688,1.3695196813279018,(1.6773842414589633+1.5813102943899913j),(1.6773842414589633-1.5813102943899913j),(0.315644278174598+0.2975654199877619j),(0.315644278174598-0.2975654199877619j),(1.043520626842259+0j),(0.9582944258259501+0j)
18,-0.10913639093271639,-4.30558156049252,0.08980652003319355,6.261620144253575,1.8589758354880779,1.3927561187756292,(1.6843116404876954+1.6561874407413852j),(1.6843116404876954-1.6561874407413852j),(0.30185540025588553+0.29681509683643453j),(0.30185540025588553-0.29681509683643453j),(0.9565043026077683+0j),(1.045473603424292+0j)
19,-0.10913814186400637,-4.305433258523981,0.09480431989513925,6.261620179043387,1.8589628037474561,1.416220974367676,(1.6900995226571964+1.7307237224951726j),(1.6900995226571964-1.7307237224951726j),(0.2888150110168212+0.2957571339027127j),(0.2888150110168212-0.2957571339027127j),(1.0474562924456412+0j),(0.9546937730473642+0j)
20,-0.10913998767379059,-4.30527692688536,0.0998018749985289,6.261620215718111,1.8589490659878614,1.4399113853227337,(1.6948055121075516+1.8049620725849795j),(1.6948055121075516-1.8049620725849795j),(0.2764657982580428+0.29443512928784643j),(0.2764657982580428-0.29443512928784643j),(1.0494657317124116+0j),(0.9528657961078927+0j)
21,-0.10914192836977483,-4.305112565948886,0.10479917243973538,6.261620254277849,1.858934622175152,1.4638243975293228,(1.6984808809749232+1.878938946873817j),(1.6984808809749232-1.878938946873817j),(0.2647568186209662+0.2928863688618382j),(0.2647568186209662-0.2928863688618382j),(1.051499379088935+0j),(0.9510229105438985+0j)
22,-0.10914396396000933,-4.3049401761072215,0.10979619931563411,6.261620294722713,1.8589194722730582,1.4879569737648255,(1.7011715269031717+1.952685465123568j),(1.7011715269031717-1.952685465123568j),(0.2536425200442125+0.29114292959156884j),(0.2536425200442125-0.29114292959156884j),(1.0535550455165341+0j),(0.9491673018813775+0j)
23,-0.10914609445272984,-4.304759757777374,0.11479294272377585,6.261620337052831,1.8589036162427703,1.5123060018145513,(1.7029187611930114+2.0262283092293867j),(1.7029187611930114-2.0262283092293867j),(0.2430819535990776+0.2892325499736086j),(0.2430819535990776-0.2892325499736086j),(1.0556308393677296+0j),(0.9473008580679633+0j)
24,-0.10914831985686885,-4.304571311388021,0.11978938976196486,6.26162038126832,1.8588870540449491,1.5368683024705845,(1.7037599509446717+2.099590438820146j),(1.7037599509446717-2.099590438820146j),(0.23303813139837948+0.28717932484863257j),(0.23303813139837948-0.28717932484863257j),(1.057725120205716+0j),(0.945425215713474+0j)
25,-0.10915064018152242,-4.3043748373927535,0.12478552752875491,6.261620427369316,1.858869785637502,1.5616406373549707,(1.7037290470197997+2.172791667715561j),(1.7037290470197997-2.172791667715561j),(0.2234774985032098+0.2850042660069866j),(0.2234774985032098-0.2850042660069866j),(1.059836460387839+0j),(0.9435417984856158+0j)
26,-0.10915305543628197,-4.304170336261829,0.12978134312317186,6.2616204753559535,1.8588518109769865,1.586619716595758,(1.7028570222529387+2.2458491327485683j),(1.7028570222529387-2.2458491327485683j),(0.21436949482069517+0.2827257588802502j),(0.21436949482069517-0.2827257588802502j),(1.0619636130834482+0j),(0.941651849098104+0j)
27,-0.10915556563102205,-4.303957808487448,0.13477682364494523,6.261620525228381,1.8588331300177394,1.611802206262931,(1.7011722377466985+2.3187776786349743j),(1.7011722377466985-2.3187776786349743j),(0.20568618870022018+0.2803599379467826j),(0.20568618870022018-0.2803599379467826j),(1.0641054856341385+0j),(0.939756455948109+0j)
28,-0.1091581707762382,-4.303737254575362,0.1397719561941787,6.261620576986731,1.8588137427133233,1.6371847355987164,(1.6987007516678017+2.391590176449995j),(1.6987007516678017-2.391590176449995j),(0.19740196823053957+0.2779209978072786j),(0.19740196823053957-0.2779209978072786j),(1.0662611172390906+0j),(0.9378565754361393+0j)
29,-0.10916087088258722,-4.3035086750563005,0.1447667278718605,6.261620630631163,1.8587936490144727,1.6627639039689117,(1.6954665810233234+2.4642977892995224j),(1.6954665810233234-2.4642977892995224j),(0.18949327931420015+0.2754214529350775j),(0.18949327931420015-0.2754214529350775j),(1.0684296602988443+0j),(0.9359530506250148+0j)
30,-0.10916366596117741,-4.3032720704787595,0.14976112577958187,6.261620686161844,1.858772848870398,1.6885362875684853,(1.6914919254003795+2.5369101953381454j),(1.6914919254003795-2.5369101953381454j),(0.1819384020340601+0.2728723560299142j),(0.1819384020340601-0.2728723560299142j),(1.0706103646711893+0j),(0.934046626983188+0j)
31,-0.10916655602358992,-4.303027441408474,0.15475513701952584,6.261620743578934,1.8587513422288886,1.7144984458297716,(1.6867973590244274+2.609435776388784j),(1.6867973590244274-2.609435776388784j),(0.17471725851329037+0.2702834827915875j),(0.17471725851329037-0.2702834827915875j),(1.072802564439838+0j),(0.9321379656240335+0j)
32,-0.10916954108169598,-4.302774788432951,0.1597487486947073,6.261620802882602,1.8587291290355772,1.7406469275144716,(1.6814019967523695+2.681881778217336j),(1.6814019967523695-2.681881778217336j),(0.16781124693182392+0.26766348918187977j),(0.16781124693182392-0.26766348918187977j),(1.075005666691143+0j),(0.9302276545305758+0j)
