Index,Initial x,Initial y,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.074448046912289,-0.4230681198462139,0.0,-0.709194111187233,1.8556148931744627,-0.64376418041908,12.586509060575889,-1.2878765294932224,1.0020088664539613,(0.9385914520289598+0j),(0.9979463214054041+0.06405575377952008j),(0.9979463214054041-0.06405575377952008j),(1.0654262808788821+0j),(0.9999999766955836+0j),(1.000000023304424+0j)
1,-1.074728907104072,-0.4224177652523186,0.0,-0.7081060296035003,1.856066441099316,-0.6437253281315927,12.586509153641307,-1.287938418432382,1.0020136758861469,(0.9385203166840601+0j),(0.9979583150058934+0.06386862696629968j),(0.9979583150058934-0.06386862696629968j),(1.0655070350890448+0j),(0.9999999999999933+4.429866768595776e-08j),(0.9999999999999933-4.429866768595776e-08j)
2,-1.074995988618546,-0.4217982203014664,0.0,-0.7070694799178442,1.8564958368704343,-0.6436883926639142,12.586509241840425,-1.2879972461541875,1.0020182747921385,(0.9384523797135458+0j),(0.9979696894752986+0.06369064992580306j),(0.9979696894752986-0.06369064992580306j),(1.0655841698728616+0j),(1.0000000000001052+3.709388857145605e-08j),(1.0000000000001052-3.709388857145605e-08j)
3,-1.075376849262816,-0.4209128860043808,0.0,-0.7055882184484291,1.857108159546485,-0.6436357405054968,12.586509367106936,-1.288081092866538,1.0020248759459873,(0.9383550085503534+0j),(0.9979858575173446+0.06343680471806826j),(0.9979858575173446-0.06343680471806826j),(1.0656947433447128+0j),(1.0000000000002531+4.997621507686706e-08j),(1.0000000000002531-4.997621507686706e-08j)
4,-1.075738824835398,-0.4200694158252316,0.0,-0.7041769737680106,1.8576901205161296,-0.6435857188850451,12.586509485610804,-1.2881607361293592,1.0020311969729851,(0.9382619276730564+0j),(0.9980011669113651+0.06319549701627127j),(0.9980011669113651-0.06319549701627127j),(1.0658004662734353+0j),(0.9999999714027923+0j),(1.000000028597363+0j)
5,-1.0760828840368937,-0.41926584417974,0.0,-0.702832461094916,1.858243277110348,-0.6435381909811614,12.586509597751997,-1.2882363959507366,1.0020372480077924,(0.9381729669499905+0j),(0.9980156668456397+0.0629660919181781j),(0.9980156668456397-0.0629660919181781j),(1.0659015290642553+0j),(0.9999999698456792+0j),(1.0000000301540017+0j)
6,-1.0764099430091918,-0.418500296410687,0.0,-0.7015515473297718,1.858769102176252,-0.6434930275819316,12.586509703903202,-1.2883082799724779,1.0020430390091262,(0.9380879608163399+0j),(0.9980294034074426+0.06274798749489775j),(0.9980294034074426-0.06274798749489775j),(1.065998117200854+0j),(0.9999999699271525+0j),(1.0000000300729905+0j)
7,-1.076720868443197,-0.4177709847154108,0.0,-0.7003312442997955,1.8592689890616352,-0.643450106607144,12.58650980441281,-1.2883765842577626,1.0020485797273422,(0.9380067486054693+0j),(0.9980424197784306+0.0625406133871273j),(0.9980424197784306-0.0625406133871273j),(1.0660904108503184+0j),(0.9999999798359345+0j),(1.0000000201642585+0j)
8,-1.0770164804644458,-0.4170762042442971,0.0,-0.6991687022664788,1.859744256260464,-0.643409312683203,12.586509899606224,-1.288441493993096,1.002053879693325,(0.9379291745599303+0j),(0.9980547564434237+0.06234342901263328j),(0.9980547564434237-0.06234342901263328j),(1.066178584825793+0j),(0.9999999999999898+3.5903596901057164e-08j),(0.9999999999999898-3.5903596901057164e-08j)
9,-1.0772975553419524,-0.4164143293599641,0.0,-0.6980612037084226,1.8601961517637136,-0.64337053673804,12.58650998978772,-1.2885031841549606,1.0020589482104985,(0.9378550878251783+0j),(0.9980664513826862+0.06215592185057572j),(0.9980664513826862-0.06215592185057572j),(1.066262808598564+0j),(1.0000000000002989+2.3472751691806938e-08j),(1.0000000000002989-2.3472751691806938e-08j)
