Index,Initial x,Initial y,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
-726,0.9228541066700764,0.7951432403553457,-0.8223025955050083,19.060466602067223,2.447866012533915,1.1287370836062514,(1.6522324549785044+0j),(0.6052417121769086+0j),(0.9999999999276261+1.3929953992078683e-05j),(0.9999999999276261-1.3929953992078683e-05j),(0.9269611508707388+0.37515733336347845j),(0.9269611508707388-0.37515733336347845j)
-725,0.916750319511883,0.7979848641555332,-0.8209922192739106,19.059069508427324,2.446862487311957,1.090673298571871,(1.5260676532774058+0j),(0.6552789437420851+0j),(0.9999999998947828+1.7116929385764535e-05j),(0.9999999998947828-1.7116929385764535e-05j),(0.9271374324814017+0.37472147161833047j),(0.9271374324814017-0.37472147161833047j)
-724,0.9106336183503364,0.8007807862302547,-0.8193973350535744,19.057962652078857,2.44634563043064,1.0399798621429135,(1.3255636738383894+0j),(0.7543960501668254+0j),(0.9999999997922704+2.523370046905049e-05j),(0.9999999997922704-2.523370046905049e-05j),(0.9271927061307825+0.37458468428079356j),(0.9271927061307825-0.37458468428079356j)
-723,0.9045235057575378,0.8035271720276992,-0.817547353688168,19.05712512112267,2.4462780473701065,1.000000000495629,(0.9767495173506119+0.21438372310479484j),(0.9767495173506119-0.21438372310479484j),(1.0000314843845628+0j),(0.9999685162423102+0j),(0.927137021787822+0.3747224877563266j),(0.927137021787822-0.3747224877563266j)
-722,0.898434591205121,0.8062221056313084,-0.8154700692209725,19.05653576411045,2.4466215140285583,1.000000000077255,(0.9012803182419524+0.43323641117172773j),(0.9012803182419524-0.43323641117172773j),(1.0000124302943427+0j),(0.999987569850117+0j),(0.9269801268174549+0.37511044305035407j),(0.9269801268174549-0.37511044305035407j)
-721,0.8923773946285967,0.8088651152723568,-0.8131910168709473,19.05617411503121,2.4473387117067467,1.000000000027971,(0.8140117181620552+0.5808484506948696j),(0.8140117181620552-0.5808484506948696j),(1.0000074794568339+0j),(0.9999925206214982+0j),(0.9267311537858693+0.3757251237309962j),(0.9267311537858693-0.3757251237309962j)
-720,0.8863591636301901,0.8114567585465209,-0.8107332083566786,19.056020954669226,2.44839430458182,1.000000000004284,(0.7154732203234606+0.698640158467548j),(0.7154732203234606-0.698640158467548j),(1.0000029271615825+0j),(0.9999970728734342+0j),(0.9263984576508926+0.3765446821586467j),(0.9263984576508926-0.3765446821586467j)
-719,0.8803846112550962,0.8139982873303635,-0.8081171161789815,19.05605859873849,2.4497555190070064,1.0,(0.6062455099063107+0.7952775501100656j),(0.6062455099063107-0.7952775501100656j),(0.9999999999961771+4.3171998672462956e-06j),(0.9999999999961771-4.3171998672462956e-06j),(0.9259895581159362+0.37754912032756943j),(0.9259895581159362-0.37754912032756943j)
-718,0.8744565367843448,0.8164913916119776,-0.8053608051402007,19.056270998285854,2.4513923768369446,1.0,(0.48693239056122933+0.8734396641901963j),(0.48693239056122933-0.8734396641901963j),(0.9999999999936696+6.103881166895706e-06j),(0.9999999999936696-6.103881166895706e-06j),(0.9255111492111403+0.3787203621220018j),(0.9255111492111403-0.3787203621220018j)
-717,0.8685763249594316,0.818938011602811,-0.8024801390530669,19.0566437212514,2.4532777063496884,1.0,(0.3581413199803133+0.9336673898653639j),(0.3581413199803133-0.9336673898653639j),(0.9999999999790916+7.24454373277636e-06j),(0.9999999999790916-7.24454373277636e-06j),(0.9249691476229757+0.3800422028479744j),(0.9249691476229757-0.3800422028479744j)
-716,0.8627443353285013,0.8213402045827892,-0.7994890161645025,19.057163865171063,2.455387021113933,1.0,(0.22047044817612182+0.975393654628762j),(0.22047044817612182-0.975393654628762j),(0.9999999999732314+7.55503997473355e-06j),(0.9999999999732314-7.55503997473355e-06j),(0.9243687602643038+0.38150019010127045j),(0.9243687602643038-0.38150019010127045j)
-715,0.856960199431536,0.8237000535101056,-0.7963996056073753,19.057819934813097,2.4576983284905776,1.0,(0.07450037949962267+0.9972209852369363j),(0.07450037949962267-0.9972209852369363j),(0.9999999999830906+8.136228830494185e-06j),(0.9999999999830906-8.136228830494185e-06j),(0.9237145586882842+0.38308147184017166j),(0.9237145586882842-0.38308147184017166j)
-714,0.8512230442218957,0.8260196063610401,-0.7932225696337621,19.0586017065794,2.4601919080151684,1.0,(-0.07921071419579451+0.9968578949519848j),(-0.07921071419579451-0.9968578949519848j),(0.9999999999730758+8.554610140285394e-06j),(0.9999999999730758-8.554610140285394e-06j),(0.9230105529295363+0.38477463427389064j),(0.9230105529295363-0.38477463427389064j)
-713,0.8455316578975272,0.8283008376357283,-0.7899672649266392,19.05950009226604,2.4628500834835303,1.0,(-0.24012968060681347+0.9707408183473435j),(-0.24012968060681347-0.9707408183473435j),(0.999999999965661+9.37567906061598e-06j),(0.999999999965661-9.37567906061598e-06j),(0.9222602608683815+0.38656954254427284j),(0.9222602608683815-0.38656954254427284j)
-712,0.8398846119528396,0.8305456253506139,-0.7866419202837435,19.060507009948697,2.465657003553269,1.0,(-0.40774941237645734+0.9130938706831551j),(-0.40774941237645734-0.9130938706831551j),(0.9999999999495792+1.0101875062647747e-05j),(0.9999999999495792-1.0101875062647747e-05j),(0.9214667711337545+0.38845719158765973j),(0.9214667711337545-0.38845719158765973j)
-711,0.8342803500589565,0.8327557388115207,-0.7832537913947575,19.06161526521997,2.46859843760413,1.0,(-0.5815888495685773+0.8134828886471089j),(-0.5815888495685773-0.8134828886471089j),(0.9999999999516098+1.0436838160949076e-05j),(0.9999999999516098-1.0436838160949076e-05j),(0.9206327990150891+0.39042957031647496j),(0.9206327990150891-0.39042957031647496j)
-710,0.8287172522926345,0.8349328336147596,-0.7798092941678346,19.062818444472523,2.471661590545422,1.0,(-0.7611923369267184+0.6485261954682491j),(-0.7611923369267184-0.6485261954682491j),(0.9999999999308662+1.145164955806081e-05j),(0.9999999999308662-1.145164955806081e-05j),(0.9197607354385646+0.39247954028881665j),(0.9197607354385646-0.39247954028881665j)
-709,0.8231936809554168,0.8370784514848355,-0.7763141190796986,19.06411082009189,2.4748349369833864,1.0,(-0.9461285784070278+0.32379115667572395j),(-0.9461285784070278-0.32379115667572395j),(0.9999999999320748+1.1684962999901686e-05j),(0.9999999999320748-1.1684962999901686e-05j),(0.9188526895310289+0.39460072851100747j),(0.9188526895310289-0.39460072851100747j)
-708,0.8177080129025875,0.8391940231575602,-0.7727733287799927,19.065487267172333,2.4781080744426243,1.1359893829537828,(-1.674943813338952+0j),(-0.5970349524276797+0j),(0.999999999923112+1.299357626869164e-05j),(0.999999999923112-1.299357626869164e-05j),(0.9179105253683753+0.3967874335432041j),(0.9179105253683753-0.3967874335432041j)
-707,0.812258661849683,0.8412808731761782,-0.7691914414156532,19.06694319059449,2.4814715940084495,1.330388294174851,(-2.2078465628563135+0j),(-0.4529300255083476+0j),(0.9999999999163054+1.3579828141864549e-05j),(0.9999999999163054-1.3579828141864549e-05j),(0.9169358936351376+0.3990345435715467j),(0.9169358936351376-0.3990345435715467j)
-706,0.8068440933909787,0.8433402257415339,-0.7655725016766626,19.06847446149904,2.4849169668980897,1.5289592106455212,(-2.685556058184379+0j),(-0.37236236307166787+0j),(0.9999999998900284+1.4898137224003027e-05j),(0.9999999998900284-1.4898137224003027e-05j),(0.9159302588400605+0.40133746515983887j),(0.9159302588400605-0.40133746515983887j)
-705,0.801462834665397,0.845373211089109,-0.7619201414606296,19.07007736198168,2.4884364451334653,1.7313550091845158,(-3.144716310419382+0j),(-0.31799370799488375+0j),(0.9999999998848371+1.5685014338336145e-05j),(0.9999999998848371-1.5685014338336145e-05j),(0.9148949227161285+0.4036920613389442j),(0.9148949227161285-0.4036920613389442j)
-704,0.7961134802029631,0.8473808719891913,-0.7582376316793877,19.07174853709416,2.4920229747638363,1.937246221222719,(-3.5964396761552124+0j),(-0.278052766063947+0j),(0.9999999999598312+8.839772746210554e-06j),(0.9999999999598312-8.839772746210554e-06j),(0.9138310447076063+0.40609459701941303j),(0.9138310447076063-0.40609459701941303j)
-703,0.7907946948927395,0.8493641702006287,-0.7545279267169633,19.07348495297753,2.495670119808098,2.146319849972949,(-4.0454483075523475+0j),(-0.24719139239864257+0j),(0.999999999969727+8.424255225412904e-06j),(0.999999999969727-8.424255225412904e-06j),(0.9127396578482181+0.4085416955354987j),(0.9127396578482181-0.4085416955354987j)
-702,0.7855052150412636,0.8513239926474602,-0.7507937025102914,19.075283860549373,2.4993719958404097,2.3582781207228045,(-4.494039271838785+0j),(-0.222516969591929+0j),(0.9999999999739797+8.578370578590419e-06j),(0.9999999999739797-8.578370578590419e-06j),(0.9116216857260906+0.411030293425936j),(0.9116216857260906-0.411030293425936j)
-701,0.7802438479541921,0.8532611573070567,-0.7470373893886951,19.07714276377149,2.503123211671577,2.572837450961945,(-4.9433843391420424+0j),(-0.2022905627793133+0j),(0.9999999999729896+8.695204094984122e-06j),(0.9999999999729896-8.695204094984122e-06j),(0.9104779540908521+0.41355760797542607j),(0.9104779540908521-0.41355760797542607j)
-700,0.7750094705689895,0.8551764187148293,-0.7432612003846604,19.07905939199183,2.5069188182169824,2.7897274403129493,(-5.3940659726921485+0j),(-0.18538890794175852+0j),(0.9999999999715838+8.856252602520279e-06j),(0.9999999999715838-8.856252602520279e-06j),(0.9093092023209004+0.4161211056583945j),(0.9093092023209004-0.4161211056583945j)
-699,0.7698010274627077,0.8570704730698967,-0.7394671557008451,19.08103167580657,2.510754263600393,3.0086899479847915,(-5.846332490609647+0j),(-0.17104740476256117+0j),(0.9999999999630043+9.05108959032787e-06j),(0.9999999999630043-9.05108959032787e-06j),(0.9081160930923113+0.418718475191272j),(0.9081160930923113-0.418718475191272j)
-698,0.7646175283428499,0.8589439629950181,-0.7356571040219274,19.083057725800742,2.5146253534612892,3.229478251740432,(-6.3002321944531765+0j),(-0.15872430873808896+0j),(0.9999999999625417+9.083648232982938e-06j),(0.9999999999625417-9.083648232982938e-06j),(0.9068992208099527+0.4213476038783033j),(0.9068992208099527-0.4213476038783033j)
-697,0.7594580454018022,0.8607974818676939,-0.7318327409563078,19.085135814035635,2.51852821611004,3.4518562712848806,(-6.7556891537095405+0j),(-0.1480233884639654+0j),(0.9999999999691547+8.400645904647646e-06j),(0.9999999999691547-8.400645904647646e-06j),(0.9056591189284517+0.4240065569086855j),(0.9056591189284517-0.4240065569086855j)
-696,0.7543217104589083,0.8626315778301135,-0.7279956251950023,19.087264357666708,2.522459271588025,3.675597861188064,(-7.21254847351081+0j),(-0.1386472484186023+0j),(0.99999999996413+8.58113045621226e-06j),(0.99999999996413-8.58113045621226e-06j),(0.9043962663601872+0.4266935591188973j),(0.9043962663601872-0.4266935591188973j)
-695,0.749207712049451,0.8644467574671784,-0.7241471926583399,19.08944190448917,2.5264152042331487,3.900486163426604,(-7.670604505214085+0j),(-0.13036782164351302+0j),(0.9999999999727105+8.603959351858373e-06j),(0.9999999999727105-8.603959351858373e-06j),(0.9031110930962452+0.4294069788981105j),(0.9031110930962452-0.4294069788981105j)
-694,0.7441152926058688,0.8662434891415431,-0.7202887688497746,19.09166712025724,2.5303929384182235,4.1263130160883925,(-8.12961903820817+0j),(-0.12300699397190769+0j),(0.9999999999731951+8.918079282463534e-06j),(0.9999999999731951-8.918079282463534e-06j),(0.9018039851156212+0.4321453140200122j),(0.9018039851156212-0.4321453140200122j)
-693,0.7390437456251864,0.8680222060722596,-0.7164215797822818,19.09393877736591,2.534389616849327,4.352878408728225,(-8.58933334648095+0j),(-0.11642347079103926+0j),(0.9999999999664833+8.688090847107318e-06j),(0.9999999999664833-8.688090847107318e-06j),(0.9004752887333969+0.4349071790397735j),(0.9004752887333969-0.4349071790397735j)
-692,0.7339924129498128,0.8697833091415761,-0.7125467616012499,19.096255744833503,2.538402581237302,4.579989996200181,(-9.049476360348942+0j),(-0.11050363138221302+0j),(0.9999999999629898+8.902634518060746e-06j),(0.9999999999629898-8.902634518060746e-06j),(0.8991253144153613+0.43769129415285696j),(0.8991253144153613-0.43769129415285696j)
-691,0.7289606821750461,0.8715271694519231,-0.7086653690793222,19.09861697940868,2.542429355045476,4.8074626357257255,(-9.509770259629377+0j),(-0.1051550113886129+0j),(0.9999999999676238+8.424375303487458e-06j),(0.9999999999676238-8.424375303487458e-06j),(0.8977543401607412+0.44049647526657815j),(0.8977543401607412-0.44049647526657815j)
-690,0.7239479841803041,0.8732541306635615,-0.7047783831497814,19.101021517653447,2.5464676280339114,5.035117983158336,(-9.969934403467349+0j),(-0.10030156262915191+0j),(0.9999999999641196+8.584318135115204e-06j),(0.9999999999641196-8.584318135115204e-06j),(0.896362614488927+0.4433216251733569j),(0.896362614488927-0.4433216251733569j)
-689,0.7189537907356621,0.8749645111524536,-0.7008867176359335,19.10346846880724,2.5505152423253232,5.262784110004575,(-10.42968807529306+0j),(-0.09588014452228179+0j),(0.9999999999605136+8.367676016947793e-06j),(0.9999999999605136-8.367676016947793e-06j),(0.89495035910567+0.4461657256405637j),(0.89495035910567-0.4461657256405637j)
-688,0.7139776122876722,0.8766586059655398,-0.6969912252119081,19.1059570084578,2.5545701799350504,5.490295158671802,(-10.88875243005854+0j),(-0.0918378855858116+0j),(0.9999999999682441+8.375690584204363e-06j),(0.9999999999682441-8.375690584204363e-06j),(0.8935177712674086+0.4490278303503772j),(0.8935177712674086-0.4490278303503772j)
-687,0.7090189958648384,0.8783366886153723,-0.6930927027315859,19.1084863728566,2.5586305515236454,5.717491021113259,(-11.346851870368456+0j),(-0.08813017137989544+0j),(0.9999999999765274+8.27975545010477e-06j),(0.9999999999765274-8.27975545010477e-06j),(0.8920650258876741+0.4519070585727163j),(0.8920650258876741-0.4519070585727163j)
-686,0.704077523101728,0.8799990127258243,-0.6891918960003665,19.11105585380203,2.562694586236617,5.94421705489421,(-11.803715018041764+0j),(-0.08471909041848236+0j),(0.9999999999623977+8.814230040765597e-06j),(0.9999999999623977-8.814230040765597e-06j),(0.8905922774221763+0.4548025894778063j),(0.8905922774221763-0.4548025894778063j)
-685,0.6991528083242002,0.8816458135669891,-0.6852895040967271,19.113664793966148,2.566760622445127,6.170323811981207,(-12.259075403621507+0j),(-0.08157222034149494+0j),(0.9999999999591511+8.950220333122374e-06j),(0.9999999999591511-8.950220333122374e-06j),(0.8890996615668139+0.4577136569968313j),(0.8890996615668139-0.4577136569968313j)
-684,0.6942444968622872,0.8832773094211532,-0.6813861831808011,19.116312582797985,2.570827099487083,6.395666799725873,(-12.712671929778864+0j),(-0.07866166967433375+0j),(0.9999999999634681+8.94943846987773e-06j),(0.9999999999634681-8.94943846987773e-06j),(0.8875872967643177+0.4606395452220892j),(0.8875872967643177-0.4606395452220892j)
-683,0.6893522634135129,0.8848937028611046,-0.6774825499645485,19.1189986527604,2.5748925501020627,6.620106245855537,(-13.164249177242006+0j),(-0.07596331447330451+0j),(0.9999999999587605+8.768755485720281e-06j),(0.9999999999587605-8.768755485720281e-06j),(0.8860552855628405+0.46357958424188145j),(0.8860552855628405-0.46357958424188145j)
-682,0.6844758104442524,0.8864951819515403,-0.6735791848835353,19.12172247584676,2.578955593485575,6.843506903945331,(-13.61355762310813+0j),(-0.07345618446416823+0j),(0.999999999964023+8.472075963519967e-06j),(0.999999999964023-8.472075963519967e-06j),(0.8845037158576404+0.4665331463398108j),(0.8845037158576404-0.4665331463398108j)
-681,0.6796148668227691,0.8880819213063519,-0.6696766348827564,19.124483560564776,2.583014929105795,7.0657378554504335,(-14.060353744907532+0j),(-0.07112196592903026+0j),(0.9999999999695395+8.589477084563507e-06j),(0.9999999999695395-8.589477084563507e-06j),(0.8829326619864212+0.4694996425956594j),(0.8829326619864212-0.4694996425956594j)
-680,0.6747691864173387,0.8896540831115246,-0.6657754160170632,19.12728144905947,2.587069330933677,7.2866723406188605,(-14.504400085022883+0j),(-0.06894459571604081+0j),(0.9999999999729667+8.691208932212679e-06j),(0.9999999999729667-8.691208932212679e-06j),(0.8813421857347686+0.4724785197700683j),(0.8813421857347686-0.4724785197700683j)
-679,0.66993854688271,0.8912118180307869,-0.6618760157496618,19.13011571460144,2.5911176422769504,7.506187593087164,(-14.945465256796009+0j),(-0.06690992770756934+0j),(0.9999999999654674+8.524089165012054e-06j),(0.9999999999654674-8.524089165012054e-06j),(0.8797323372416773+0.47546925748258617j),(0.8797323372416773-0.47546925748258617j)
-678,0.6651227483933486,0.8927552660933538,-0.6579788951217175,19.132985959155352,2.5951587709219672,7.72416469872749,(-15.383323940646145+0j),(-0.06500545681006939+0j),(0.9999999999702769+8.478242050975118e-06j),(0.9999999999702769-8.478242050975118e-06j),(0.8781031558325505+0.47847136561840814j),(0.8781031558325505-0.47847136561840814j)
-677,0.660321612627789,0.8942845574515194,-0.6540844906236954,19.135891811338155,2.599191684858533,7.940488455022317,(-15.817756820664222+0j),(-0.06322008938358818+0j),(0.9999999999708493+8.583379961832731e-06j),(0.9999999999708493-8.583379961832731e-06j),(0.8764546707526379+0.4814843820060957j),(0.8764546707526379-0.4814843820060957j)
-676,0.6555349816805061,0.8957998131339705,-0.650193215986276,19.13883292440764,2.6032154082190653,8.15504724678278,(-16.248550540669097+0j),(-0.06154395109806148+0j),(0.9999999999635293+8.317682834703774e-06j),(0.9999999999635293-8.317682834703774e-06j),(0.8747869018597711+0.4845078702501419j),(0.8747869018597711-0.4845078702501419j)
-675,0.6507627170455478,0.8973011457426392,-0.6463054638120398,19.14180897442129,2.607229017558466,8.367732931483005,(-16.67549763693493+0j),(-0.05996822534061423+0j),(0.9999999999665232+8.264222976286927e-06j),(0.9999999999665232-8.264222976286927e-06j),(0.8730998602493335+0.48754141776092186j),(0.8730998602493335-0.48754141776092186j)
-674,0.6460046987805818,0.8987886600577542,-0.6424216070011354,19.14481965866661,2.611231638544282,8.578440731372114,(-17.09839644614341+0j),(-0.05848501660296531+0j),(0.9999999999646021+8.139202013419999e-06j),(0.9999999999646021-8.139202013419999e-06j),(0.8713935488105207+0.49058463397371255j),(0.8713935488105207-0.49058463397371255j)
-673,0.6412608245544825,0.900262453661227,-0.6385420001537203,19.1478646940442,2.6152224427530966,8.787069140594234,(-17.517051045872808+0j),(-0.05708723445127281+0j),(0.9999999999738078+8.400355876477678e-06j),(0.9999999999738078-8.400355876477678e-06j),(0.8696679627661965+0.4936371486607961j),(0.8696679627661965-0.4936371486607961j)
-672,0.6365310089225069,0.90172261745683,-0.6346669807628336,19.15094381575303,2.619200644872757,8.993519825160217,(-17.931271153840402+0j),(-0.055768494677260444+0j),(0.9999999999744349+8.3513643338604e-06j),(0.9999999999744349-8.3513643338604e-06j),(0.8679230901293633+0.4966986104472283j),(0.8679230901293633-0.4966986104472283j)
