Index,Initial x,Initial y,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
-783,1.1374207970310166,0.6423297676123664,-0.6924162958025107,19.30264691700511,2.7640387469331813,14.704867566180434,(-29.375693382708462+0j),(0.999999999967057+7.524696243658209e-06j),(0.999999999967057-7.524696243658209e-06j),(-0.03404174965272369+0j),(0.7802195996259995+0.62550569650418j),(0.7802195996259995-0.62550569650418j)
-782,1.1369943608434263,0.6415644246828681,-0.6895963508966013,19.30668180400549,2.7668803869908603,14.762808820646535,(-29.491709807310787+0j),(0.9999999999624629+7.875214282214116e-06j),(0.9999999999624629-7.875214282214116e-06j),(-0.033907833982582736+0j),(0.777814877296231+0.6284934499708899j),(0.777814877296231-0.6284934499708899j)
-781,1.1365578885593444,0.6408040698543623,-0.6867854068879873,19.31072283682649,2.769686857315313,14.817076498111376,(-29.600369634313623+0j),(0.9999999999679338+7.477004852489853e-06j),(0.9999999999679338-7.477004852489853e-06j),(-0.033783361909433623+0j),(0.7754019528572611+0.6314679813773825j),(0.7754019528572611-0.6314679813773825j)
-780,1.1361116211114135,0.6400486642778507,-0.6839834447180042,19.31476996121028,2.772458652120933,14.867725265647932,(-29.701782518294152+0j),(0.9999999999643779+7.76175336081178e-06j),(0.9999999999643779-7.76175336081178e-06j),(-0.03366801300199575+0j),(0.7729807977975138+0.634429417851998j),(0.7729807977975138-0.634429417851998j)
-779,1.135655791433586,0.639298170999803,-0.6811904442870819,19.31882312389358,2.775196256285088,14.91480955814994,(-29.796057629325986+0j),(0.999999999959151+8.181753261467714e-06j),(0.999999999959151-8.181753261467714e-06j),(-0.03356148697428768+0j),(0.7705513839737383+0.6373778821513513j),(0.7705513839737383-0.6373778821513513j)
-778,1.1351906248363235,0.6385525548483855,-0.6784063845405409,19.32288227256285,2.7779001456143626,14.958383568062752,(-29.883303633821555+0j),(0.9999999999620731+8.096547557636743e-06j),(0.9999999999620731-8.096547557636743e-06j),(-0.033463502304240306+0j),(0.7681136836069112+0.6403134927950848j),(0.7681136836069112-0.6403134927950848j)
-777,1.1347163393549458,0.6378117823280935,-0.6756312435449775,19.32694735581047,2.780570787098938,14.998501233353904,(-29.96362867173272+0j),(-0.033373794975285725+0j),(0.999999999967826+7.766624527284115e-06j),(0.999999999967826-7.766624527284115e-06j),(0.7656676692839681+0.6432363641873985j),(0.7656676692839681-0.6432363641873985j)
-776,1.134233146083543,0.6370758215208258,-0.6728649985630063,19.33101832309754,2.78320863915848,15.03521622727236,(-30.03714033722686+0j),(-0.03329211731811871+0j),(0.9999999999656357+7.664571980941274e-06j),(0.9999999999656357-7.664571980941274e-06j),(0.7632133139487024+0.6461466067473461j),(0.7632133139487024-0.6461466067473461j)
-775,1.1337412494861026,0.6363446419930001,-0.6701076261187715,19.335095124716368,2.7858141518787756,15.068581945515191,(-30.103945654075964+0j),(-0.0332182369547882+0j),(0.9999999999616276+7.916952064969205e-06j),(0.9999999999616276-7.916952064969205e-06j),(0.7607505909002281+0.6490443270259528j),(0.7607505909002281-0.6490443270259528j)
-774,1.1332408476880496,0.6356182147104633,-0.6673591020598002,19.339177711756584,2.788387767236422,15.098651496562246,(-30.164151057301723+0j),(0.9999999999635565+8.319568981592117e-06j),(0.9999999999635565-8.319568981592117e-06j),(-0.03315193582289045+0j),(0.7582794737919337+0.6519296278169826j),(0.7582794737919337-0.6519296278169826j)
-773,1.132732132749138,0.6348965119577848,-0.6646194016095095,19.34326603606984,2.7909299193178914,15.125477691532842,(-30.217862373784275+0j),(0.9999999999640193+8.093423205051502e-06j),(0.9999999999640193-8.093423205051502e-06j),(-0.03309300928157349+0j),(0.7557999366342397+0.6548026082595036j),(0.7557999366342397-0.6548026082595036j)
-772,1.1322152909261942,0.6341795072641399,-0.6618884994247785,19.347360050243825,2.793441034525489,15.14911303676743,(-30.265184808254787+0j),(-0.03304126528036267+0j),(0.9999999999641334+7.885810146196237e-06j),(0.9999999999641334-7.885810146196237e-06j),(0.7533119537883158+0.6576633639479285j),(0.7533119537883158-0.6576633639479285j)
-771,1.131690502913163,0.633467175332998,-0.6591663696388399,19.35145970756972,2.7959215317789257,15.16960972240855,(-30.30622292121204+0j),(0.9999999999619718+8.125317909138697e-06j),(0.9999999999619718-8.125317909138697e-06j),(-0.032996523605285676+0j),(0.7508154999742006+0.6605119870208302j),(0.7508154999742006-0.6605119870208302j)
-770,1.1311579440761077,0.6327594919760232,-0.6564529859069014,19.35556496201672,2.798371822711293,15.187019614095044,(-30.341080613012384+0j),(0.9999999999653814+7.832219739484482e-06j),(0.9999999999653814-7.832219739484482e-06j),(-0.03295861517789971+0j),(0.7483105502644554+0.6633485662625977j),(0.7483105502644554-0.6633485662625977j)
-769,1.1306177846649903,0.6320564340533223,-0.6537483214454628,19.35967576820516,2.80079231185011,15.201394246633503,(-30.369861111863564+0j),(-0.03292738140372084+0j),(0.9999999999650344+7.671306476523262e-06j),(0.9999999999650344-7.671306476523262e-06j),(0.7457970800947968+0.6661731871831497j),(0.7457970800947968-0.6661731871831497j)
-768,1.130070190025378,0.6313579794148678,-0.6510523490718813,19.3637920813844,2.803183396800003,15.212784814166929,(-30.392666954755104+0j),(0.9999999999657272+7.65776328697358e-06j),(0.9999999999657272-7.65776328697358e-06j),(-0.0329026735788678+0j),(0.7432750652576253+0.6689859321136907j),(0.7432750652576253-0.6689859321136907j)
-767,1.1295153207884296,0.6306641068475093,-0.6483650412360302,19.36791385740761,2.8055454684135945,15.221242164691564,(-30.409599977048515+0j),(0.9999999999607012+7.960515196344848e-06j),(0.9999999999607012-7.960515196344848e-06j),(-0.03288435233505785+0j),(0.7407444819099159+0.6717868802824675j),(0.7407444819099159-0.6717868802824675j)
-766,1.1289533330570412,0.6299747960247766,-0.6456863700542189,19.37204105271183,2.8078789109574993,15.226816791599449,(-30.420761296070133+0j),(0.9999999999662161+7.898412869309709e-06j),(0.9999999999662161-7.898412869309709e-06j),(-0.032872287128897386+0j),(0.7382053065757884+0.674576107895303j),(0.7382053065757884-0.674576107895303j)
-765,1.1283843785774612,0.6292900274595606,-0.6430163073353166,19.37617362429492,2.810184102273259,15.229558828060709,(-30.426251300350916+0j),(-0.03286635577077135+0j),(0.9999999999662827+7.717902761265816e-06j),(0.9999999999662827-7.717902761265816e-06j),(0.7356575161512424+0.6773536882086966j),(0.7356575161512424-0.6773536882086966j)
-764,1.1278086049059914,0.6286097824601439,-0.6403548246101737,19.380311529697877,2.8124614139308513,15.22951804048181,(-30.426169636980326+0j),(0.999999999963099+7.731271271124725e-06j),(0.999999999963099-7.731271271124725e-06j),(-0.032866443983581906+0j),(0.7331010879070321+0.6801196916052177j),(0.7331010879070321-0.6801196916052177j)
-763,1.127226155567674,0.6279340430884199,-0.6377018931573364,19.384454726986966,2.814711211379236,15.226743822722293,(-30.420615200445994+0j),(-0.03287244499893578+0j),(0.9999999999640431+7.500103618944027e-06j),(0.9999999999640431-7.500103618944027e-06j),(0.7305359994888252+0.6828741856671056j),(0.7305359994888252-0.6828741856671056j)
