Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.3516031303230902,6.739109113264173e-35,-1.3684821956476416,6.268860358527035,4.089274313824694,1.0,(0.9995675040374996+0.029407563877979687j),(0.9995675040374996-0.029407563877979687j),(0.9999999991031134+4.228566175625051e-05j),(0.9999999991031134-4.228566175625051e-05j),(0.9999999999921156+3.999255365611799e-06j),(0.9999999999921156-3.999255365611799e-06j)
1,-0.3516015589323542,0.0009999952885325,-1.368483988043285,6.268856490213833,4.08927000718717,1.0000000003027023,(0.9995674019913321+0.02941103224284246j),(0.9995674019913321-0.02941103224284246j),(1.0000246052712922+0j),(0.9999753953287491+0j),(1.000000000000108+9.341094116427575e-08j),(1.000000000000108-9.341094116427575e-08j)
2,-0.3515971870394677,0.0019999769757214,-1.368488169370233,6.2688568269296425,4.089254728370907,1.0000000002777032,(0.9995674452511574+0.029409561964309095j),(0.9995674452511574-0.029409561964309095j),(1.0000235673310869+0j),(0.9999764332193242+0j),(1.000000000000055+3.835687026063156e-07j),(1.000000000000055-3.835687026063156e-07j)
3,-0.3515899007352019,0.0029999261084498,-1.3684951380861126,6.268857388088827,4.08922926435058,1.0000000002159184,(0.9995675173425207+0.029407111634948434j),(0.9995675173425207-0.029407111634948434j),(1.0000207808866126+0j),(0.9999792195395223+0j),(0.999999999999734+9.832261870855226e-07j),(0.999999999999734-9.832261870855226e-07j)
4,-0.3515797003027808,0.0039998264135702,-1.3685048939420927,6.268858173640042,4.089193616163489,1.000000000033438,(0.9995676182517215+0.029403681460066805j),(0.9995676182517215-0.029403681460066805j),(1.00000817778596+0j),(0.9999918222780023+0j),(0.9999999999894188+4.3155479812404615e-06j),(0.9999999999894188-4.3155479812404615e-06j)
5,-0.3515665861388609,0.0049996616228742,-1.3685174365885695,6.268859183511425,4.089147785261552,1.0000000000022145,(0.9995677479606555+0.02939927172562261j),(0.9995677479606555-0.02939927172562261j),(0.9999999996526742+2.6268357462912738e-05j),(0.9999999996526742-2.6268357462912738e-05j),(1.0000021044943843+0j),(0.9999978955095206+0j)
6,-0.3515505587533411,0.0059994154747349,-1.36853276557591,6.268860417610617,4.089091773511062,1.000000000001538,(0.9995679064449043+0.029393882800228054j),(0.9995679064449043-0.029393882800228054j),(0.9999999989800425+4.511020351187298e-05j),(0.9999999989800425-4.511020351187298e-05j),(1.0000017536960046+0j),(0.9999982463067714+0j)
7,-0.3515316187693347,0.0069990717157591,-1.3685508803541342,6.268861875824796,4.089025583192274,1.00000000000141,(0.9995680936760998+0.029387515134005657j),(0.9995680936760998-0.029387515134005657j),(0.9999999978852852+6.499420315090661e-05j),(0.9999999978852852-6.499420315090661e-05j),(1.0000016792978224+0j),(0.9999983207048243+0j)
8,-0.3515097669225249,0.007998614102356,-1.3685717802761757,6.268863558020699,4.088949216999017,1.0000000000012887,(0.9995683096194304+0.02938016925849313j),(0.9995683096194304-0.02938016925849313j),(0.999999996185231+8.731367529246142e-05j),(0.999999996185231-8.731367529246142e-05j),(1.000001605481638+0j),(0.9999983945212326+0j)
9,-0.3514850040621636,0.0089980264025298,-1.3685954645911598,6.268865464044646,4.088862678038101,1.0000000000012386,(0.9995685542352507+0.029371845785598264j),(0.9995685542352507-0.029371845785598264j),(0.9999999937255011+0.00011200486596997374j),(0.9999999937255011-0.00011200486596997374j),(1.0000015738678212+0j),(0.9999984261339439+0j)
