Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.5596450792695487,-0.8232676494964765,19.211394051794723,3.259755179554943,1.0000000032135243,(1.000080172071398+0j),(0.9999198343376962+0j),(0.9999999999680196+2.5422619834408616e-07j),(0.9999999999680196-2.5422619834408616e-07j),(0.8828589556248791+0.46963822722470383j),(0.8828589556248791-0.46963822722470383j)
1,-0.5599327945274701,-0.8223099334999333,19.211394015759414,3.259754997519141,1.0000000007136596,(1.000037779296002+0j),(0.9999622208372667+0j),(1.0000000006056888+7.255278870500589e-07j),(1.0000000006056888-7.255278870500589e-07j),(0.8828587945041946+0.4696385301105562j),(0.8828587945041946-0.4696385301105562j)
2,-0.5602206277928292,-0.8213522530314875,19.21139474173698,3.259754434177158,1.0000000000116889,(1.0000000660893753+9.516854122680968e-06j),(1.0000000660893753-9.516854122680968e-06j),(0.9999951649749708+0j),(1.0000047026963124+0j),(0.8828579231795254+0.46964016808288284j),(0.8828579231795254-0.46964016808288284j)
3,-0.5605085781518541,-0.820394607885813,19.211395951242967,3.259753494574797,1.0000000000019371,(1.0000000164126708+3.842438704286459e-05j),(1.0000000164126708-3.842438704286459e-05j),(0.9999980315764789+0j),(1.000001934042951+0j),(0.8828564570160207+0.46964292425510457j),(0.8828564570160207-0.46964292425510457j)
4,-0.5607966456346735,-0.8194369981492182,19.21139764562636,3.259752178104764,1.0000000000027551,(1.0000000097834296+6.998512193974807e-05j),(1.0000000097834296-6.998512193974807e-05j),(0.9999976525690214+0j),(1.0000023228881938+0j),(0.882854404874047+0.4696467819460729j),(0.882854404874047-0.4696467819460729j)
5,-0.5610848302701907,-0.8184794239079441,19.211399825817487,3.2597504841681104,1.0000000000022828,(1.0000000033246135+0.0001108654619703731j),(1.0000000033246135-0.0001108654619703731j),(0.9999978632317277+0j),(1.000002117749475+0j),(0.8828517650561771+0.4696517443116534j),(0.8828517650561771-0.4696517443116534j)
6,-0.5613731320874702,-0.8175218852486555,19.211402492745822,3.259748412165842,1.0000000000017704,(0.9999999950327366+0.00016043168369356435j),(0.9999999950327366-0.00016043168369356435j),(0.9999981183676249+0j),(1.0000018657488001+0j),(0.8828485362920182+0.4696578136950449j),(0.8828485362920182-0.4696578136950449j)
7,-0.5616615511156822,-0.8165643822584071,19.21140564732012,3.2597459614992834,1.0000000000019649,(0.9999999828397984+0.0002187210954537151j),(0.9999999828397984-0.0002187210954537151j),(0.9999980175956368+0j),(1.0000019688060633+0j),(0.8828447174374605+0.469664992191797j),(0.8828447174374605-0.469664992191797j)
8,-0.5619500873841847,-0.8156069150246825,19.21140929045364,3.259743131569576,1.00000000000101,(0.9999999649916708+0.00028614484630537013j),(0.9999999649916708-0.00028614484630537013j),(0.9999985786872106+0j),(1.000001409368054+0j),(0.882840307384168+0.4696732818199938j),(0.882840307384168-0.4696732818199938j)
9,-0.5622387409226298,-0.8146494836354655,19.211413423098087,3.259739921777004,1.0000000000007216,(0.9999999396165313+0.0003624461025515292j),(0.9999999396165313-0.0003624461025515292j),(0.9999987986845549+0j),(1.0000011906313686+0j),(0.8828353050252078+0.46968268458477486j),(0.8828353050252078-0.46968268458477486j)
10,-0.5625275117608012,-0.8136920881791424,19.211418046186093,3.259736331522034,1.0000000000000058,(0.9999999044539389+0.00044779960516649035j),(0.9999999044539389-0.00044779960516649035j),(1.0000000983183257+0j),(0.9999998921593498+0j),(0.8828297092539328+0.4696932024800519j),(0.8828297092539328-0.4696932024800519j)
11,-0.5628163999289382,-0.8127347287447634,19.21142316076041,3.2597323602031616,1.0,(0.9999998572906348+0.0005421410127248137j),(0.9999998572906348-0.0005421410127248137j),(0.9999999957057889+5.115926530905696e-07j),(0.9999999957057889-5.115926530905696e-07j),(0.8828235189165374+0.46970483757906245j),(0.8828235189165374-0.46970483757906245j)
12,-0.5631054054573152,-0.8117774054217214,19.211428767801987,3.2597280072197146,1.0,(0.9999997955549508+0.0006455808242913323j),(0.9999997955549508-0.0006455808242913323j),(0.9999999960117336+1.3345436977832957e-06j),(0.9999999960117336-1.3345436977832957e-06j),(0.8828167328754974+0.4697175919128183j),(0.8828167328754974-0.4697175919128183j)
13,-0.5633945283765103,-0.8108201182999791,19.21143486834093,3.2597232719700484,1.0,(0.9999997163271002+0.0007580224707556516j),(0.9999997163271002-0.0007580224707556516j),(0.9999999963284436+7.994709740806448e-07j),(0.9999999963284436-7.994709740806448e-07j),(0.8828093499654524+0.46973146755450745j),(0.8828093499654524-0.46973146755450745j)
14,-0.563683768717374,-0.8098628674700641,19.211441463443634,3.25971815385173,1.000000000000149,(0.9999996165706648+0.0008795723156966448j),(0.9999996165706648-0.0008795723156966448j),(1.0000005389785434+0j),(0.9999994541417448+0j),(0.8828013689972936+0.469746466611383j),(0.8828013689972936-0.469746466611383j)
15,-0.5639731265109243,-0.8089056530229827,19.211448554173124,3.259712652262265,1.0,(0.9999994927936481+0.0010102935668258122j),(0.9999994927936481-0.0010102935668258122j),(0.9999999968133986+1.3714796686935098e-06j),(0.9999999968133986-1.3714796686935098e-06j),(0.8827927887688709+0.4697625912043708j),(0.8827927887688709-0.4697625912043708j)
16,-0.5642626017885021,-0.8079484750503848,19.211456141648465,3.259706766598,1.0,(0.9999993415673629+0.0011501057284587376j),(0.9999993415673629-0.0011501057284587376j),(0.9999999970139397+1.631844840557134e-06j),(0.9999999970139397-1.631844840557134e-06j),(0.8827836080483822+0.46977984349952184j),(0.8827836080483822-0.46977984349952184j)
17,-0.5645521945816373,-0.8069913336444489,19.211464226995137,3.259700496255047,1.0,(0.9999991590702579+0.001299035535482446j),(0.9999991590702579-0.001299035535482446j),(0.9999999971359125+1.481138481922071e-06j),(0.9999999971359125-1.481138481922071e-06j),(0.8827738255888051+0.46979822568061724j),(0.8827738255888051-0.46979822568061724j)
18,-0.5648419049221038,-0.8060342288979523,19.21147281136725,3.259693840628885,1.0,(0.9999989410045155+0.0014571576599665187j),(0.9999989410045155-0.0014571576599665187j),(0.9999999972922887+2.1673165311045306e-06j),(0.9999999972922887-2.1673165311045306e-06j),(0.882763440119507+0.4698177399648855j),(0.882763440119507-0.4698177399648855j)
19,-0.565131732841911,-0.8050771609042743,19.21148189594274,3.2596867991144176,1.0,(0.9999986831875666+0.0016243924899348489j),(0.9999986831875666-0.0016243924899348489j),(0.999999997439101+1.7322965039065921e-06j),(0.999999997439101-1.7322965039065921e-06j),(0.8827524503495097+0.46983838859686905j),(0.8827524503495097-0.46983838859686905j)
20,-0.5654216783732916,-0.8041201297574035,19.21149148192252,3.259679371106035,1.0,(0.9999983809104545+0.00180083020384579j),(0.9999983809104545-0.00180083020384579j),(0.9999999975464926+1.7208675943754832e-06j),(0.9999999975464926-1.7208675943754832e-06j),(0.8827408549657363+0.469860173851444j),(0.8827408549657363-0.469860173851444j)
21,-0.5657117415487216,-0.8031631355519715,19.211501570535784,3.259671555997471,1.0,(0.9999980292530581+0.001986479935344143j),(0.9999980292530581-0.001986479935344143j),(0.9999999976456704+2.1475970648882084e-06j),(0.9999999976456704-2.1475970648882084e-06j),(0.8827286526323844+0.4698830980351869j),(0.8827286526323844-0.4698830980351869j)
22,-0.5660019224009057,-0.8022061783832554,19.211512163036705,3.259663353181886,1.0,(0.9999976231313779+0.002181318989227032j),(0.9999976231313779-0.002181318989227032j),(0.9999999977412957+2.0176447241862198e-06j),(0.9999999977412957-2.0176447241862198e-06j),(0.8827158419928745+0.46990716348245776j),(0.8827158419928745-0.46990716348245776j)
23,-0.5662922209627723,-0.8012492583471874,19.21152326070318,3.2596547620518983,1.0,(0.999997157104339+0.0023853743697063506j),(0.999997157104339-0.0023853743697063506j),(0.9999999978387093+1.503928530197991e-06j),(0.9999999978387093-1.503928530197991e-06j),(0.882702421667372+0.46993237255999726j),(0.882702421667372-0.46993237255999726j)
24,-0.5665826372674704,-0.8002923755403685,19.21153486483696,3.2596457819995863,1.0,(0.9999966254114314+0.0025986983752590612j),(0.9999966254114314-0.0025986983752590612j),(0.9999999979173962+2.0462381968431176e-06j),(0.9999999979173962-2.0462381968431176e-06j),(0.8826883902551068+0.4699587276624941j),(0.8826883902551068-0.4699587276624941j)
25,-0.5668731713483853,-0.7993355300601033,19.211546976768783,3.259636412416365,1.0,(0.9999960221951112+0.002821256589560865j),(0.9999960221951112-0.002821256589560865j),(0.9999999980043649+1.8432399072452482e-06j),(0.9999999980043649-1.8432399072452482e-06j),(0.8826737463315202+0.46998623121786715j),(0.8826737463315202-0.46998623121786715j)
26,-0.5671638232391129,-0.7983787220043844,19.21155959785088,3.259626652693165,1.0,(0.9999953411748164+0.0030530989766763697j),(0.9999953411748164-0.0030530989766763697j),(0.9999999980587255+2.237081460909024e-06j),(0.9999999980587255-2.237081460909024e-06j),(0.8826584884503168+0.4700148856833236j),(0.8826584884503168-0.4700148856833236j)
