Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.017150585609624,14.060955302769347,0.00223426678469,197.45377614213282,1.0000000000004143,(1.00000091027168+0j),(0.9999990897308562+0j),(0.9999975039956603+0.0022342722241836493j),(0.9999975039956603-0.0022342722241836493j),(0.9999975040431597+0.002234257682805589j),(0.9999975040431597-0.002234257682805589j)
1,-0.0171648550714109,14.040955308431949,0.0022438347223047,196.8913371209294,1.0,(0.9999999999207276+1.2658005430464709e-05j),(0.9999999999207276-1.2658005430464709e-05j),(0.9999974825723539+0.002243840208552963j),(0.9999974825723539-0.002243840208552963j),(0.9999974826202784+0.002243825538531701j),(0.9999974826202784-0.002243825538531701j)
2,-0.0171791857496362,14.02095531414488,0.0022534573888229,196.3296969529927,1.0,(0.9999999999200548+1.2712972138272774e-05j),(0.9999999999200548-1.2712972138272774e-05j),(0.9999974609341802+0.0022534629135727586j),(0.9999974609341802-0.0022534629135727586j),(0.9999974609825383+0.0022534481179120377j),(0.9999974609825383-0.0022534481179120377j)
3,-0.0171935779952539,14.000955319908671,0.0022631351762571,195.76885563519866,1.0,(0.9999999999202386+1.2697507562722812e-05j),(0.9999999999202386-1.2697507562722812e-05j),(0.999997439078675+0.002263140739687298j),(0.999997439078675-0.002263140739687298j),(0.9999974391274591+0.0022631258173845268j),(0.9999974391274591-0.0022631258173845268j)
4,-0.0172080321617774,13.980955325723851,0.0022728684800466,195.20881316144207,1.0,(0.9999999999201399+1.2703841340837488e-05j),(0.9999999999201399-1.2703841340837488e-05j),(0.9999974170033301+0.0022728740826506886j),(0.9999974170033301-0.0022728740826506886j),(0.999997417052546+0.002272859031964596j),(0.999997417052546-0.002272859031964596j)
5,-0.0172225486052548,13.960955331590965,0.0022826576990304,194.64956952628842,1.0,(0.9999999999200825+1.271069449968901e-05j),(0.9999999999200825-1.271069449968901e-05j),(0.9999973947055971+0.002282663340937057j),(0.9999973947055971-0.002282663340937057j),(0.9999973947552645+0.0022826481606822583j),(0.9999973947552645-0.0022826481606822583j)
6,-0.0172371276842768,13.940955337510545,0.0022925032354606,194.09112472603536,1.0,(0.9999999999200604+1.2711572527582413e-05j),(0.9999999999200604-1.2711572527582413e-05j),(0.9999973721829343+0.002292508916902184j),(0.9999973721829343-0.002292508916902184j),(0.9999973722330511+0.002292493606132939j),(0.9999973722330511-0.002292493606132939j)
7,-0.0172517697600514,13.920955343483143,0.0023024054951094,193.53347875467753,1.0,(0.999999999919083+1.2788996425991509e-05j),(0.999999999919083-1.2788996425991509e-05j),(0.9999973494327541+0.0023024112165362124j),(0.9999973494327541-0.0023024112165362124j),(0.9999973494833083+0.00230239577374019j),(0.9999973494833083-0.00230239577374019j)
8,-0.0172664751963874,13.900955349509326,0.0023123648872511,192.97663160691337,1.0,(0.9999999999188298+1.2805245284091024e-05j),(0.9999999999188298-1.2805245284091024e-05j),(0.9999973264523834+0.0023123706490268503j),(0.9999973264523834-0.0023123706490268503j),(0.9999973265034061+0.0023123550726266923j),(0.9999973265034061-0.0023123550726266923j)
9,-0.0172812443597063,13.88095535558965,0.0023223818246832,192.4205832789345,1.0,(0.9999999999182017+1.2858035893580938e-05j),(0.9999999999182017-1.2858035893580938e-05j),(0.9999973032391778+0.002322387626814582j),(0.9999973032391778-0.002322387626814582j),(0.9999973032906767+0.002322371915716079j),(0.9999973032906767-0.002322371915716079j)
