Index,Initial x,Initial z,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.9783367134139924,0.0,0.1918192419842806,1.1308307544788114e-19,16.71139503644889,2.9775505356566194,16438.49902669163,(32876.99802296685+0j),(3.0416407364198917e-05+0j),(0.9996942154652171+0.02472803198662339j),(0.9996942154652171-0.02472803198662339j),(1.0011230189368168+0j),(0.9988782408199853+0j)
1,-0.9783364536758246,0.0,0.19181941743317,0.0009999949394231932,16.71140136823593,2.977549511479559,16438.90884031147,(32877.8176502073+0j),(3.0415648418476277e-05+0j),(0.982966468927843+0j),(1.0173287000219677+0j),(0.9999473625519184+0j),(1.0000526402218457+0j)
2,-0.9783356927325199,0.0,0.19181998897197308,0.0019999447573591247,16.71142131375358,2.977546418760075,16439.348075963033,(32878.69612151123+0j),(3.041483372641174e-05+0j),(0.9662254100683457+0j),(1.0349551870436504+0j),(0.999927025734448+0j),(1.0000729795904593+0j)
3,-0.9783344246413872,0.0,0.19182094142651776,0.002999805388936423,16.711454552417635,2.9775412648473436,16440.080448523695,(32880.16005250528+0j),(3.0413476505061098e-05+0j),(1.052882658887199+0j),(0.9497734543934288+0j),(0.9999798740624336+0j),(1.0000201263418238+0j)
4,-0.9783326496235734,0.0,0.19182227463189566,0.003999532303744886,16.711501078439717,2.977534050669304,16441.104681641293,(32882.209332871+0j),(3.0411590280274398e-05+0j),(1.0711152090504954+0j),(0.9336063866445183+0j),(0.999952682626466+0j),(1.0000473196129376+0j)
5,-0.9783303679883589,0.0,0.1918239883573892,0.0049990810465750735,16.711560883723507,2.9775247775238634,16442.4234754462,(32884.843632645585+0j),(3.0409142618727585e-05+0j),(1.0896551490250523+0j),(0.9177215386850506+0j),(0.9999727300869932+0j),(1.0000272706559303+0j)
6,-0.9783275801329948,0.0,0.19182608230700987,0.005998407262250597,16.711633957874916,2.977513447077511,16444.03133976606,(32888.06264912595+0j),(3.0406170289097998e-05+0j),(1.1085057676545789+0j),(0.9021152881520438+0j),(0.9999451012775474+0j),(1.0000549017332192+0j)
7,-0.9783242865421595,0.0,0.19182855611937996,0.0069974667203672285,16.711720288209317,2.977500061363924,16445.932971620867,(32891.86591283908+0j),(3.0402655838474177e-05+0j),(1.127669751478444+0j),(0.8867844496959009+0j),(0.9999457106405456+0j),(1.000054292305622+0j)
8,-0.9783204877876206,0.0,0.19183140936835058,0.007996215339788726,16.71181985976425,2.9774846227819007,16448.128870513017,(32896.252934852986+0j),(3.039859453912719e-05+0j),(1.147150062625602+0j),(0.8717255331961037+0j),(0.9999444620304347+0j),(1.000055541052554+0j)
9,-0.9783161845276102,0.0,0.19183464156323637,0.008994609212917807,16.711932655313237,2.977467134093179,16450.612557569497,(32901.22314203439+0j),(3.0394005008149705e-05+0j),(1.1669495144653612+0j),(0.8569351009659077+0j),(0.9999388665359936+0j),(1.000061137199374+0j)
10,-0.978311377506285,0.0,0.19183825214944375,0.009992604629636043,16.712058655383437,2.9774475984197513,16453.387946787705,(32906.77586318653+0j),(3.0388888468957376e-05+0j),(1.1870707945712018+0j),(0.8424097404910698+0j),(0.9999529475022086+0j),(1.0000470547108298+0j)
11,-0.9782798162913957,0.0,0.19186195837515482,0.014975309304495284,16.71288593049539,2.9773193426581726,16471.626835500294,(32943.25116286373+0j),(3.035522874905716e-05+0j),(1.292602019931907+0j),(0.7736333260972205+0j),(0.9999999999271574+1.2055764319084047e-05j),(0.9999999999271574-1.2055764319084047e-05j)
12,-0.9782358195945658,0.0,0.19189500629083703,0.019941644122512737,16.7140391704553,2.977140577488121,16497.076250587685,(32994.15049818414+0j),(3.03084008865806e-05+0j),(1.406555271334205+0j),(0.7109567753036027+0j),(1.0000501868982736+0j),(0.9999498156229303+0j)
13,-0.9781795716565778,0.0,0.19193725878600731,0.024886499779692584,16.71551355632851,2.97691207552551,16529.65600539814,(33059.311980547616+0j),(3.024866719014696e-05+0j),(1.5291957926601316+0j),(0.6539384981281838+0j),(1.0000708185060114+0j),(0.9999291865112651+0j)
14,-0.9781113022316028,0.0,0.19198854508614768,0.02980504725830793,16.71730308107172,2.9766347998962184,16569.269236835473,(33138.53408891933+0j),(1.6607400394129475+0j),(3.017634593949055e-05+0j),(0.6021411998664421+0j),(1.0000737495478318+0j),(0.9999262558914557+0j)
15,-0.9780312817646785,0.0,0.19204866446483396,0.03469278755640639,16.719400676994223,2.976309883803226,16615.79078646829,(33231.58003381624+0j),(1.8013533474605499+0j),(3.0091857009896528e-05+0j),(0.5551381695387976+0j),(1.0000501377181676+0j),(0.9999498647943112+0j)
16,-0.9779398160254426,0.0,0.19211739038030107,0.03954559012166083,16.7217983575649,2.9759386077743173,16669.092646031353,(33338.18280926933+0j),(1.9511492487003106+0j),(2.9995633899659868e-05+0j),(0.5125184558122403+0j),(1.0000674549076007+0j),(0.999932549643123+0j)
17,-0.9778372404388764,0.0,0.19219447486114374,0.04435971963748129,16.724487367224057,2.9755223755901157,16729.02475177988,(33458.04947367159+0j),(2.110188898219262+0j),(2.988817454640292e-05+0j),(0.47389122407235823+0j),(0.999999939138982+0.0003488854030990454j),(0.999999939138982-0.0003488854030990454j)
18,-0.9777239143042894,0.0,0.19227965289922386,0.049131851451576294,16.72745833328778,2.9750626898767987,16795.437789737167,(33590.87017147473+0j),(2.278487753284498+0j),(2.97699891305394e-05+0j),(0.43888759048953563+0j),(0.9999999774561573+0.0002123390505341569j),(0.9999999774561573-0.0002123390505341569j)
19,-0.9776002151513922,0.0,0.19237264679957258,0.05385907649019721,16.73070141459315,2.9745611281580033,16868.15850299747,(33736.31697635329+0j),(2.456010076208728+0j),(2.9641650667979287e-05+0j),(0.4071644533082768+0j),(0.9999999917021295+0.0001288215384592829j),(0.9999999917021295-0.0001288215384592829j)
20,-0.9774665333581656,0.0,0.1924731702786758,0.05853889688696804,16.7342064425601,2.9740193201005236,16947.02712229653,(33894.05416260555+0j),(2.642679461383868+0j),(2.9503699783273732e-05+0j),(0.37840381878181006+0j),(0.9999999988646087+4.759310349201278e-05j),(0.9999999988646087-4.759310349201278e-05j)
21,-0.9773232671703811,0.0,0.19258093224554595,0.06316921380599905,16.737963051343176,2.973438926470158,17031.872498263452,(34063.740880784244+0j),(2.8383803484370724+0j),(2.9356725191659817e-05+0j),(0.3523136004491384+0j),(1.0000322410066127+0j),(0.9999677600319928+0j)
22,-0.9771708182067511,0.0,0.19269564019602356,0.06774830904104918,16.741960794820653,2.9728216201637245,17122.520154946684,(34245.035556899726+0j),(3.0429626268625314+0j),(2.9201308913741216e-05+0j),(0.3286271054323866+0j),(0.999999999943986+1.0381458036532884e-05j),(0.999999999943986-1.0381458036532884e-05j)
23,-0.9770095874982515,0.0,0.19281700318148606,0.07227482196344938,16.746189249123464,2.9721690695269327,17218.79980376035,(34437.599578482674+0j),(3.256246032792218+0j),(2.90380343884421e-05+0j),(0.307102101600097+0j),(1.00005030460767+0j),(0.9999496979236884+0j)
24,-0.9768399720795315,0.0,0.19294473433939488,0.07674772328632055,16.750638100263654,2.9714829240334417,17320.55214411265,(34641.10040690318+0j),(3.4780243795848604+0j),(2.886744003635111e-05+0j),(0.2875195487010615+0j),(1.0000595972010433+0j),(0.9999404063501102+0j)
25,-0.9766623621248549,0.0,0.1930785529929176,0.08116628694918941,16.755297217102346,2.9707648022922153,17427.60721121978,(34855.21439374945+0j),(3.7080698215192354+0j),(2.8690117659626208e-05+0j),(0.26968208478447464+0j),(1.0000550661914622+0j),(0.9999449368430934+0j)
26,-0.9764771386016774,0.0,0.19321818634174764,0.08553006123479315,16.760156710392252,2.970016282268152,17539.816304308803,(35079.629017059764+0j),(3.946136679563385+0j),(2.8506569950991054e-05+0j),(0.2534124084398376+0j),(1.0000440572252467+0j),(0.9999559447131516+0j)
27,-0.9762846714018631,0.0,0.1933633707761539,0.08983884001448213,16.765206979012714,2.969238893545828,17657.026571102568,(35314.04466829283+0j),(4.191964978744123+0j),(2.831733861800005e-05+0j),(0.23855161125158075+0j),(1.0000540443455226+0j),(0.9999459585743323+0j)
28,-0.9760853179025214,0.0,0.1935138528531361,0.09409263482377764,16.7704387446983,2.9684341114306187,17779.088057511064,(35558.1760868992+0j),(4.445283595326016+0j),(2.8122933285014032e-05+0j),(0.22495752600680943+0j),(1.0000653866820053+0j),(0.9999346175982095+0j)
29,-0.9758794219046593,0.0,0.19366938997614802,0.0982916482817248,16.77584307667234,2.967603352665741,17905.879171673245,(35811.75344280324+0j),(4.705813119356325+0j),(2.7923789476970184e-05+0j),(0.21250312637448524+0j),(1.000069594169477+0j),(0.9999304106721836+0j)
30,-0.9756673128975327,0.0,0.19382975082017143,0.10243624920185303,16.781411407618567,2.9667479725423638,18037.26204425405,(36074.523154039896+0j),(4.973268337964761+0j),(2.7720393436513283e-05+0j),(0.20107501385983914+0j),(1.000057772294092+0j),(0.9999422310442656+0j)
31,-0.9754493055977063,0.0,0.19399471554132508,0.10652694961537627,16.787135542342625,2.96586926318693,18173.1229941563,(36346.24596079944+0j),(5.247357807694216+0j),(2.7513158170375684e-05+0j),(0.1905721005991916+0j),(0.9999997786203375+0.000665400914500281j),(0.9999997786203375-0.000665400914500281j)
32,-0.9752256997174169,0.0,0.1941640758110093,0.11056438380597336,16.79300766041567,2.9649684528251576,18313.355351802446,(36626.70847080888+0j),(5.527797514617747+0j),(2.7302479025150432e-05+0j),(0.1809038767020365+0j),(0.9999998941117856+0.00046018904290095173j),(0.9999998941117856-0.00046018904290095173j)
