Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,0.987784052714771,19.289873263646907,16.015819691199933,2.647748442308,2321.7777524094,(3129.664534976223+0j),(16.433938794767283+0j),(0.9991273741363715+0.10521954826848179j),(0.9991273741363715-0.10521954826848179j),(0.0002153522328609715+0j),(0.06084968504272108+0j)
1,0.9877805251999744,18.789880681187963,16.0212662412795,2.649322401248355,1552.7831181243723,(3105.565914246241+0j),(16.47175756142959+0j),(1.0763992611667936+0j),(0.9228992748624982+0j),(0.0005289894851549871+0j),(0.06070997562576414+0j)
2,0.9877767041667316,18.28988881968785,16.026971321960385,2.650965896715377,1540.2101160772456,(3080.4199075234246+0j),(16.508861729000948+0j),(1.0336485649245912+0j),(0.9659074307441939+0j),(0.0004385628509266217+0j),(0.06057352809901343+0j)
3,0.9877725561192188,17.789897768884686,16.032953778883613,2.652683615229421,1572.5347441893523,(3054.158679712764+0j),(16.545042272010086+0j),(0.9995250481854454+0.0970011088117427j),(0.9995250481854454-0.0970011088117427j),(0.00031795803075016096+0j),(0.060441066498268727+0j)
4,0.9877680426429628,17.289907632256007,16.039234333805474,2.654480663506149,1717.2095470581678,(3026.6566213012184+0j),(16.580055588905243+0j),(0.9999991871051599+0.07980447049338966j),(0.9999991871051599-0.07980447049338966j),(0.00029117008069666364+0j),(0.06031342866187967+0j)
5,0.9877631195118824,16.78991852953542,16.045835823719322,2.656362630705871,1664.7181470259077,(2997.9035980649533+0j),(16.613618885132414+0j),(0.9993041538333054+0.06145697023459969j),(0.9993041538333054-0.06145697023459969j),(0.0003003511711569223+0j),(0.060191581781576665+0j)
6,0.987757735600294,16.28993059977096,16.052783477769605,2.6583356340553337,1483.8579535508793,(2967.7155701422435+0j),(16.645403357352905+0j),(0.9996933535209849+0.05475635328291716j),(0.9996933535209849-0.05475635328291716j),(0.0004031758050959154+0j),(0.06007664569971849+0j)
7,0.9877518315496444,15.789944005057054,16.0601052383275,2.6604063891481076,1508.727197922363,(2936.0518212640554+0j),(16.67502626161109+0j),(1.048341951708357+0j),(0.951350762481408+0j),(0.0003314052106989564+0j),(0.059969920543986074+0j)
8,0.987745338124672,15.289958935115084,16.067832135607844,2.662582281657251,1451.393934691503,(2902.7875248865557+0j),(16.70203982267308+0j),(1.0536217083280333+0j),(0.9461724523828935+0j),(0.000347893909016187+0j),(0.05987292633526324+0j)
9,0.9877381741734768,14.78997561294266,16.07599872571561,2.664871447639399,1433.8975830964405,(2867.794817492899+0j),(16.725923692573303+0j),(1.0513421721261824+0j),(0.9486804566195794+0j),(0.0004449890743497838+0j),(0.059787430482201594+0j)
10,0.9877302440785544,14.289994301822292,16.08464360549452,2.667282879456735,1415.4757945360866,(2830.9512358340153+0j),(16.746067736474767+0j),(1.0148334112931288+0j),(0.9849093138914493+0j),(0.0004158989678864493+0j),(0.059715511472409694+0j)
11,0.987721434548256,13.790015314067457,16.093810020081012,2.669826527888546,1396.0468579736423,(2792.093357793072+0j),(16.761757544368525+0j),(1.0265426510456965+0j),(0.9730969255285782+0j),(0.0003838849497442816+0j),(0.05965961490105067+0j)
12,0.987711610546176,13.290039022005734,16.10354658328695,2.6725134386333025,1451.1780883085755,(2751.047683824967+0j),(16.7721555867122+0j),(1.0264947956296446+0j),(0.9735275137851079+0j),(0.0003445476908622098+0j),(0.059622628400190385+0j)
13,0.987700610083208,12.790065871863028,16.11390813592871,2.6753559005463217,1353.8240199668724,(2707.6476706094745+0j),(16.776275755712998+0j),(0.9999397170001314+0.0017120095347950997j),(0.9999397170001314-0.0017120095347950997j),(0.00038962269535010156+0j),(0.059607985380861844+0j)
14,0.9876882374940676,12.29009640144016,16.12495677408339,2.6783676194783936,1330.8371738263186,(2661.6739719492225+0j),(16.772956289832763+0j),(1.0265878259203065+0j),(0.9733687871532617+0j),(0.00040713547510833845+0j),(0.05961978214232245+0j)
15,0.9876742546724788,11.79013126278431,16.136763087312673,2.681563924580587,1389.0260395669436,(2612.904297862304+0j),(16.760824603057266+0j),(0.9999599205494758+0.027659040514804827j),(0.9999599205494758-0.027659040514804827j),(0.00035996450069654976+0j),(0.05966293566726064+0j)
16,0.987658369524728,11.290171251500729,16.149407658932034,2.6849620055471775,1321.1257099456957,(2561.074291058423+0j),(16.738254261693058+0j),(0.9999776503694647+0.019177145708567316j),(0.9999776503694647-0.019177145708567316j),(0.0003784651739451019+0j),(0.05974338687765454+0j)
17,0.9876402205850102,10.790217344970271,16.162982894914517,2.6885811916429248,1252.9493023642726,(2505.898205670037+0j),(16.70331332842412+0j),(0.9999812529258516+0.004003068946373633j),(0.9999812529258516-0.004003068946373633j),(0.0004052325216236996+0j),(0.059868361463960844+0j)
18,0.987619356262112,10.290270752631091,16.17759526839812,2.692443278868325,1223.5249924876955,(2447.0495763200006+0j),(16.653700063965506+0j),(1.0211013427717504+0j),(0.9788764992591789+0j),(0.00042001215075575146+0j),(0.060046716114065334+0j)
19,0.9875952064646438,9.790332982774196,16.19336809381016,2.6965729127327336,1194.6492767758511,(2384.1614631824987+0j),(16.58666417317734+0j),(1.0092413909180482+0j),(0.9907611960824697+0j),(0.00041853295130628483+0j),(0.06028939813128627+0j)
20,0.9875670432300858,9.290405932200304,16.21044498181883,2.7009980341242255,1170.1100693006194,(2316.8184227234415+0j),(0.9999846290142682+0.013761402183497461j),(0.9999846290142682-0.013761402183497461j),(16.49890917937639+0j),(0.0004273103055987725+0j),(0.06061006755778954+0j)
21,0.9875583164829989,9.150428591940234,16.21548242611165,2.7022942419189633,1157.4977084260308,(2297.1005847602255+0j),(16.470103679488382+0j),(1.0077130231011246+0j),(0.9922699734121336+0j),(0.0004319663785575678+0j),(0.06071607194818193+0j)
22,0.9875478382816286,8.990455823259408,16.221385874849624,2.703807976376055,1139.305837011628,(2274.0794014598123+0j),(16.434694080339852+0j),(1.0107277700828523+0j),(0.9892519379622259+0j),(0.0004388638064140956+0j),(0.06084688860805914+0j)
23,0.9875367838189126,8.830484572485888,16.227451604134806,2.7053573479183797,1134.003047843413,(2250.5216668096164+0j),(0.9999952425860912+0.0037839479106315473j),(0.9999952425860912-0.0037839479106315473j),(16.396481513014255+0j),(0.0004409160082544195+0j),(0.06098869438589154+0j)
24,0.9875251100455906,8.670514946689634,16.233686379055907,2.7069435808650297,1113.2050806699176,(2226.409712186207+0j),(16.355302052639615+0j),(1.0098499938184242+0j),(0.9901416460438226+0j),(0.00044917336959114364+0j),(0.06114225202430075+0j)
25,0.987512769816018,8.510547062114302,16.240097344622903,2.708567951644241,1100.8625798124615,(2201.724705435534+0j),(16.310981666661565+0j),(1.000828026186017+0j),(0.9991566490274085+0j),(0.0004543633067983479+0j),(0.061308388448977263+0j)
26,0.9874997114113896,8.35058104510544,16.246692052706823,2.710231792583812,1088.2234636716826,(2176.4464678788136+0j),(0.9999957456552061+0.0087125409117932j),(0.9999957456552061-0.0087125409117932j),(16.26333526704382+0j),(0.00046083143701761386+0j),(0.06148800252693619+0j)
27,0.9874858779969384,8.190617033147092,16.253478491275192,2.7119364931140666,1075.2776661989255,(2150.554867401577+0j),(0.9999933144526976+0.007413832670565539j),(0.9999933144526976-0.007413832670565539j),(0.0004669154843553352+0j),(16.212166104120488+0j),(0.06168207219103975+0j)
28,0.9874712070024764,8.030655176021757,16.260465116197064,2.7136835033729056,1067.7491381036566,(2124.0281131652673+0j),(16.157264911555288+0j),(1.0037767595107352+0j),(0.9962142988524062+0j),(0.0004682748894826514+0j),(0.06189166331630055+0j)
29,0.9874556294136309,7.870695637110023,16.267660885853253,2.7154743364697396,1048.422159134163,(2096.84384136109+0j),(0.9999929787795164+0.006997445612276416j),(0.9999929787795164-0.006997445612276416j),(0.0004773724211935976+0j),(16.098409022531587+0j),(0.06211793964173384+0j)
30,0.9874390689587672,7.710738594849078,16.27507529884166,2.7173105711718577,1038.3019597875966,(2068.978547158902+0j),(1.0024847126493257+0j),(0.9975085668378189+0j),(16.03536153233112+0j),(0.00048155559298971044+0j),(0.06236217362420462+0j)
31,0.9874214411736748,7.550784244372422,16.282718435124853,2.719193854684576,1022.2700849881328,(2040.407890854357+0j),(15.967870309857085+0j),(1.0041928369285114+0j),(0.9958049321147463+0j),(0.0004891076506645025+0j),(0.06262575913958117+0j)
32,0.9874026523225572,7.3908327993563985,16.290601000983326,2.7211259054035395,1006.6750349538391,(2011.1066903817714+0j),(0.9999961606572647+0.00549972673327494j),(0.9999961606572647-0.00549972673327494j),(0.0004966847353781755+0j),(15.895666896486066+0j),(0.06291022619658657+0j)
33,0.987382598149532,7.230884494103386,16.298734378198827,2.723108515393996,990.5241864893944,(1981.0478681954282+0j),(1.0068815840819858+0j),(0.9931133795329676+0j),(0.0005056205272075433+0j),(15.81846554453109+0j),(0.0632172568942776+0j)
34,0.9873611624295268,7.070939585895754,16.307130677897565,2.7251435532344317,975.6811520373808,(1950.2039594391663+0j),(0.9999971787800102+0.006226532551767712j),(0.9999971787800102-0.006226532551767712j),(15.735961906155165+0j),(0.0005124626321466732+0j),(0.06354870493235656+0j)
35,0.9873382152808656,6.910998357661804,16.31580279965761,2.7272329661912735,960.1051542158834,(1918.545824766174+0j),(15.647831900218527+0j),(0.999998814644196+0.0022620187489067133j),(0.999998814644196-0.0022620187489067133j),(0.0005207764310070754+0j),(0.06390661699187368+0j)
36,0.9873136111936964,6.751061120999854,16.324764496408864,2.7293787825277676,943.0219495263084,(1886.0433688421158+0j),(1.0049153959513781+0j),(0.9950797988360711+0j),(0.0005306373180656248+0j),(15.553730379601012+0j),(0.06429325799007835+0j)
37,0.987287186718223,6.591128219616547,16.33403044587687,2.73158311314004,926.3327296048192,(1852.664919446625+0j),(1.005012745396766+0j),(0.9949832887702488+0j),(0.0005407852040002172+0j),(15.453289774042945+0j),(0.06471114012806413+0j)
38,0.9872587577439808,6.431200033243409,16.34361632929497,2.7338481531120706,909.1891202168746,(1818.3776904929941+0j),(1.00227543959379+0j),(0.9977195720532018+0j),(15.346118632227343+0j),(0.0005503174097834725+0j),(0.0651630567942623+0j)
39,0.9872281162853328,6.2712769821088346,16.35353891833216,2.7361761822281494,892.5077803333587,(1783.1472190023278+0j),(0.9999991077191568+0.004622205921068888j),(0.9999991077191568-0.004622205921068888j),(15.231800178436151+0j),(0.0005602193817695615+0j),(0.06565212176408833+0j)
40,0.9871950266680672,6.111359532055061,16.36381617121477,2.7385695648317707,874.2211720164661,(1746.93788975068+0j),(0.9999983229630502+0.004834721881759815j),(0.9999983229630502-0.004834721881759815j),(0.0005719378339958866+0j),(15.109890743906403+0j),(0.06618181540523439+0j)
41,0.9871592209861004,5.951448200408085,16.37446733927919,2.7410307486107612,855.003075150952,(1709.712412881649+0j),(0.9999983410864093+0.003778161779899772j),(0.9999983410864093-0.003778161779899772j),(0.0005847934183200398+0j),(14.979918181216913+0j),(0.06675603884538689+0j)
42,0.9871203936641496,5.791543562727361,16.38551308528541,2.7435622617031186,835.7163190090421,(1671.4320397287274+0j),(1.0027889192645512+0j),(0.9972083649556907+0j),(0.0005986708100594624+0j),(14.841380294152978+0j),(0.06737917769010769+0j)
43,0.9870781949195238,5.631646260588179,16.39697561511789,2.746166708017693,816.3309263866248,(1632.0565046456054+0j),(1.0022731534679636+0j),(0.9977255622102069+0j),(0.0006124969315929593+0j),(14.693743201060595+0j),(0.06805617781099141+0j)
44,0.9870322228607228,5.471757010579477,16.40887882473257,2.748846760057603,795.7723180642031,(1591.5440078077345+0j),(0.9999990404574488+0.0018078802238853363j),(0.9999990404574488-0.0018078802238853363j),(0.0006283443035789383+0j),(14.536439783124772+0j),(0.0687926352615218+0j)
45,0.9869820138880572,5.311876614738138,16.42124846457753,2.751605148475889,775.0594818192105,(1549.8511774632916+0j),(0.9999992882202651+0.0028573960209065234j),(0.9999992882202651-0.0028573960209065234j),(0.0006451120459957232+0j),(14.368868191699349+0j),(0.06959490383404435+0j)
46,0.9869270309660584,5.152005972687341,16.434112324102262,2.7544446474806747,753.4668987877395,(1506.9331339760283+0j),(0.9999993294507259+0.002598708064555184j),(0.9999993294507259-0.002598708064555184j),(0.0006636330343900393+0j),(14.190390464535954+0j),(0.07047022437491336+0j)
47,0.9868666492107748,4.992146095805708,16.44750043951476,2.757368054948511,731.37301558852,(1462.7435416341264+0j),(0.9999994548257036+0.001105590932682894j),(0.9999994548257036-0.001105590932682894j),(0.0006836459959950595+0j),(14.000331361339653+0j),(0.07142688084986908+0j)
48,0.9868001380654998,4.832298123828908,16.46144532862071,2.760378165582143,708.753654681324,(1417.2346936235344+0j),(0.9999996943991019+0.001664233729671438j),(0.9999996943991019-0.001664233729671438j),(0.000705464085493291+0j),(13.797977469754903+0j),(0.07247438997487121+0j)
49,0.9867266391095358,4.67246334438084,16.475982257442002,2.763477734955707,685.2283346492673,(1370.357628264704+0j),(0.9999995992237936+0.0012587448176210616j),(0.9999995992237936-0.0012587448176210616j),(0.0007296841664835935+0j),(13.58257673872449+0j),(0.07362373276002132+0j)
50,0.9866451382325432,4.512643216055735,16.49114954446217,2.7666694320458873,661.0737093585851,(1322.0622957417872+0j),(0.9999997203343745+0.001449352901834519j),(0.9999997203343745-0.001449352901834519j),(0.0007563457432221485+0j),(13.353338550901439+0j),(0.0748876392367224+0j)
51,0.986554430477298,4.352839395835891,16.506988909896883,2.769955776476877,636.149319385055,(1272.297852790634+0j),(1.0007487661815486+0j),(0.9992505218528329+0j),(0.0007860514253060627+0j),(13.10943455489464+0j),(0.07628094070863144+0j)
52,0.986453075255598,4.193053771848871,16.52354587952927,2.7733390556831026,610.5984261677593,(1221.0129319835496+0j),(0.999999821355424+0.0012996350442942958j),(0.999999821355424-0.0012996350442942958j),(0.0008188693482418702+0j),(12.850000507973125+0j),(0.07782100859719067+0j)
53,0.9864395745126906,4.173081952759557,16.52566838747382,2.7737688828472145,607.2743626708696,(1214.4928487072389+0j),(0.9999998234788293+0.0006674265043060969j),(0.9999998234788293-0.0006674265043060969j),(0.0008233516342677338+0j),(12.816434949084266+0j),(0.07802481766399666+0j)
54,0.9864258770313324,4.153110455853743,16.52780298225509,2.774200258988703,603.9744662480798,(1207.948104646026+0j),(0.9999997090622188+0.0011039821523724698j),(0.9999997090622188-0.0011039821523724698j),(0.0008278505298940184+0j),(12.782610968615183+0j),(0.07823127860655452+0j)
55,0.986411978970767,4.133139285750826,16.5299497673531,2.774633187329588,600.7331538536332,(1201.3785971687566+0j),(0.9999997403061036+0.0014851596097432635j),(0.9999997403061036-0.0014851596097432635j),(0.0008323168834086369+0j),(12.748526774031165+0j),(0.07844043611690894+0j)
56,0.9863978763960504,4.113168447150739,16.532108847459675,2.7750676709751296,597.3925342510935,(1194.7842315309804+0j),(0.9999997382301336+0.0010376437943660137j),(0.9999997382301336-0.0010376437943660137j),(0.0008370100869339896+0j),(12.714180566980486+0j),(0.0786523358494968+0j)
57,0.9863835652752628,4.093197944835716,16.534280328500362,2.775503712888959,594.0828731907795,(1188.1649047475435+0j),(0.999999768951354+0.0007516461094477698j),(0.999999768951354-0.0007516461094477698j),(0.0008416652851829719+0j),(12.679570542094629+0j),(0.07886702445357006+0j)
58,0.9863690414766269,4.073227783671952,16.536464317651053,2.7759413158962296,590.7798408663206,(1181.520516874241+0j),(0.9999998125021432+0.000587356771464603j),(0.9999998125021432-0.000587356771464603j),(0.0008463395728130039+0j),(12.64469488928701+0j),(0.07908454958860106+0j)
59,0.9863543007655242,4.053257968611429,16.53866092335978,2.7763804826893193,587.4440217521786,(1174.8509738106213+0j),(0.9999997903280324+0.001065265157724756j),(0.9999997903280324-0.001065265157724756j),(0.0008511455452946999+0j),(12.60955179012603+0j),(0.0793049599738663+0j)
60,0.9863393388014058,4.033288504693756,16.540870255367796,2.77682121579938,584.0882292332428,(1168.156172191695+0j),(0.9999998032408007+0.0012821529250848602j),(0.9999998032408007-0.0012821529250848602j),(0.0008560356832646961+0j),(12.574139422723382+0j),(0.0795283053882677+0j)
61,0.9863241511345956,4.013319397048045,16.5430924247302,2.7772635176042755,580.7184367862712,(1161.4360125694488+0j),(1.0009037797989373+0j),(0.9990958081628714+0j),(0.0008610510468342695+0j),(12.538455959230305+0j),(0.07975463671571927+0j)
62,0.9863087332029804,3.993350650894808,16.545327543836617,2.777707390321158,577.3456338919582,(1154.69040175091+0j),(1.000455652584154+0j),(0.9995439516943533+0j),(0.0008660610346700607+0j),(12.502499565547938+0j),(0.07998400597911043+0j)
63,0.9862930803285812,3.973382271548009,16.54757572643582,2.778152835996444,573.987114720167,(1147.9192361360606+0j),(0.9999998280740847+0.0006933826660676459j),(0.9999998280740847-0.0006933826660676459j),(0.0008711003550169882+0j),(12.466268404322351+0j),(0.08021646635317076+0j)
64,0.9862771877140027,3.9534142644170047,16.549837087655053,2.778599856503721,570.5616505694491,(1141.1224248087356+0j),(0.9999998059697714+0.0004203370265390873j),(0.9999998059697714-0.0004203370265390873j),(0.00087635777487806+0j),(12.429760632291185+0j),(0.08045207221508902+0j)
