Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.1015429800548724,7.855155523323924e-30,0.36693110144493646,12.508374413022084,2.903967927041948,1.0000000000318356,(0.42227961162301475+0.9064656251710334j),(0.42227961162301475-0.9064656251710334j),(1.0000079794435939+0j),(0.999992020609364+0j),(0.9999999999691722+7.840386102606405e-06j),(0.9999999999691722-7.840386102606405e-06j)
1,-1.1015426376530209,0.000999999912131306,0.3669308795029787,12.508374509147668,2.9039671420895066,1.000000000002461,(0.4222726917275458+0.9064688487920548j),(0.4222726917275458-0.9064688487920548j),(0.9999998192919615+0.0006011742700612985j),(0.9999998192919615-0.0006011742700612985j),(1.0000022184988058+0j),(0.9999977815007357+0j)
2,-1.1015416096910189,0.001999999119756366,0.36693021203075654,12.50837479641795,2.9039647880396413,1.0000000000024583,(0.4222519274954021+0.9064785213868842j),(0.4222519274954021-0.9064785213868842j),(0.9999992771084467+0.0012024047046328384j),(0.9999992771084467-0.0012024047046328384j),(1.0000022173358787+0j),(0.9999977826636407+0j)
3,-1.101539896423745,0.002999996918727598,0.3669290995817077,12.508375275192492,2.903960864628789,1.000000000002459,(0.4222173210270944+0.9064946408191314j),(0.4222173210270944-0.9064946408191314j),(0.9999983735009514+0.00180360454684649j),(0.9999983735009514-0.00180360454684649j),(1.0000022176613859+0j),(0.9999977823383677+0j)
4,-1.1015374978553427,0.0039999926047489115,0.3669275421629203,12.508375945457447,2.9039553718652833,1.0000000000024594,(0.42216887319775+0.9065172047523644j),(0.42216887319775-0.9065172047523644j),(0.9999971085179173+0.002404776438610382j),(0.9999971085179173-0.002404776438610382j),(1.0000022177690402+0j),(0.9999977822306101+0j)
5,-1.1015344139915657,0.004999985473560981,0.36692553978423026,12.50837680719337,2.903948309760831,1.0000000000024518,(0.42210658523492806+0.9065462099145112j),(0.42210658523492806-0.9065462099145112j),(0.9999954822261341+0.003005914422743624j),(0.9999954822261341-0.003005914422743624j),(1.0000022144360885+0j),(0.9999977855634274+0j)
6,-1.101530644839851,0.005999974820953768,0.36692309245832594,12.508377860375324,2.9039396783304694,1.0000000000024531,(0.4220304587140774+0.9065816521012381j),(0.4220304587140774-0.9065816521012381j),(0.9999934947116887+0.0036070110277551947j),(0.9999934947116887-0.0036070110277551947j),(1.0000022150002184+0j),(0.9999977849993914+0j)
7,-1.1015261904093208,0.006999959942779148,0.3669202002007768,12.508379104972772,2.903929477592553,1.000000000002447,(0.4219404955612779+0.9066235261752693j),(0.4219404955612779-0.9066235261752693j),(0.9999911460798346+0.004208058488209293j),(0.9999911460798346-0.004208058488209293j),(1.0000022122090895+0j),(0.9999977877904799+0j)
8,-1.1015210507105904,0.007999940134961398,0.36691686302975407,12.50838054094968,2.9039177075688505,1.000000000002449,(0.4218366980547536+0.9066718260668724j),(0.4218366980547536-0.9066718260668724j),(0.9999884364551976+0.004809048801557699j),(0.9999884364551976-0.004809048801557699j),(1.0000022131386643+0j),(0.999997786860891+0j)
9,-1.1015152257561214,0.008999914693512646,0.3669130809665278,12.508382168264472,2.903904368284368,1.0000000000024472,(0.42171906882072013+0.9067265447763453j),(0.42171906882072013-0.9067265447763453j),(0.999985365980854+0.005409973962126644j),(0.999985365980854-0.005409973962126644j),(1.0000022122778625+0j),(0.9999977877218408+0j)
10,-1.1015087155599235,0.009999882914542367,0.36690885403501555,12.508383986870014,2.9038894597675244,1.0000000000024414,(0.42158761083582896+0.9067876743751754j),(0.42158761083582896-0.9067876743751754j),(0.9999819348198445+0.006010825904712027j),(0.9999819348198445-0.006010825904712027j),(1.0000022096881014+0j),(0.9999977903115421+0j)
11,-1.1015015201376612,0.010999844094270718,0.36690418226197463,12.508385996713644,2.903872982050061,1.0000000000027194,(0.4214423274243632+0.9068552060079218j),(0.4214423274243632-0.9068552060079218j),(0.9999781431572667+0.006611596106339086j),(0.9999781431572667-0.006611596106339086j),(1.0000023320869946+0j),(0.9999976679131265+0j)
12,-1.1014936395066228,0.011999797529040544,0.36689906567699204,12.508388197737176,2.903854935167037,1.0000000000026086,(0.42128322226931886+0.9069291298898849j),(0.42128322226931886-0.9069291298898849j),(0.9999739911858455+0.007212277545143012j),(0.9999739911858455-0.007212277545143012j),(1.000002284165815+0j),(0.9999977158341593+0j)
13,-1.1014850736858777,0.012999742515331408,0.36689350431257806,12.508390589876926,2.9038353191568373,1.0000000000026013,(0.4211102993929712+0.907009435316707j),(0.4211102993929712-0.907009435316707j),(0.9999694791306506+0.007812861347285654j),(0.9999694791306506-0.007812861347285654j),(1.0000022809095854+0j),(0.9999977190904521+0j)
14,-1.101475822696006,0.013999678349768514,0.3668874982039058,12.508393173063638,2.9038141340612276,1.000000000002596,(0.4209235631718664+0.9070961106603007j),(0.4209235631718664-0.9070961106603007j),(0.9999646072299002+0.008413339584411015j),(0.9999646072299002-0.008413339584411015j),(1.0000022785670366+0j),(0.9999977214329389+0j)
15,-1.1014658865593332,0.014999604329138272,0.366881047389113,12.508395947222605,2.9037913799252455,1.0000000000025908,(0.4207230183302315+0.9071891433738727j),(0.4207230183302315-0.9071891433738727j),(0.9999593757411+0.009013704175857657j),(0.9999593757411-0.009013704175857657j),(1.000002276337042+0j),(0.9999977236628287+0j)
16,-1.1014552652997045,0.015999519750396648,0.36687415190896566,12.508398912273554,2.903767056797336,1.0000000000025864,(0.42050866994375835+0.9072885199926826j),(0.42050866994375835-0.9072885199926826j),(0.9999537849407472+0.00961394704256634j),(0.9999537849407472-0.00961394704256634j),(1.0000022743189374+0j),(0.9999977256810728+0j)
17,-1.1014439589427836,0.01699942391068704,0.36686681180728,12.50840206813071,2.9037411647291944,1.0000000000025806,(0.4202805234351469+0.9073942261384806j),(0.4202805234351469-0.9073942261384806j),(0.9999478351253355+0.010214060110014996j),(0.9999478351253355-0.010214060110014996j),(1.000002271758463+0j),(0.9999977282414474+0j)
18,-1.1014319675157944,0.017999316107347264,0.366859027130566,12.508405414702871,2.90371370377589,1.0000000000025708,(0.42003858457700216+0.9075062465211261j),(0.42003858457700216-0.9075062465211261j),(0.9999415266086032+0.010814035311199786j),(0.9999415266086032-0.010814035311199786j),(1.000002267529309+0j),(0.9999977324704203+0j)
19,-1.10141929104759,0.018999195637923533,0.36685079792814296,12.508408951893271,2.9036846739958166,1.000000000002559,(0.41978285949168137+0.9076245649414744j),(0.41978285949168137-0.9076245649414744j),(0.9999348597238955+0.011413864580492154j),(0.9999348597238955-0.011413864580492154j),(1.000002262329998+0j),(0.9999977376698194+0j)
20,-1.1014059295687724,0.019999061800184938,0.36684212425225604,12.50841267959968,2.9036540754506706,1.0000000000025602,(0.41951335464681005+0.9077491642965991j),(0.41951335464681005-0.9077491642965991j),(0.9999278348239535+0.01201353984616587j),(0.9999278348239535-0.01201353984616587j),(1.0000022627941012+0j),(0.9999977372058491+0j)
21,-1.1013918831115384,0.020998913892132418,0.36683300615792175,12.508416597714422,2.903621908205477,1.0000000000025513,(0.41923007686174074+0.9078800265799291j),(0.41923007686174074-0.9078800265799291j),(0.9999204522796683+0.012613053079152222j),(0.9999204522796683-0.012613053079152222j),(1.0000022588590929+0j),(0.9999977411408549+0j)
22,-1.1013771517097186,0.021998751212011804,0.36682344370295705,12.50842070612432,2.903588172328591,1.000000000002545,(0.41893303330145143+0.9080171328874328j),(0.41893303330145143-0.9080171328874328j),(0.9999127124812016+0.013212396225555536j),(0.9999127124812016-0.013212396225555536j),(1.000002256093244+0j),(0.9999977439066559+0j)
23,-1.1013617353988554,0.02299857305832766,0.3668134369480654,12.508425004710771,2.9035528678916744,1.0000000000025402,(0.41862223148091793+0.9081604634194488j),(0.41862223148091793-0.9081604634194488j),(0.9999046158364422+0.013811561252375636j),(0.9999046158364422-0.013811561252375636j),(1.0000022540038642+0j),(0.9999977459960623+0j)
24,-1.101345634216095,0.023998378729853297,0.3668029859567443,12.508429493349686,2.9035159949696987,1.000000000002532,(0.41829767926136596+0.9083099974858749j),(0.41829767926136596-0.9083099974858749j),(0.999896162773132+0.014410540137144092j),(0.999896162773132-0.014410540137144092j),(1.0000022503395525+0j),(0.9999977496602905+0j)
25,-1.1013288482002608,0.024998167525643957,0.3667920907953009,12.508434171911539,2.903477553640979,1.0000000000025315,(0.4179593848506431+0.9084657135101034j),(0.4179593848506431-0.9084657135101034j),(0.9998873537369231+0.015009324854099108j),(0.9998873537369231-0.015009324854099108j),(1.000002250080166+0j),(0.9999977499197185+0j)
26,-1.1013113773918684,0.025997938745050343,0.36678075153296574,12.508439040261413,2.9034375439870903,1.0000000000025282,(0.41760735680554006+0.9086275890320398j),(0.41760735680554006-0.9086275890320398j),(0.9998781891920092+0.01560790740352915j),(0.9998781891920092-0.01560790740352915j),(1.0000022486930336+0j),(0.999997751306942+0j)
