Index,Initial x,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.1315115660223038,5.917312572554874e-30,1.1697448565328727e-12,0.43270581397375874,2.316322905734552e-21,12.549049420557957,2.869574226845176,1.0000000000743552,(-0.9118161366192281+0.4105987494773731j),(-0.9118161366192281-0.4105987494773731j),(1.0000121946747074+0j),(0.9999878053897402+0j),(0.9999999999650151+8.281908073628342e-06j),(0.9999999999650151-8.281908073628342e-06j)
1,-1.1315115654879013,3.817032121719468e-14,7.356998755134727e-12,0.4327058163620293,-9.999999999999109e-05,12.549049419997917,2.869574214414518,1.0000000013146515,(-0.9118161108841021+0.4105988066272097j),(-0.9118161108841021-0.4105988066272097j),(1.00005127796105+0j),(0.9999487245879721+0j),(1.0000095930102157+0j),(0.9999904070763729+0j)
2,-1.1315115673490768,-9.079265064772656e-13,1.0453121784977192e-11,0.43270584009073854,-0.00019999999717684822,12.5490494230333,2.869574165146504,1.000000003831381,(-0.9118160504073738+0.410598940927847j),(-0.9118160504073738-0.410598940927847j),(1.0000875409528853+0j),(0.999912466627466+0j),(1.000007447112397+0j),(0.9999925529399613+0j)
3,-1.1315115675227077,-1.838958439154402e-12,1.2006034597619907e-11,0.4327058752384748,-0.0002999999910541347,12.549049424419232,2.8695740848474536,1.0000000078492337,(-0.9118159350293342+0.41059919714736065j),(-0.9118159350293342-0.41059919714736065j),(1.000125301290405+0j),(0.9998747143252258+0j),(1.0000076600467505+0j),(0.9999923400090976+0j)
4,-1.1315115681252832,-2.5388586882604754e-12,1.2787801123984227e-11,0.4327059260415605,-0.0003999999781956373,12.549049426844867,2.869573971292109,1.000000013335741,(-0.9118157761347518+0.41059955000386444j),(-0.9118157761347518-0.41059955000386444j),(1.0001633273118238+0j),(0.9998366992768002+0j),(1.0000073767050268+0j),(0.9999926233467502+0j)
5,-1.131511568882954,-3.0112290272308994e-12,1.3165561459513396e-11,0.43270599167173296,-0.000499999956698158,12.549049429953126,2.8695738250108227,1.0000000203365302,(-0.9118155720268357+0.4106000032646984j),(-0.9118155720268357-0.4106000032646984j),(1.0002016958871323+0j),(0.9997983447029182+0j),(1.0000071426717654+0j),(0.9999928573767173+0j)
6,-1.1315115698403022,-3.313895536466541e-12,1.3349915632091363e-11,0.43270607211634726,-0.0005999999243656834,12.549049433797338,2.8695736460448917,1.0000000288660214,(-0.9118153228635135+0.41060055657874583j),(-0.9118153228635135-0.41060055657874583j),(1.0002403037159555+0j),(0.9997597539329239+0j),(1.0000069595155285+0j),(0.9999930405303848+0j)
7,-1.1315115710144796,-3.503910042456907e-12,1.3448835558788916e-11,0.4327061673577137,-0.0006999998790128587,12.549049438397603,2.8695734344213055,1.0000000389317196,(-0.911815028695673+0.4106012098328438j),(-0.911815028695673-0.4106012098328438j),(1.0002790790622846+0j),(0.9997209987178819+0j),(1.0000068179696893+0j),(0.999993182074468+0j)
8,-1.1315115718828994,-1.8970003038488648e-12,1.3526281844326164e-11,0.43270627976358855,-0.0007999998158122378,12.54904944320431,2.8695731877352073,1.0000000500371298,(-0.9118146894829072+0.4106019631159577j),(-0.9118146894829072-0.4106019631159577j),(0.9996837048745392+0j),(1.0003163951160494+0j),(0.9999952566293476+0j),(1.000004743391158+0j)
9,-1.1315115735300076,-1.946321855848117e-12,1.3533457668233458e-11,0.4327064028400262,-0.000899999739969974,12.549049449305148,2.8695729123448195,1.0000000634492099,(-0.91181430402805+0.4106028190859637j),(-0.91181430402805-0.4106028190859637j),(0.9996438353990593+0j),(1.000356291415747+0j),(0.9999942502294793+0j),(1.0000057498015706+0j)
