Index,Initial x,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.1719031032529277,3.584663108449185e-17,0.2858317414898052,-0.6916369072802726,1.1414253734934004e-16,18.61632256445059,2.695617217678953,95.1551318893891,(190.30500905634625+0j),(0.005254722441286714+0j),(1.0000509894097018+0j),(0.9999490114097982+0j),(0.9999999995853788+2.8756993467883856e-05j),(0.9999999995853788-2.8756993467883856e-05j)
1,1.171902856621862,-0.000299623139008,0.285831176754988,-0.6916367273509538,-0.0009540573886665,18.6163228125929,2.695616274396887,95.15503745384486,(190.3048201800425+0j),(0.005254727654406463+0j),(0.9987086340416573+0j),(1.0012930322258045+0j),(0.9999742790107325+0j),(1.0000257233885668+0j)
2,1.1719021171994304,-0.0005992458105009,0.2858294836881779,-0.6916361885065129,-0.0019081129388285,18.616323559826814,2.6956134433556724,95.1547537089722,(190.3042526746271+0j),(0.005254743325470336+0j),(0.9974200367287895+0j),(1.0025866331670006+0j),(0.9999746900257238+0j),(1.0000253123609308+0j)
3,1.171900884832479,-0.0008988675470282,0.2858266617364517,-0.6916352904104991,-0.0028621648114768,18.616324805049786,2.69560872501103,95.15428071629708,(190.30330666315513+0j),(0.005254769449138962+0j),(0.9961329161675253+0j),(1.00388209252823+0j),(0.9999762241341767+0j),(1.0000237782800163+0j)
4,1.1718991595443409,-0.0011984878809852,0.2858227114227279,-0.691634033170515,-0.0038162111692818,18.61632654872079,2.6956021192584854,95.15361877345636,(190.30198274091651+0j),(0.0052548060037361745+0j),(0.9948474074528614+0j),(1.0051792763575014+0j),(0.9999748505808712+0j),(1.0000251515096674+0j)
5,1.1718969413231124,-0.0014981063452727,0.2858176320158562,-0.6916324166558141,-0.0047702501715805,18.61632879013809,2.6955936263313514,95.15276754366928,(190.30028023433064+0j),(0.005254853015369663+0j),(0.993563614168958+0j),(1.0064780782043972+0j),(0.9999727913688705+0j),(1.00002721090877+0j)
6,1.1718942302114668,-0.0017977224727041,0.2858114239263237,-0.6916304409857378,-0.0057242799810582,18.616331529670287,2.69558324614456,95.15172727963711,(190.2981996488135+0j),(0.005254910467815405+0j),(0.9922815969225168+0j),(1.0077784372935676+0j),(0.9999733395654227+0j),(1.0000266626166658+0j)
7,1.171891026225976,-0.0020973357964097,0.2858040870103775,-0.6916281061559685,-0.006678298758504,18.6163347671462,2.6955709787941555,95.15049795573712,(190.2957409331174+0j),(0.005254978363610523+0j),(0.9910013432506748+0j),(1.0090803649906572+0j),(0.9999739930477028+0j),(1.000026009081021+0j)
8,1.1718873293818777,-0.0023969458497268,0.2857956211289736,-0.6916254121597234,-0.0076323046644361,18.616338502380845,2.69555682439503,95.149079696221,(190.29290433575193+0j),(0.0052550566963069775+0j),(1.0103838732707475+0j),(0.9897228405656863+0j),(0.9999702702704764+0j),(1.0000297320711011+0j)
9,1.17188313972871,-0.0026965521663515,0.2857860263979439,-0.6916223590769843,-0.0085862958607786,18.61634273546107,2.695540782965202,95.14747232781096,(190.289689510151+0j),(0.005255145477343586+0j),(1.0116888715370767+0j),(0.9884461768049495+0j),(0.9999709981098021+0j),(1.0000290041610687+0j)
10,1.1718784572933207,-0.0029961542801695,0.2857753027363515,-0.6916189469241169,-0.0095402705083283,18.61634746624556,2.6955228546214896,95.14567604283047,(190.28609684097097+0j),(0.005255244695901306+0j),(1.0129953809478407+0j),(0.987171329875179+0j),(0.9999713657805511+0j),(1.0000286363802908+0j)
11,1.1718732821093825,-0.0032957517257912,0.2857634498808353,-0.6916151756997743,-0.0104942267661091,18.6163526944357,2.6955030395224364,95.14369078975758,(190.28212622516403+0j),(0.005255354356355551+0j),(1.01430337951194+0j),(0.9858983193830946+0j),(0.9999716569209003+0j),(1.0000283453232102+0j)
12,1.1718676142295938,-0.0035953440377403,0.2857504680829352,-0.6916110455049602,-0.0114481627974513,18.616358420191624,2.6954813377047726,95.1415167894777,(190.27777810451187+0j),(0.005255474449570345+0j),(1.0156128527604242+0j),(0.9846271586581326+0j),(0.9999709987986326+0j),(1.0000290033153847+0j)
13,1.1718614536900342,-0.0038949307515932,0.285736356920876,-0.6916065563152556,-0.0124020767594126,18.616364643060056,2.695457749390939,95.13915394267504,(190.273052280376+0j),(0.005255604979384731+0j),(1.0169237679721004+0j),(0.9833578770442781+0j),(0.9999719211508833+0j),(1.0000280808638504+0j)
14,1.1718548005507583,-0.0041945114030354,0.2857211164941614,-0.6916017082180753,-0.0133559668138666,18.6163713630586,2.6954322746694923,95.13660239178114,(190.26794903762578+0j),(0.0052557459430299545+0j),(1.0182361173357901+0j),(0.9820904804206657+0j),(0.9999723377502739+0j),(1.000027664204152+0j)
15,1.171847654864295,-0.0044940855284539,0.2857047466651025,-0.6915965012525246,-0.0143098311201874,18.6163785799747,2.6954049137099356,95.133862193148,(190.2624684889667+0j),(0.005255897335081245+0j),(1.0195498800329819+0j),(0.9808249868685117+0j),(0.9999725466388488+0j),(1.0000274552923938+0j)
16,1.17184001669162,-0.0047936526647992,0.2856872473587175,-0.6915909354785376,-0.015263667838276,18.616386293651,2.695375666670475,95.13093343706198,(190.2566108149746+0j),(0.005256059155306938+0j),(1.0208650356177198+0j),(0.9795614139532512+0j),(0.9999728499360275+0j),(1.0000271519512214+0j)
17,1.1718318861045345,-0.0050932123496174,0.2856686185856343,-0.6915850109849616,-0.016217475129072,18.61639450401024,2.6953445336873325,95.12781625019382,(190.2503762689961+0j),(0.005256231397083509+0j),(1.0221815672472576+0j),(0.9782997759093565+0j),(0.9999726908434668+0j),(1.000027310840351+0j)
18,1.1718232631533825,-0.0053927641212982,0.2856488599691196,-0.6915787277650568,-0.0171712511481265,18.61640321058787,2.695311515040136,95.12451062153056,(190.24376482900254+0j),(0.005256414063627176+0j),(1.0234994527597023+0j),(0.9770400907559356+0j),(0.9999727669944553+0j),(1.0000272346724561+0j)
19,1.171814147919422,-0.0056923075189731,0.2856279714743607,-0.691572085912652,-0.0181249940552372,18.61641241325805,2.6952766108916775,95.12101665217573,(190.2367766972045+0j),(0.0052566071505631+0j),(1.0248186727340953+0j),(0.9757823748771309+0j),(0.9999732232031839+0j),(1.000026778392455+0j)
20,1.1718045404673332,-0.0059918420823137,0.2856059529176675,-0.6915650854699252,-0.0190787020079531,18.61642211171762,2.6952398214883475,95.11733445667082,(190.22941210268894+0j),(0.0052568106583314005+0j),(1.0261392109873029+0j),(0.9745266402297224+0j),(1.0000269835390536+0j),(0.999973018359949+0j)
21,1.1717944409015555,-0.0062913673519711,0.2855828043883134,-0.6915577265814759,-0.0200323731678735,18.61643230596568,2.69520114695902,95.11346419047052,(190.2216713563714+0j),(0.005257024573927202+0j),(1.0274610452587691+0j),(0.9732729064277302+0j),(1.0000267094770676+0j),(0.9999732923657343+0j)
22,1.1717838492931218,-0.0065908828692923,0.2855585256419377,-0.6915500092871749,-0.0209860056912452,18.61644299563009,2.6951605875860336,95.10940596227212,(190.21355467564993+0j),(0.005257248899375809+0j),(1.028784156913115+0j),(0.9720211874359579+0j),(1.0000262364959671+0j),(0.9999737653206437+0j)
23,1.171772765734459,-0.0068903881766035,0.2855331165811537,-0.6915419336810705,-0.021939597736391,18.616454180498017,2.69511814359702,95.10515986054564,(190.20506223746682+0j),(0.005257483628694947+0j),(1.0301085303997426+0j),(0.9707714948910569+0j),(1.0000270895183812+0j),(0.9999729122806946+0j)
24,1.1717611903178835,-0.007189882817287,0.2855065770312242,-0.6915334998438613,-0.0228931474600743,18.6164658602701,2.6950738152537586,95.10072604445662,(190.19619436015918+0j),(0.005257728760257888+0j),(1.031434141084067+0j),(0.9695238486473221+0j),(1.000027269082611+0j),(0.9999727326513819+0j)
25,1.1717491231327954,-0.0074893663358379,0.2854789066559411,-0.6915247078260612,-0.0238466530154706,18.61647803449466,2.695027602874957,95.09610451032,(190.18695103635372+0j),(0.005257984290051736+0j),(1.0327609689765131+0j),(0.968278263889193+0j),(1.0000266936900233+0j),(0.9999733080420884+0j)
