Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.038675496449272,-6.447143466291037e-29,-0.6735252071566872,13.872228272968549,2.9834733557188624,600.7995213621253,(-1201.5982104993095+0j),(1.0000125159618802+0j),(0.9999874842511398+0j),(-0.0008322249417188149+0j),(0.9999999998873208+1.5018786418876096e-05j),(0.9999999998873208-1.5018786418876096e-05j)
1,1.0386758143135657,0.000997236526956,-0.6734653763463643,13.872316352078512,2.9834581994593594,600.6759686603451,(-1201.3510972468432+0j),(-0.0008323961212511545+0j),(0.9993529086461062+0.03596893214444274j),(0.9993529086461062-0.03596893214444274j),(1.0000053387097827+0j),(0.9999946611977311+0j)
2,1.0386767540510689,0.0019735028282014,-0.6732909780721266,13.87257316693703,2.983414046384507,600.3154488535307,(-1200.630064660481+0j),(-0.0008328960179398649+0j),(0.9974696697979526+0.07109330299322503j),(0.9974696697979526-0.07109330299322503j),(1.00000549029583+0j),(0.9999945097950509+0j)
3,1.0386782802415504,0.0029129998478732,-0.6730151870447396,13.872979528007916,2.983344299966851,599.7442245817269,(-1199.48761422479+0j),(-0.000833689307917289+0j),(0.9945004592410278+0.1047322136000926j),(0.9945004592410278-0.1047322136000926j),(1.000006035405019+0j),(0.9999939645454707+0j)
4,1.038680348830997,0.0038071083744502,-0.6726547313606855,13.873511081818828,2.983253283449641,598.9955991587389,(-1197.9903635862224+0j),(-0.0008347312576018953+0j),(0.9906361419696152+0.13652851083537845j),(0.9906361419696152-0.13652851083537845j),(0.9999949384814227+0j),(1.000005061502023+0j)
5,1.0386829178853794,0.0046532956491711,-0.6722259941688231,13.874143995450767,2.9831452333183592,598.1021688738961,(-1196.2035017692256+0j),(-0.0008359781579978863+0j),(0.9860638836784501+0.1663671161989781j),(0.9860638836784501-0.1663671161989781j),(0.9999947870305242+0j),(1.000005212955965+0j)
6,1.0386859526006411,0.0054528867912271,-0.6717430334319839,13.874857840595658,2.983023787144986,597.0918772773032,(-1194.1829171619543+0j),(-0.0008373926607825644+0j),(0.9809445030532773+0.1942881415525806j),(0.9809445030532773-0.1942881415525806j),(0.99999520655272+0j),(1.0000047935040222+0j)
7,1.038689426024329,0.0062091373841358,-0.6712171182497582,13.875636265151174,2.9828918627922585,595.9871085812072,(-1191.973378217503+0j),(-0.0008389449207162197+0j),(0.9754070714302832+0.22041108209586097j),(0.9754070714302832-0.22041108209586097j),(0.9999995559971478+0j),(1.0000004440397787+0j)
8,1.0386933178766489,0.006926000314721,-0.6706570008896813,13.876466592641211,2.982751727817435,594.8052417954842,(-1189.6096403901993+0j),(-0.0008406118813022934+0j),(0.9695519182284771+0.24488584656100687j),(0.9695519182284771-0.24488584656100687j),(0.9999999999578816+8.081451420646058e-06j),(0.9999999999578816-8.081451420646058e-06j)
9,1.0386976129533976,0.0076074642048177,-0.6700694055350805,13.87733910675127,2.982605125175103,593.5596255008313,(-1187.1184086257103+0j),(-0.0008423759583266409+0j),(0.9634561460004343+0.26786611368049634j),(0.9634561460004343-0.26786611368049634j),(0.999999999994968+4.144066110342954e-06j),(0.999999999994968-4.144066110342954e-06j)
10,1.0387022997129332,0.0082572479592547,-0.6694595018829623,13.878246358958515,2.982453395281893,592.2605378978675,(-1184.5202285517973+0j),(-0.0008442236555747245+0j),(0.957178999375836+0.28949674115893714j),(0.957178999375836-0.28949674115893714j),(0.9999961552709756+0j),(1.0000038447464588+0j)
11,1.038707369191993,0.0088786883633328,-0.6688312919632402,13.8791826034166,2.9822975758486727,590.9159412709852,(-1181.8310307172228+0j),(-0.000846144642679534+0j),(0.9507662714750273+0.3099088527023739j),(0.9507662714750273-0.3099088527023739j),(0.9999944180936362+0j),(1.0000055819156053+0j)
12,1.0387128142237307,0.0094747227909033,-0.6681879049219746,13.8801433665048,2.982138478043715,589.5320781089605,(-1179.0633028974707+0j),(-0.0008481308790979501+0j),(0.9442536682696225+0.32921878734868615j),(0.9442536682696225-0.32921878734868615j),(0.9999948271704616+0j),(1.0000051728394834+0j)
13,1.038718628889114,0.0100479142307268,-0.667531815222354,13.881125128327303,2.9819767429267436,588.1139033656848,(-1176.2269565553092+0j),(-0.0008501760630327363+0j),(0.9376693071455673+0.3475288053032074j),(0.9376693071455673-0.3475288053032074j),(0.9999964071448809+0j),(1.0000035928517932+0j)
14,1.0387248081362126,0.0106004919981008,-0.6668650025691268,13.882125089353355,2.981812882851176,586.6654064905996,(-1173.3299607060221+0j),(-0.0008522751790227064+0j),(0.9310355526929728+0.36492848563730274j),(0.9310355526929728-0.36492848563730274j),(0.9999945867308302+0j),(1.0000054132929495+0j)
15,1.0387313475166078,0.0111343954575048,-0.6661890691285425,13.883140999421109,2.9816473118400584,585.189834357892,(-1170.3788055772566+0j),(-0.0008544242152958833+0j),(0.9243703658989066+0.381496299574635j),(0.9243703658989066-0.381496299574635j),(1.0000057864781107+0j),(0.9999942135423818+0j)
16,1.0387382430025185,0.0116513151895341,-0.6655053259103977,13.88417103175954,2.9814803679922655,583.6898546895401,(-1167.3788436197601+0j),(-0.0008566199375947777+0j),(0.9176883012782142+0.39730112226951214j),(0.9176883012782142-0.39730112226951214j),(0.9999959154484276+0j),(1.000004084549038+0j)
17,1.0387454908593838,0.0121527295246364,-0.6648148569480103,13.88521368941209,2.9813123301459097,582.167700615352,(-1164.3345423710175+0j),(-0.0008588596879098926+0j),(0.9110012493287597+0.4124035932484536j),(0.9110012493287597-0.4124035932484536j),(0.9999944724261732+0j),(1.0000055275801314+0j)
18,1.0387530875566875,0.0126399360075437,-0.6641185674409952,13.886267735057446,2.981143430390008,580.6252674291896,(-1161.2496737171255+0j),(-0.0008611412557371174+0j),(0.9043189951554298+0.4268573004581664j),(0.9043189951554298-0.4268573004581664j),(0.9999944266576852+0j),(1.000005573372281+0j)
19,1.0387610297052563,0.0131140780751468,-0.6634172202366245,13.887332137840094,2.9809738635547096,579.0641690372621,(-1158.1274570718733+0j),(-0.0008634628069205141+0j),(0.8976496430735492+0.44070978917393683j),(0.8976496430735492-0.44070978917393683j),(0.99999494004054+0j),(1.0000050599608408+0j)
20,1.0387693140130188,0.0135761675006644,-0.6627114637588924,13.88840603267146,2.9808037944839936,577.4857698626406,(-1154.9706686982927+0j),(-0.0008658228495284522+0j),(0.8909999422166766+0.45400341736032745j),(0.8909999422166766-0.45400341736032745j),(1.000004265800295+0j),(0.9999957342364636+0j)
21,1.038777937253742,0.0140271032157464,-0.6620018536066633,13.889488688761706,2.9806333636653553,575.8912971534771,(-1151.7817260868937+0j),(-0.0008682200629339639+0j),(0.8843755393796398+0.4667760762413666j),(0.8843755393796398-0.4667760762413666j),(0.9999953668187329+0j),(1.0000046331986119+0j)
22,1.0387868962449234,0.014467687089159,-0.6612888694190657,13.890579485049198,2.980462691630257,574.281812186436,(-1148.56275371953+0j),(-0.000870653342523025+0j),(0.8777811767520618+0.4790617974745024j),(0.8777811767520618-0.4790617974745024j),(0.9999961633443339+0j),(1.0000038366783768+0j)
23,1.0387961878322092,0.0148986371718871,-0.6605729281685431,13.891677890836512,2.9802918824260947,572.6582539308895,(-1145.3156347400213+0j),(-0.0008731217683443228+0j),(0.8712208484061184+0.4908912642384604j),(0.8712208484061184-0.4908912642384604j),(0.9999952135683474+0j),(1.000004786464132+0j)
24,1.038805808878478,0.015320598842871,-0.6598543947312728,13.892783450392962,2.980121026379854,571.0214671307914,(-1142.042051979147+0j),(-0.0008756244942444577+0j),(0.8646979250217152+0.5022922441132736j),(0.8646979250217152-0.5022922441132736j),(0.9999959791748837+0j),(1.000004020828884+0j)
25,1.038815756256288,0.0157341542173948,-0.659133590363397,13.89389577060788,2.9799502023165525,569.3722021439598,(-1138.7435207668918+0j),(-0.0008781608650729888+0j),(0.8582152542059744+0.513289954617188j),(0.8582152542059744-0.513289954617188j),(0.9999961268813293+0j),(1.000003873114949+0j)
26,1.0388260268427252,0.0161398301170937,-0.6584107995520698,13.895014511011222,2.9797794793542427,567.7111480476271,(-1135.4214153649928+0j),(-0.0008807302650551786+0j),(0.8517752417343069+0.5239073749943408j),(0.8517752417343069-0.5239073749943408j),(0.9999949196160947+0j),(1.0000050804074088+0j)
27,1.0388366175160364,0.016538104846875,-0.6576862755942805,13.89613937564636,2.979608918367244,566.0389368949672,(-1132.076990457786+0j),(-0.0008833321508092799+0j),(0.8453799181062014+0.5341655118814765j),(0.8453799181062014-0.5341655118814765j),(0.9999950647624738+0j),(1.000004935260981+0j)
28,1.0388475251535096,0.0169294139796639,-0.6569602451721112,13.897270106404983,2.979438573187436,564.356146346211,(-1128.7113987273424+0j),(-0.0008859660618654806+0j),(0.8390309930936124+0.5440836265768536j),(0.8390309930936124-0.5440836265768536j),(0.9999967887599415+0j),(1.0000032112276058+0j)
29,1.0388587466302706,0.0173141553136342,-0.6562329121296087,13.898406477523377,2.979268491597094,562.6633031179429,(-1125.3257053134166+0j),(-0.0008886316062596641+0j),(0.8327299010849805+0.5536794305169898j),(0.8327299010849805-0.5536794305169898j),(0.9999939231022279+0j),(1.000006076900112+0j)
30,1.0388702788187592,0.0176926931365789,-0.6555044606104391,13.899548291009806,2.9790987161545295,560.9608954665827,(-1121.92089960473+0j),(-0.0008913284361767202+0j),(0.8264778384195743+0.5629692555202621j),(0.8264778384195743-0.5629692555202621j),(0.9999999999649185+7.6151801683681404e-06j),(0.9999999999649185-7.6151801683681404e-06j)
31,1.0388821185886763,0.0180653619083118,-0.6547750576798388,13.900695372822502,2.9789292848849005,559.2494002367401,(-1118.4979060038913+0j),(-0.0008940562108007538+0j),(0.8202757963169368+0.5719681966262263j),(0.8202757963169368-0.5719681966262263j),(0.9999999999762408+4.406843269925687e-06j),(0.9999999999762408-4.406843269925687e-06j)
32,1.0388942628072553,0.0184324694524275,-0.6540448555278133,13.901847569656704,2.978760231861323,557.5292453262416,(-1115.0575910344005+0j),(-0.0008968146627818447+0j),(0.8141245854699232+0.5806902438503775j),(0.8141245854699232-0.5806902438503775j),(0.9999999999958071+3.4349093530955833e-06j),(0.9999999999958071-3.4349093530955833e-06j)
33,1.0389067083397927,0.0187942997325842,-0.6533139933304155,13.903004746230089,2.978591587696396,555.800836218266,(-1111.6007713017111+0j),(-0.0008996035487195985+0j),(0.8080248602421822+0.5891483898026242j),(0.8080248602421822-0.5891483898026242j),(1.000000000005219+2.3740510057839e-06j),(1.000000000005219-2.3740510057839e-06j)
34,1.0389194520503235,0.0191511152761144,-0.6525825988296917,13.904166782976576,2.9784233799599695,554.0645648253028,(-1108.1282191651717+0j),(-0.0009024226397531144+0j),(0.8019771373884377+0.5973547279915276j),(0.8019771373884377-0.5973547279915276j),(0.9999957087899058+0j),(1.0000042912023095+0j)
35,1.03893249080242,0.0195031592966636,-0.6518507896814817,13.905333574078934,2.9782556335359374,552.3207882613375,(-1104.6406678214041+0j),(-0.0009052717558077761+0j),(0.7959818124792604+0.6053205383459407j),(0.7959818124792604-0.6053205383459407j),(0.999995528292348+0j),(1.000004471723794+0j)
36,1.038945821460042,0.0198506575594875,-0.6511186746100764,13.906505025781948,2.9780883709283152,550.5698640842215,(-1101.1388156432731+0j),(-0.000908150708903256+0j),(0.7900391743299426+0.6130563620325213j),(0.7900391743299426-0.6130563620325213j),(0.9999962788177073+0j),(1.0000037211778605+0j)
37,1.0389594408884293,0.0201938200256935,-0.6503863544016301,13.90768105494019,2.9779216125249346,548.8121212926666,(-1097.6233298550137+0j),(-0.0009110593509430414+0j),(0.7841494169802552+0.6205720682307125j),(0.7841494169802552-0.6205720682307125j),(0.9999962917352775+0j),(1.000003708264933+0j)
38,1.0389733459550248,0.0205328423059119,-0.649653922762408,13.908861587763122,2.9777553768255527,547.0478835765331,(-1094.0948497265322+0j),(-0.0009139975360599251+0j),(0.7783126504792028+0.6278769131708584j),(0.7783126504792028-0.6278769131708584j),(0.9999951920017516+0j),(1.0000048080133843+0j)
39,1.0389875335303722,0.0208679069494438,-0.6489214670628315,13.910046558725666,2.977589680639902,545.2774532966115,(-1090.5539893173877+0j),(-0.0009169651475403267+0j),(0.7725289100487507+0.6349795927046246j),(0.7725289100487507-0.6349795927046246j),(0.9999953619703186+0j),(1.0000046380290395+0j)
40,1.0390020004890224,0.0211991845905103,-0.6481890689850299,13.911235909619672,2.9774245392602974,543.5011306428034,(-1087.001339898714+0j),(-0.0009199620662679154+0j),(0.7667981641783507+0.6418882888966454j),(0.7667981641783507-0.6418882888966454j),(0.9999953631676907+0j),(1.0000046368590305+0j)
41,1.039016743710417,0.0215268349702493,-0.6474568050883072,13.912429588725022,2.9772599666126123,541.7191974740396,(-1083.4374719598811+0j),(-0.0009229882063233517+0j),(0.7611203217432236+0.6486107120860666j),(0.7611203217432236-0.6486107120860666j),(0.9999952651123662+0j),(1.000004734928575+0j)
