Index,Initial x,Initial y,Initial z,Initial vx,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.208322904363534,0.0,0.0,0.0,1.824202491904232,0.0,36.87049673239148,2.456188642483905,10881.37361645814,(21762.73333839114+0j),(0.9998116272649034+0j),(1.0001884075824647+0j),(4.595008118271503e-05+0j),(-0.6651539446647801+0.746706254088665j),(-0.6651539446647801-0.746706254088665j)
1,-2.206603641227344,0.0,0.0,0.0,1.8243104981927043,0.0,36.865584515413296,2.448913059033926,10116.946201088374,(20233.888191876184+0j),(1.006999148292272+0j),(0.9930494987989807+0j),(4.9422028276425826e-05+0j),(-0.7506147299785134+0.6607401358609332j),(-0.7506147299785134-0.6607401358609332j)
2,-2.2048469978754204,0.0,0.0,0.0,1.824156984372483,0.0,36.860730388245145,2.442449262139752,9395.568674706989,(18791.1372961974+0j),(1.0000161311035478+0j),(0.9999838686595404+0j),(5.321659152996121e-05+0j),(-0.8295580015234898+0.558420560246888j),(-0.8295580015234898-0.558420560246888j)
3,-2.203064925734191,0.0,0.0,0.0,1.8237889630485105,0.0,36.85596015588663,2.4366737134941516,8707.919585185746,(17415.839112952497+0j),(1.000330935329892+0j),(0.9996691734489529+0j),(5.741901124249184e-05+0j),(-0.902547361261646+0.43059059520393217j),(-0.902547361261646-0.43059059520393217j)
4,-2.2012653883551674,0.0,0.0,0.0,1.8232422189477855,0.0,36.85128565650816,2.4314875358287593,8057.985622598578,(16115.970589432052+0j),(0.9999999996974533+9.524345114713243e-06j),(0.9999999996974533-9.524345114713243e-06j),(6.205024746170672e-05+0j),(-0.9700909844691644+0.24274159480808385j),(-0.9700909844691644-0.24274159480808385j)
5,-2.199453895017952,0.0,0.0,0.0,1.8225444157683568,0.0,36.846711134626254,2.426811480691367,7444.5554715788685,(14889.098328290384+0j),(1.0037920877352686+0j),(0.9962222382005153+0j),(6.71631777295904e-05+0j),(-1.2901531001481183+0j),(-0.7751018075943753+0j)
6,-2.1976343794440165,0.0,0.0,0.0,1.821717311506576,0.0,36.84223664622361,2.4225814530610763,6868.082123115331,(13736.155988790711+0j),(1.0011698028049283+0j),(0.9988315639878201+0j),(7.280052767091268e-05+0j),(-1.5255892418002073+0j),(-0.6554844335545644+0j)
7,-2.195809723766816,0.0,0.0,0.0,1.8207783069367078,0.0,36.837859934180344,2.41874500914343,6325.651076515825,(12651.302073988401+0j),(1.0003697374224212+0j),(0.9996303987188795+0j),(7.904328925266587e-05+0j),(-1.7000903593492458+0j),(-0.5882040295677017+0j)
8,-2.1939820838358317,0.0,0.0,0.0,1.8197415324753865,0.0,36.8335774904859,2.4152587212974064,5816.1574490948515,(11632.311389979297+0j),(1.0001318591946744+0j),(0.9998681580023621+0j),(8.596741200206182e-05+0j),(-1.8456917053309319+0j),(-0.5418022940180383+0j)
9,-2.192153098937289,0.0,0.0,0.0,1.8186186212288442,0.0,36.829385171522226,2.4120862129595393,5338.032893773493,(10676.065693879522+0j),(0.999955309024176+0j),(1.0000446922979018+0j),(9.366750560818494e-05+0j),(-1.972111659519843+0j),(-0.5070706798832672+0j)
10,-2.1903240316648183,0.0,0.0,0.0,1.8174192679333232,0.0,36.82527855998214,2.4091966880399673,4889.685332727443,(9779.370563198816+0j),(1.0000920826870947+0j),(0.9999079256407472+0j),(0.00010225609767804734+0j),(-2.0839585802942553+0j),(-0.47985598632064924+0j)
11,-2.188495864052793,0.0,0.0,0.0,1.8161516400383557,0.0,36.82125317915432,2.40656382052839,4469.538446449782,(8939.076781031188+0j),(0.9999999884815575+0.0001498344829550465j),(0.9999999884815575-0.0001498344829550465j),(0.00011186843554657757+0j),(-2.1839053186207904+0j),(-0.45789530868034717+0j)
12,-2.1866693654147156,0.0,0.0,0.0,1.8148226850832034,0.0,36.81730461918781,2.404164906729934,4075.686926866631,(8151.368053229485+0j),(1.0055641130240156+0j),(0.9944666751238163+0j),(0.0001226787082759152+0j),(-2.273700019527918+0j),(-0.43981175678840523+0j)
13,-2.1848451413246264,0.0,0.0,0.0,1.8134383641260348,0.0,36.81342860992225,2.401980210330886,3707.6336453650424,(7415.263222301082+0j),(1.0036397305322875+0j),(0.9963734689990115+0j),(0.00013485690791436441+0j),(-2.3545876344438765+0j),(-0.4247028164805131+0j)
14,-2.183023669704418,0.0,0.0,0.0,1.812003831582815,0.0,36.80962106083171,2.3999924504925563,3363.196839171666,(6726.393256070563+0j),(1.002409966207675+0j),(0.9975958272807726+0j),(0.00014866807830797249+0j),(-2.4275015674770164+0j),(-0.4119461809607508+0j)
15,-2.181205327878069,0.0,0.0,0.0,1.8105235756203735,0.0,36.805878080581586,2.3981863971915063,3041.1254804240325,(6082.250796435246+0j),(1.001611146244965+0j),(0.9983914453044671+0j),(0.00016441282398539474+0j),(-2.493178684645971+0j),(-0.40109439654562057+0j)
16,-2.17939041316664,0.0,0.0,0.0,1.8090015290847472,0.0,36.80219598393232,2.3965485479212294,2740.1653445565116,(5480.330111976376+0j),(1.0010784065653666+0j),(0.9989227544201543+0j),(0.00018247074675295202+0j),(-2.5522192847819385+0j),(-0.39181586235994664+0j)
17,-2.1775791587774114,0.0,0.0,0.0,1.8074411581248055,0.0,36.79857129083918,2.3950668667929493,2459.1057687390085,(4918.211334152065+0j),(1.0007224730515722+0j),(0.9992780479837536+0j),(0.00020332599728204668+0j),(-2.6051258646252426+0j),(-0.38385861258274334+0j)
18,-2.1757717462050765,0.0,0.0,0.0,1.8058455337119417,0.0,36.795000720841855,2.3937305720241984,2196.794119715457,(4393.588011826505+0j),(1.00047687789709+0j),(0.999523349024445+0j),(0.00022760443345243346+0j),(-2.6523282711405143+0j),(-0.3770272371181572+0j)
