Index,Initial x,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.5914636230331396,-1.0093065631849372,-2.5083488390994893e-19,34.650707840644664,2.786344929305287,373.96957262428407,(747.9378067619259+0j),(0.9999999999079479+1.3165728544306579e-05j),(0.9999999999079479-1.3165728544306579e-05j),(0.0013370095601323633+0j),(0.9999999974151805+7.190018807328625e-05j),(0.9999999974151805-7.190018807328625e-05j)
1,1.5914630900677251,-1.0093057845061961,-9.994448929511368e-05,34.65070145044378,2.786345239792589,373.9707104854272,(747.9400808989363+0j),(0.001337005492068681+0j),(1.0020444303066494+0j),(0.9999999999926952+4.875614804982138e-06j),(0.9999999999926952-4.875614804982138e-06j),(0.997959740861121+0j)
2,1.591461496349129,-1.0093034561512935,-0.00019944742778893652,34.650682350280896,2.786346168080205,373.9741166644129,(747.9468946012663+0j),(0.0013369933144978564+0j),(1.0040840496937693+0j),(0.9999999996426837+2.6460173509168185e-05j),(0.9999999996426837-2.6460173509168185e-05j),(0.9959325619262965+0j)
3,1.591458870647867,-1.009299620113004,-0.0002980923802508032,34.6506508819567,2.786347697459311,373.9797286470061,(747.9581203207608+0j),(0.0013369732558019631+0j),(1.0061102873542276+0j),(0.999999999819936+1.8813656987350784e-05j),(0.999999999819936-1.8813656987350784e-05j),(0.9939268215119449+0j)
4,1.5914552557918507,-1.0092943389600533,-0.0003955080400503293,34.65060755845429,2.786349802978738,373.98745465501685,(747.9735723644022+0j),(0.001336945632658832+0j),(1.0081154678872684+0j),(0.9999999999664659+7.063060023356898e-06j),(0.9999999999664659-7.063060023356898e-06j),(0.9919498627428102+0j)
5,1.5914507065378478,-1.0092876926884262,-0.0004913826817094053,34.650553035635276,2.7863524527376002,373.9971780635527,(747.9930149446043+0j),(0.0013369108725744885+0j),(1.0100930601414648+0j),(1.0000179067173953+0j),(0.9999820936098617+0j),(0.9900077918181553+0j)
6,1.5914452856003465,-1.0092797729197827,-0.0005854708540358281,34.65048806467162,2.7863556101988305,374.00875722105917,(748.0161771544202+0j),(0.0013368694822150353+0j),(1.0120378544600266+0j),(1.0000090305759601+0j),(0.9999909695002788+0j),(0.9881053318266247+0j)
7,1.5914390598377932,-1.0092706773298126,-0.000677593257185355,34.6504134463639,2.786359236410994,374.02205362758593,(748.0427704321239+0j),(0.0013368219566120107+0j),(1.0139459575699372+0j),(0.9999999997511938+2.222122073090032e-05j),(0.9999999997511938-2.222122073090032e-05j),(0.9862458571223784+0j)
8,1.5914320970015596,-1.0092605048986807,-0.0007676315335340644,34.65032999220047,2.786363291902311,374.03692030431563,(748.0725038398089+0j),(0.0013367688232522467+0j),(1.0158147143600775+0j),(1.0000228981564359+0j),(0.9999771023454749+0j),(0.9844314970679314+0j)
9,1.5914244632390124,-1.0092493522631807,-0.0008555200127454718,34.6502384944494,2.7863677381353487,374.05321415771556,(748.105090241457+0j),(0.0013367105921639896+0j),(1.017642556548617+0j),(1.0000140936805813+0j),(0.9999859065299823+0j),(0.9826633070378753+0j)
10,1.5914162213667415,-1.009237311194039,-0.0009412362242213244,34.65013970547662,2.7863725385130245,374.07079884802187,(748.1402594910463+0j),(0.0013366477545250762+0j),(1.0194287896073182+0j),(1.000022292787579+0j),(0.9999777077158866+0j),(0.9809414940927675+0j)
11,1.591407429819834,-1.0092244670608739,-0.0010247915006097762,34.650034325160924,2.7863776589907814,374.08954955575007,(748.1777591000005+0j),(0.0013365807567140957+0j),(1.021173430318768+0j),(1.0000270180104343+0j),(0.9999729827346857+0j),(0.9792655883056488+0j)
