Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.5629703799897406,0.0,-1.0033525040552949,31.711382680761556,2.912722675675875,152111.97972547796,(304223.95944766887+0j),(1.0002626938847048+0j),(0.9997373739978462+0j),(3.287315598156236e-06+0j),(0.06705684231615594+0j),(14.912721288999132+0j)
1,-0.5638403772984034,0.0,-1.0006187801859767,31.69752340827138,2.913516193863364,153654.50074878556,(307309.0014943171+0j),(1.0002655474444533+0j),(0.999734518653256+0j),(3.254962382424053e-06+0j),(14.630701376081841+0j),(0.06834942319393385+0j)
2,-0.5647043442192299,0.0,-0.9979086160037279,31.68364413289188,2.9142993527407905,155178.67892678056,(310357.35785033903+0j),(1.0002591068658848+0j),(0.9997409598699509+0j),(3.2233135486246e-06+0j),(14.352165019040354+0j),(0.06967589897785617+0j)
3,-0.5655625047248394,0.0,-0.9952211990936034,31.66974573717183,2.91507247801691,156758.58232537092,(313369.8618173738+0j),(1.0002710181314705+0j),(0.9997290504576264+0j),(3.1896180265733573e-06+0j),(14.076979516192162+0j),(0.07103796654865835+0j)
4,-0.5664150758374058,0.0,-0.9925557449325769,31.65582905989405,2.915835882269385,158203.57564266765,(316347.28669141734+0j),(1.000267451371493+0j),(0.9997326159055658+0j),(3.1604848245297425e-06+0j),(13.805019911754558+0j),(0.07243741815443121+0j)
5,-0.5672622679682289,0.0,-0.9899114954957303,31.64189489893485,2.916589865645794,159705.96876379676,(319290.3497077434+0j),(1.0002700386175976+0j),(0.9997300277698875+0j),(3.1307533705543274e-06+0j),(13.53616849332876+0j),(0.0738761489612693+0j)
6,-0.5681042852515057,0.0,-0.987287717905531,31.627944013937572,2.917334716526778,161099.856585252,(322199.71316740033+0j),(1.0002676380068387+0j),(0.9997324310777727+0j),(3.103744215143153e-06+0j),(13.270314324986543+0j),(0.07535616530921008+0j)
7,-0.5689413258548823,0.0,-0.9846837031746098,31.61397712877166,2.918070712142776,162548.1989721466,(325075.9873224066+0j),(1.0002718730356293+0j),(0.999728197876787+0j),(3.076010704310592e-06+0j),(13.00735281330294+0j),(0.0768795937446806+0j)
8,-0.5697735822801502,0.0,-0.9820987649997693,31.599994933825965,2.918798119156255,163959.86569618445,(327919.7313893194+0j),(1.0002689095234334+0j),(0.9997311608125711+0j),(3.0497607086601116e-06+0j),(12.747185302196065+0j),(0.07844869092818807+0j)
9,-0.5706012416433272,0.0,-0.9795322386384183,31.585998088122015,2.9195171942035922,165414.185997634,(330731.45608004753+0j),(1.0002734569364562+0j),(0.9997266153679532+0j),(3.0227153553306497e-06+0j),(12.489718695793227+0j),(0.08006585451037115+0j)
10,-0.5714244859530314,0.0,-0.9769834798092566,31.57198722130553,2.920228184411164,166755.81236156,(333511.6247201216+0j),(1.0002824407541793+0j),(0.9997176317403902+0j),(2.9985899312497e-06+0j),(12.234865105641335+0j),(0.08173363509477713+0j)
11,-0.572243492345565,0.0,-0.9744518637396175,31.557962935426396,2.9209313278614255,168133.00842979114,(336260.6552023705+0j),(1.0002747580050297+0j),(0.999725318866091+0j),(2.9738360401325447e-06+0j),(11.982541518904782+0j),(0.08345474942849115+0j)
12,-0.5730584333583791,0.0,-0.9719367841142518,31.54392580671377,2.921626854063742,169489.46068832782,(338978.9213737056+0j),(1.0002763051088772+0j),(0.999723769990898+0j),(2.950452710169904e-06+0j),(11.732669490544621+0j),(0.08523209494541267+0j)
13,-0.5738694771231478,0.0,-0.9694376522814327,31.52987638706827,2.922314984349563,170875.6534184385,(341666.75328317017+0j),(1.000227040152083+0j),(0.9997730114483544+0j),(2.926104392296814e-06+0j),(11.485174848335689+0j),(0.08706876588187225+0j)
14,-0.5746767876318781,0.0,-0.9669538962509461,31.51581520564941,2.922995932306019,172180.7170071154,(344324.44203855284+0j),(1.0002695768421046+0j),(0.9997304953966448+0j),(2.9039256468165003e-06+0j),(11.239987421788856+0j),(0.08896807108865316+0j)
15,-0.575480524922705,0.0,-0.9644849599500229,31.501742770194333,2.923669904130739,173476.11674740285,(346952.2334919234+0j),(1.0002350515979754+0j),(0.9997649976584921+0j),(2.8828576045629202e-06+0j),(10.997040778109978+0j),(0.09093355386761401+0j)
16,-0.5762808452904448,0.0,-0.9620303024140745,31.487659568329672,2.9243370989946635,174775.16967016354,(349550.3393374663+0j),(1.0002747688125244+0j),(0.9997253043764257+0j),(2.862549004243705e-06+0j),(10.756271979935697+0j),(0.09296901397150618+0j)
17,-0.5770779014686216,0.0,-0.9595893970759469,31.47356606875304,2.9249977093680513,176059.46432644682,(352118.9286500537+0j),(1.0002800339858415+0j),(0.9997200369356849+0j),(2.8402563909881517e-06+0j),(10.517621346552286+0j),(0.0950785322110927+0j)
18,-0.5778718428317803,0.0,-0.9571617310043179,31.459462722404528,2.9256519213491745,177372.35814585123,(354658.1340223382+0j),(1.000258843445184+0j),(0.999741225715039+0j),(2.818928525451688e-06+0j),(10.281032232807114+0j),(0.09726649789035745+0j)
19,-0.5786628155668427,0.0,-0.9547468042457756,31.445349963512907,2.9262999149577125,178603.74169217653,(357168.05222351116+0j),(1.0002681791010442+0j),(0.9997318896248619+0j),(2.7994934219556745e-06+0j),(10.046450814637037+0j),(0.09953763955310141+0j)
20,-0.5794509628409383,0.0,-0.9523441291849383,31.43122821058682,2.9269418644179757,179898.10143117022,(359648.742484219+0j),(1.0002648218621415+0j),(0.9997352467135249+0j),(2.779351177283906e-06+0j),(9.813825880452834+0j),(0.10189705953190244+0j)
21,-0.5802364249695431,0.0,-0.9499532299149551,31.41709786736023,2.927577938427145,181050.1146924518,(362100.22938214196+0j),(1.0002840436680034+0j),(0.99971603248715+0j),(2.7632386038598787e-06+0j),(9.583108631373964+0j),(0.10435027280225097+0j)
22,-0.5810193395703849,0.0,-0.947573641656906,31.402959323665783,2.9282083004075035,182261.25076020107,(364522.5015176588+0j),(1.00028538430721+0j),(0.9997146940694294+0j),(2.7433619879967576e-06+0j),(9.354252484816778+0j),(0.10690325085835073+0j)
23,-0.5817998417245502,0.0,-0.9452049101661585,31.38881295628584,2.9288331087533583,183457.75693525188,(366915.51386777835+0j),(1.0002825287632853+0j),(0.9997175488053733+0j),(2.726515221344827e-06+0j),(9.127212883695494+0j),(0.1095624713397104+0j)
24,-0.5825780641080254,0.0,-0.9428465912342958,31.374659129702547,2.929452517048727,184639.59374850433,(369279.18749430066+0j),(1.000280672213896+0j),(0.9997194007667185+0j),(2.709397523025103e-06+0j),(8.901947104983728+0j),(0.1123349743808023+0j)
25,-0.5833541371500158,0.0,-0.9404982501182417,31.36049819687506,2.930066674295521,185806.70416627004,(371613.40832984913+0j),(1.0002307809515214+0j),(0.9997692695915824+0j),(2.693124210084823e-06+0j),(8.678414069158737+0j),(0.11522842676236854+0j)
26,-0.5841281891596732,0.0,-0.9381594610701208,31.346330499916874,2.9306757251121685,186959.016297073,(373918.03259147156+0j),(1.0002825552292338+0j),(0.9997175210592718+0j),(2.6752995020896463e-06+0j),(8.456574150756184+0j),(0.1182511951238737+0j)
27,-0.5849003464613861,0.0,-0.9358298068477426,31.332156370764707,2.9312798099312203,188096.43967196153,(376192.87934126484+0j),(1.0002806314942352+0j),(0.9997194464844177+0j),(2.660597272074017e-06+0j),(8.236388979302458+0j),(0.12141242994890711+0j)
28,-0.5856707335234438,0.0,-0.9335088782506322,31.31797613180738,2.9318790651858175,189379.63208547834,(378437.73696665873+0j),(1.0002439406289751+0j),(0.9997561202710072+0j),(2.6401994475192845e-06+0j),(8.017821239895394+0j),(0.12472216205114736+0j)
29,-0.5864394730866133,0.0,-0.9311962736623136,31.30379009649062,2.9324736234891113,190326.1814927029,(380652.3629827787+0j),(1.0002953854413605+0j),(0.9997046894500067+0j),(2.6285906613619283e-06+0j),(7.80083446345552+0j),(0.12819141396466163+0j)
30,-0.5872066862800155,0.0,-0.9288915986353752,31.289598569872798,2.933063613799382,191672.636497965,(382836.4779528767+0j),(1.0002485633056284+0j),(0.9997514972119991+0j),(2.608614401820006e-06+0j),(7.585392800166703+0j),(0.13183232909907314+0j)
31,-0.5879724927451452,0.0,-0.9265944654575586,31.275401849178024,2.9336491615849853,192494.8875182548,(384989.77503391216+0j),(1.000243900034479+0j),(0.9997561506052989+0j),(2.598686342310248e-06+0j),(7.371460786041467+0j),(0.13565832187223217+0j)
32,-0.5887370107440777,0.0,-0.9243044927695584,31.26120022429669,2.9342303889730026,193706.52993449944,(387111.9127551338+0j),(1.0002622689599951+0j),(0.9997377976291648+0j),(2.5812242889922347e-06+0j),(7.159003080414461+0j),(0.13968425334473614+0j)
33,-0.5895003572890346,0.0,-0.9220213051247464,31.2469939783139,2.9348074149067154,194601.25868580336,(389202.5173690374+0j),(1.0002698950608273+0j),(0.9997301717293195+0j),(2.569464034668899e-06+0j),(6.947984182417844+0j),(0.143926637384444+0j)
34,-0.5902626482226269,0.0,-0.9197445326984635,31.23278338791779,2.935380355265544,195819.15965771748,(391261.183766186+0j),(1.0002930460356094+0j),(0.9997070383176364+0j),(2.5533762930922388e-06+0j),(6.738368112796013+0j),(0.14840388403135055+0j)
35,-0.5910239983660863,0.0,-0.9174738108014462,31.21856872393647,2.9359493230258122,196719.76164084402,(393287.4721994541+0j),(1.0002542935041083+0j),(0.9997457714564573+0j),(2.541686690918689e-06+0j),(6.530118054863291+0j),(0.15313658827759302+0j)
36,-0.5917845216088018,0.0,-0.915208779570388,31.204350251737303,2.9365144283775777,197640.45695787336,(395280.9139132169+0j),(1.0002648872118929+0j),(0.999735178921574+0j),(2.530488862698826e-06+0j),(6.3231959441925305+0j),(0.1581478747146874+0j)
37,-0.5925443309883949,0.0,-0.9129490836910662,31.190128231593924,2.9370757788290405,198620.5024830234,(397241.0049635294+0j),(1.0002601698531524+0j),(0.9997398951259671+0j),(2.5186751027515827e-06+0j),(6.11756198989524+0j),(0.1634638115036554+0j)
38,-0.5933035388461108,0.0,-0.9106943719019553,31.17590291919991,2.9376334793612755,199583.6048936219,(399167.2097847386+0j),(1.0002817453525006+0j),(0.9997183341762975+0j),(2.505903823347037e-06+0j),(5.913174116309702+0j),(0.1691139107874418+0j)
39,-0.5940622568954986,0.0,-0.9084442967586277,31.16167456598938,2.93818763251685,200774.00311276186,(401058.9578616939+0j),(1.0002849564481764+0j),(0.9997151234751616+0j),(2.4903622593124424e-06+0j),(5.709987295442097+0j),(0.1751317381695939+0j)
40,-0.5948205963361686,0.0,-0.9061985142684987,31.14744341954227,2.938738338516413,201457.82316206917,(402915.6463216564+0j),(1.0002490100287924+0j),(0.9997510509896687+0j),(2.4820423963274517e-06+0j),(5.507952746850066+0j),(0.18155566068577006+0j)
41,-0.5955786679534573,0.0,-0.9039566835705523,31.1332097239512,2.939285695362107,202527.2447229705,(404736.6403291881+0j),(1.0002817080038728+0j),(0.99971836942697+0j),(2.4688036450946584e-06+0j),(5.307016960924792+0j),(0.18842977275922088+0j)
42,-0.596336582226038,0.0,-0.9017184665955782,31.118973720196163,2.9398297989422204,203260.63327934282,(406521.2665562257+0j),(1.0002253112148498+0j),(0.9997747389666195+0j),(2.4607350621123627e-06+0j),(0.19580505327309516+0j),(5.10712049185238+0j)
43,-0.5970944494208844,0.0,-0.8994835277664013,31.104735646485885,2.940370743124741,204300.9321636082,(408268.82166159165+0j),(1.0002547841477423+0j),(0.9997452818099419+0j),(2.447370135357899e-06+0j),(4.908196454772449+0j),(0.20374082602187635+0j)
