Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-1.473101232526579,0.7112611453607747,18.24687732870533,3.0263473640725396,1.0,(-0.4071719331062209+0.9133515298401389j),(-0.4071719331062209-0.9133515298401389j),(0.9999999995376949+2.6957216796573237e-05j),(0.9999999995376949-2.6957216796573237e-05j),(0.8575754183223776+0.5143582427567672j),(0.8575754183223776-0.5143582427567672j)
1,-1.4736580849031828,0.712276115535703,18.25241257972933,3.0260259348547303,1.0,(-0.4024040457218749+0.9154621697004617j),(-0.4024040457218749-0.9154621697004617j),(0.9999999996122366+2.413749674831884e-05j),(0.9999999996122366-2.413749674831884e-05j),(0.8602925834668558+0.5098006187073517j),(0.8602925834668558-0.5098006187073517j)
2,-1.4742234159229062,0.7133048287807173,18.2579342279969,3.025700981625781,1.0,(-0.3976212507234111+0.9175496396029453j),(-0.3976212507234111-0.9175496396029453j),(0.9999999996225803+2.3795235565092137e-05j),(0.9999999996225803-2.3795235565092137e-05j),(0.8629784552018681+0.5052407207061926j),(0.8629784552018681-0.5052407207061926j)
3,-1.4747973156408354,0.7143474234736403,18.26344190824181,3.025372450485177,1.0,(-0.39282329199627664+0.9196139741352846j),(-0.39282329199627664-0.9196139741352846j),(0.9999999996318597+2.347794099347198e-05j),(0.9999999996318597-2.347794099347198e-05j),(0.8656329739174289+0.5006790933012939j),(0.8656329739174289-0.5006790933012939j)
4,-1.4753798737508117,0.7154040370981003,18.26893524737101,3.0250402871255875,1.0,(-0.38800991609481283+0.9216551986339132j),(-0.38800991609481283-0.9216551986339132j),(0.9999999996404341+2.3177462990534554e-05j),(0.9999999996404341-2.3177462990534554e-05j),(0.8682560841585698+0.49611628911333877j),(0.8682560841585698-0.49611628911333877j)
5,-1.4759711794852204,0.7164748060751254,18.27441386446889,3.024704436861666,1.0,(-0.3831808727128384+0.9236733291273992j),(-0.3831808727128384-0.9236733291273992j),(0.9999999996493281+2.285562196141616e-05j),(0.9999999996493281-2.285562196141616e-05j),(0.8708477347824726+0.49155286880052573j),(0.8708477347824726-0.49155286880052573j)
6,-1.4765713215122824,0.7175598655907294,18.279877370813704,3.0243648446605915,1.0,(-0.37833591541532174+0.9256683722190304j),(-0.37833591541532174-0.9256683722190304j),(0.9999999993741332+3.191816901164002e-05j),(0.9999999993741332-3.191816901164002e-05j),(0.8734078791140221+0.48698940101767973j),(0.8734078791140221-0.48698940101767973j)
7,-1.4771803878449434,0.7186593494414598,18.28532536988287,3.024021455171443,1.0,(-0.37347480152277823+0.9276403251485178j),(-0.37347480152277823-0.9276403251485178j),(0.9999999994182924+3.057185584232888e-05j),(0.9999999994182924-3.057185584232888e-05j),(0.8759364750962242+0.48242646237301484j),(0.8759364750962242-0.48242646237301484j)
8,-1.4777984657131995,0.7197733898231212,18.29075745742885,3.0236742127631406,1.0,(-0.3685972937858358+0.9295891755081579j),(-0.3685972937858358-0.9295891755081579j),(0.9999999994609846+2.9229274410574122e-05j),(0.9999999994609846-2.9229274410574122e-05j),(0.8784334854630207+0.47786463733861934j),(0.8784334854630207-0.47786463733861934j)
9,-1.478425641465123,0.7209021171641069,18.296173221517478,3.0233230615578837,1.0,(-0.3637031602729771+0.9315149013345214j),(-0.3637031602729771-0.9315149013345214j),(0.9999999995018447+2.791254125863549e-05j),(0.9999999995018447-2.791254125863549e-05j),(0.8808988778964526+0.4733045181719826j),(0.8808988778964526-0.4733045181719826j)
10,-1.4790620004471604,0.7220456599265848,18.301572242612583,3.02296794547003,1.0,(-0.3587921751961525+0.9334174710231347j),(-0.3587921751961525-0.9334174710231347j),(0.9999999995400355+2.6636795692406166e-05j),(0.9999999995400355-2.6636795692406166e-05j),(0.8833326251967808+0.468746704803335j),(0.8833326251967808-0.468746704803335j)
11,-1.4797076268837566,0.7232041444067615,18.306954093674648,3.0226088082464053,1.0,(-0.35386411958479713+0.9352968432834224j),(-0.35386411958479713-0.9352968432834224j),(0.9999999995644522+2.584755278300533e-05j),(0.9999999995644522-2.584755278300533e-05j),(0.8857347054537448+0.46419180470533394j),(0.8857347054537448-0.46419180470533394j)
12,-1.4803626037534203,0.7243776945297586,18.31231834027935,3.022245593508695,1.0,(-0.34891878191044895+0.9371529671333152j),(-0.34891878191044895-0.9371529671333152j),(0.999999999595382+2.4784158521007957e-05j),(0.999999999595382-2.4784158521007957e-05j),(0.8881051022204307+0.45964043274137784j),(0.8881051022204307-0.45964043274137784j)
13,-1.4810270126601763,0.7255664316375137,18.31766454075942,3.0218782447981507,1.0,(-0.3439559588529808+0.9389857818621905j),(-0.3439559588529808-0.9389857818621905j),(0.9999999996188513+2.3957970655883254e-05j),(0.9999999996188513-2.3957970655883254e-05j),(0.8904438046897991+0.45509321099093114j),(0.8904438046897991-0.45509321099093114j)
14,-1.481700933702649,0.7267704742732939,18.3229922463668,3.0215067056221026,1.0,(-0.33897545595610784+0.9407952170493061j),(-0.33897545595610784-0.9407952170493061j),(0.9999999996376984+2.3288306753317332e-05j),(0.9999999996376984-2.3288306753317332e-05j),(0.8927508078728172+0.450550768551954j),(0.8927508078728172-0.450550768551954j)
15,-1.482384445339022,0.7279899379600819,18.32830100145987,3.021130919502768,1.0,(-0.33397708839012497+0.9425811925713997j),(-0.33397708839012497-0.9425811925713997j),(0.9999999996389534+2.3313060254516188e-05j),(0.9999999996389534-2.3313060254516188e-05j),(0.8950261127783274+0.4460137413186324j),(0.8950261127783274-0.4460137413186324j)
16,-1.483077624248173,0.7292249349733602,18.33359034371656,3.020750830028287,1.0,(-0.32896068156507097+0.9443436186770262j),(-0.32896068156507097-0.9443436186770262j),(0.9999999996625436+2.2449463319224215e-05j),(0.9999999996625436-2.2449463319224215e-05j),(0.8972697265959123+0.4414827717301466j),(0.8972697265959123-0.4414827717301466j)
17,-1.48378054519045,0.7304755741138993,18.33885980436792,3.0203663809050427,1.0,(-0.32392607208663216+0.9460823959725504j),(-0.32392607208663216-0.9460823959725504j),(0.9999999996802738+2.1778445695231312e-05j),(0.9999999996802738-2.1778445695231312e-05j),(0.8994816628747635+0.4369585085016492j),(0.8994816628747635-0.4369585085016492j)
18,-1.4844932808629343,0.7317419604723214,18.34410890846381,3.0199775160127613,1.0,(-0.31887310834533156+0.9477974155469338j),(-0.31887310834533156-0.9477974155469338j),(0.9999999996926731+2.1293040638809146e-05j),(0.9999999996926731-2.1293040638809146e-05j),(0.9016619417080503+0.4324416063182374j),(0.9016619417080503-0.4324416063182374j)
19,-1.4852159017541615,0.7330241951934653,18.34933717516223,3.0195841794609963,1.0,(-0.3138016513266952+0.9494885590486513j),(-0.3138016513266952-0.9494885590486513j),(0.9999999997012488+2.0984035425393295e-05j),(0.9999999997012488-2.0984035425393295e-05j),(0.9038105899139037+0.42793272550624584j),(0.9038105899139037-0.42793272550624584j)
20,-1.485948475996401,0.7343223752375639,18.35454411804753,3.0191863156475325,1.0,(-0.30871157536959504+0.9511556988050356j),(-0.30871157536959504-0.9511556988050356j),(0.9999999997085861+2.0703728573157163e-05j),(0.9999999997085861-2.0703728573157163e-05j),(0.9059276412161976+0.4234325316742593j),(0.9059276412161976-0.4234325316742593j)
21,-1.4866910692141322,0.7356365931362773,18.359729245481912,3.018783869318879,1.0,(-0.30360276912717854+0.9527986979235732j),(-0.30360276912717854-0.9527986979235732j),(0.9999999994859886+2.8895499044267438e-05j),(0.9999999994859886-2.8895499044267438e-05j),(0.9080131364250537+0.41894169532222514j),(0.9080131364250537-0.41894169532222514j)
22,-1.4874437443845527,0.7369669367679029,18.364892060957843,3.018376785629793,1.0,(-0.2984751355774282+0.9544174105825972j),(-0.2984751355774282-0.9544174105825972j),(0.9999999995300926+2.7382251995957433e-05j),(0.9999999995300926-2.7382251995957433e-05j),(0.9100671236063009+0.41446089143687054j),(0.9100671236063009-0.41446089143687054j)
23,-1.4882065616704727,0.738313489091081,18.37003206353732,3.017965010209453,1.0,(-0.2933285939678877+0.9560116820083456j),(-0.2933285939678877-0.9560116820083456j),(0.9999999995692113+2.5996922682154764e-05j),(0.9999999995692113-2.5996922682154764e-05j),(0.9120896582659495+0.409990799023317j),(0.9120896582659495-0.409990799023317j)
24,-1.488979578280795,0.7396763279216838,18.375148748261616,3.0175484892235502,1.0,(-0.2881630797571017+0.9575813488335557j),(-0.2881630797571017-0.9575813488335557j),(0.999999999604287+2.472085306860349e-05j),(0.999999999604287-2.472085306860349e-05j),(0.9140808035121157+0.40553210064051975j),(0.9140808035121157-0.40553210064051975j)
25,-1.489762848317376,0.7410555256898467,18.38024160662057,3.0171271694401542,1.0,(-0.2829785455826768+0.9591262392935898j),(-0.2829785455826768-0.9591262392935898j),(0.999999999636587+2.3511609055654464e-05j),(0.999999999636587-2.3511609055654464e-05j),(0.916040630221546+0.4010854818893246j),(0.916040630221546-0.4010854818893246j)
26,-1.4905564226256236,0.7424511492037519,18.385310127045592,3.0167009982960367,1.0,(-0.27777496200443075+0.9606461734877476j),(-0.27777496200443075-0.9606461734877476j),(0.9999999996667842+2.2349743246920616e-05j),(0.9999999996667842-2.2349743246920616e-05j),(0.9179692171990377+0.3966516308725986j),(0.9179692171990377-0.3966516308725986j)
27,-1.4913603486467784,0.7438632594171851,18.39035379543185,3.016269923963621,1.0,(-0.2725523182508779+0.9621409636655569j),(-0.2725523182508779-0.9621409636655569j),(0.9999999996829871+2.1744257513763067e-05j),(0.9999999996829871-2.1744257513763067e-05j),(0.9198666513298982+0.3922312376263212j),(0.9198666513298982-0.3922312376263212j)
28,-1.4921746702728056,0.7452919112023143,18.3953720956884,3.0158338954183925,1.0,(-0.26731062286892615+0.9636104145559211j),(-0.26731062286892615-0.9636104145559211j),(0.9999999997048705+2.0886704500588044e-05j),(0.9999999997048705-2.0886704500588044e-05j),(0.921733027725115+0.38782499352067784j),(0.921733027725115-0.38782499352067784j)
29,-1.4929994277031926,0.7467371531266708,18.400364510319054,3.0153928625068067,1.0,(-0.26204990449896476+0.9650543236959148j),(-0.26204990449896476-0.9650543236959148j),(0.9999999997228592+2.017853396019505e-05j),(0.9999999997228592-2.017853396019505e-05j),(0.9235684498586211+0.3834335906310928j),(0.9235684498586211-0.3834335906310928j)
30,-1.493834657306108,0.7481990272382261,18.405330521028823,3.014946776014031,1.0,(-0.25677021249032417+0.9664724818140978j),(-0.25677021249032417-0.9664724818140978j),(0.9999999997340914+1.974092364011493e-05j),(0.9999999997340914-1.974092364011493e-05j),(0.9253730296948319+0.3790577210819116j),(0.9253730296948319-0.3790577210819116j)
31,-1.4946803914836713,0.7496775688582238,18.410269609357183,3.014495587731485,1.0,(-0.25147161754796843+0.9678646732318065j),(-0.25147161754796843-0.9678646732318065j),(0.9999999997425224+1.9421419870222347e-05j),(0.9999999997425224-1.9421419870222347e-05j),(0.9271468878059137+0.3746980763629987j),(0.9271468878059137-0.3746980763629987j)
32,-1.4955366585417855,0.7511728063825153,18.415181257337704,3.0140392505239992,1.0,(-0.24615421237183166+0.9692306762846208j),(-0.24615421237183166-0.9692306762846208j),(0.9999999997383113+1.9669130029025945e-05j),(0.9999999997383113-1.9669130029025945e-05j),(0.9288901534779359+0.37035534661990427j),(0.9288901534779359-0.37035534661990427j)
33,-1.4964034825648678,0.7526847610919326,18.420064948183644,3.0135777183964327,1.0,(-0.24081811210970996+0.9705702638110526j),(-0.24081811210970996-0.9705702638110526j),(0.9999999997515989+1.9130039380940703e-05j),(0.9999999997515989-1.9130039380940703e-05j),(0.9306029648066514+0.3660302199153213j),(0.9306029648066514-0.3660302199153213j)
34,-1.497280883299207,0.7542134469776796,18.424920166989875,3.013110946558543,1.0,(-0.23546345510520844+0.9718832035906146j),(-0.23546345510520844-0.9718832035906146j),(0.9999999997611001+1.8718364672358753e-05j),(0.9999999997611001-1.8718364672358753e-05j),(0.9322854687754992+0.36172338147844507j),(0.9322854687754992-0.36172338147844507j)
35,-1.49816887604046,0.7557588705745647,18.429746401463117,3.0126388914894093,1.0,(-0.2300904032285367+0.973169258891603j),(-0.2300904032285367-0.973169258891603j),(0.9999999997681901+1.839100245949878e-05j),(0.9999999997681901-1.839100245949878e-05j),(0.9339378213249212+0.3574355129208214j),(0.9339378213249212-0.3574355129208214j)
36,-1.4990674715285903,0.7573210308075254,18.434543142671583,3.0121615110000914,1.0,(-0.22469914253767767+0.9744281889851562j),(-0.22469914253767767-0.9744281889851562j),(0.9999999996172979+2.473818952831649e-05j),(0.9999999996172979-2.473818952831649e-05j),(0.9355601874051536+0.3531672914368033j),(0.9355601874051536-0.3531672914368033j)
37,-1.4999766758598938,0.758899918865838,18.43930988578749,3.011678764292828,1.0,(-0.21928988299770416+0.9756597497879814j),(-0.21928988299770416-0.9756597497879814j),(0.9999999996536846+2.3272460928062377e-05j),(0.9999999996536846-2.3272460928062377e-05j),(0.9371527410071439+0.3489193890012751j),(0.9371527410071439-0.3489193890012751j)
38,-1.5008964903892297,0.7604955180646015,18.44404613089455,3.0111906120214376,1.0,(-0.21386285991620482+0.9768636943214487j),(-0.21386285991620482-0.9768636943214487j),(0.9999999996876592+2.1870806586360032e-05j),(0.9999999996876592-2.1870806586360032e-05j),(0.9387156651906898+0.3446924715216414j),(0.9387156651906898-0.3446924715216414j)
39,-1.50182691166094,0.7621078037514536,18.448751383755397,3.0106970163458358,1.0,(-0.20841833348022432+0.9780397734224917j),(-0.20841833348022432-0.9780397734224917j),(0.9999999997194966+2.0513929977596188e-05j),(0.9999999997194966-2.0513929977596188e-05j),(0.9402491520811405+0.34048719800997673j),(0.9402491520811405-0.34048719800997673j)
40,-1.502767931340332,0.7637367432162617,18.4534251566138,3.0101979409854294,1.0,(-0.20295658920801796+0.9791877363486496j),(-0.20295658920801796-0.9791877363486496j),(0.9999999997472451+1.929708145025643e-05j),(0.9999999997472451-1.929708145025643e-05j),(0.9417534028550425+0.3363042197309427j),(0.9417534028550425-0.3363042197309427j)
41,-1.5037195361575144,0.7653822956214585,18.458066968998487,3.009693351269239,1.0,(-0.19747793814300105+0.9803073314337323j),(-0.19747793814300105-0.9803073314337323j),(0.999999999758499+1.873163594682364e-05j),(0.999999999758499-1.873163594682364e-05j),(0.9432286277060733+0.33214417934612167j),(0.9432286277060733-0.33214417934612167j)
42,-1.50468170786331,0.7670444119527081,18.46267634852721,3.0091832141824355,1.0,(-0.19198271692403474+0.9813983067608177j),(-0.19198271692403474-0.9813983067608177j),(0.999999999772936+1.808095648055806e-05j),(0.999999999772936-1.808095648055806e-05j),(0.9446750457908144+0.3280077100585154j),(0.9446750457908144-0.3280077100585154j)
43,-1.5056544231954727,0.7687230349870705,18.46725283171459,3.008667498409703,1.0,(-0.18647128792242765+0.9824604108463909j),(-0.18647128792242765-0.9824604108463909j),(0.9999999997886093+1.749700990922305e-05j),(0.9999999997886093-1.749700990922305e-05j),(0.9460928851561292+0.323895434754218j),(0.9460928851561292-0.323895434754218j)
