Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,1.1688315573013637,-0.32923517215157744,9.628650138824947,3.064973894276307,3945.337293736593,(7890.6592385384665+0j),(0.00012673187887490833+0j),(1.0425505775283825+0j),(0.9591865716710732+0j),(0.7817168497297183+0.6236335196613072j),(0.7817168497297183-0.6236335196613072j)
1,1.168621226485742,-0.33070715804599377,9.638197707829598,3.0639650585316645,3622.01002561798,(7244.019840299195+0j),(0.00013804489937680064+0j),(1.025361474600402+0j),(0.9752661653585254+0j),(0.7717302187936503+0.6359500525962959j),(0.7717302187936503-0.6359500525962959j)
2,1.168417193719183,-0.33210722572846724,9.647788991604914,3.0630013175594555,3360.6796121958428,(6721.357228857594+0j),(0.00014877943415170236+0j),(1.0157502796261262+0j),(0.9844941605128682+0j),(0.76199703061362+0.6475805164861957j),(0.76199703061362-0.6475805164861957j)
3,1.1682187601951455,-0.33344365312519453,9.657416989517214,3.062077587798392,3118.4141434426806,(6236.828126547449+0j),(0.00016033794143810454+0j),(1.010387945101387+0j),(0.9897189481904743+0j),(0.7524868647507094+0.6586072565452771j),(0.7524868647507094-0.6586072565452771j)
4,1.1680253468753359,-0.3347232686081974,9.667076218369122,3.061189669404946,2906.1690209835488,(5812.337869919288+0j),(0.00017204783585023087+0j),(1.0082086950999039+0j),(0.9918582053479527+0j),(0.7431762625554066+0.6690956902944762j),(0.7431762625554066-0.6690956902944762j)
5,1.1678364678828588,-0.33595177943053767,9.676762308578406,3.0603340469848743,2717.6585219864905,(5435.31604293111+0j),(0.0001839819141660204+0j),(1.0152946892082486+0j),(0.9849357965987334+0j),(0.734044839216363+0.6791010042816213j),(0.734044839216363-0.6791010042816213j)
6,1.1674707194116045,-0.3382741065942355,9.696201755545902,3.0587082002757295,2377.9513122551925,(4755.901984051928+0j),(0.00021026503760983436+0j),(0.9999874544521489+0.005012655458000633j),(0.9999874544521489-0.005012655458000633j),(0.7162511294277327+0.6978426180664231j),(0.7162511294277327-0.6978426180664231j)
7,1.1671188648029789,-0.3404415379323633,9.715713643176665,3.057180954230468,2098.164953553763,(4196.329668804037+0j),(0.00023830349129330637+0j),(0.9999880888269344+0.004884158638279432j),(0.9999880888269344-0.004884158638279432j),(0.6989955058274773+0.7151260607957308j),(0.6989955058274773-0.7151260607957308j)
8,1.1667788925002551,-0.34247737183621724,9.735282986461435,3.0557378759535037,1861.1827676742403,(3722.3650945221016+0j),(0.00026864639237459147+0j),(0.9999880668628924+0.004888108181223841j),(0.9999880668628924-0.004888108181223841j),(0.6821930706116406+0.7311720826217685j),(0.6821930706116406-0.7311720826217685j)
9,1.1664492356243057,-0.3443996574776744,9.754898913078017,3.0543677577023005,1658.8951157883482,(3317.789910166248+0j),(0.0003014054599738894+0j),(1.000421355367882+0j),(0.999578836379665+0j),(0.6657780876073459+0.7461498093936503j),(0.6657780876073459-0.7461498093936503j)
10,1.1661286452585213,-0.3462227071474728,9.77455329800544,3.053061691754105,1484.379348064581,(2968.7583190452915+0j),(0.00033684115679924486+0j),(0.9999988023138318+0.0015532429359444418j),(0.9999988023138318-0.0015532429359444418j),(0.649698181757975+0.7601922602975428j),(0.649698181757975-0.7601922602975428j)
11,1.1658161065257104,-0.3479580929619902,9.7942399183975,3.051812459713531,1333.0584820886809,(2666.1165722724772+0j),(0.0003750773706177542+0j),(0.9999979450578809+0.002029715684943843j),(0.9999979450578809-0.002029715684943843j),(0.6339110868572376+0.7734059309026619j),(0.6339110868572376-0.7734059309026619j)
12,1.1655107810834493,-0.34961532710743454,9.813953908491996,3.0506141151084263,1201.1184250649485,(2402.2364235884124+0j),(0.0004162787583721943+0j),(1.0020032267287056+0j),(0.998000787056246+0j),(0.6183820697960538+0.7858776086329643j),(0.6183820697960538-0.7858776086329643j)
13,1.1652119665600058,-0.35120233988804767,9.833691395699313,3.0494616896685134,1085.3588022390115,(2170.717122841852+0j),(0.00046067724800342687+0j),(1.0018042146960373+0j),(0.9981990424115078+0j),(0.6030822006235383+0.7976790452852233j),(0.6030822006235383-0.7976790452852233j)
14,1.1649190672253968,-0.35272582440758227,9.853449250329664,3.0483509812793006,983.3676687775487,(1966.7348034399092+0j),(0.0005084569537310503+0j),(1.0016002308098195+0j),(0.9984023353934097+0j),(0.5879872016169323+0.8088702310819212j),(0.5879872016169323-0.8088702310819212j)
15,1.1646315723184657,-0.35419149052889143,9.873224909054404,3.0472783975671236,893.1282025968424,(1786.255838275335+0j),(0.0005598302183842654+0j),(1.0014999107730458+0j),(0.9985023428199743+0j),(0.5730764609299535+0.8195019035508948j),(0.5730764609299535-0.8195019035508948j)
16,1.1643490397278184,-0.35560425566225834,9.893016247565294,3.0462408382596706,812.9725923445784,(1625.9445680249896+0j),(0.0006150271163351247+0j),(0.9999999776268366+0.00022343047579681912j),(0.9999999776268366-0.00022343047579681912j),(0.5583323437843281+0.829617378000376j),(0.5583323437843281-0.829617378000376j)
