Index,Initial x,Initial vy,Initial vz,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.5820399971791973,-0.8966506010604952,-1.9082490627305825e-29,30.091730389318098,3.017078709993548,4528460.062682217,(7205567.136979822+0j),(1.0003530412148804+0j),(0.9996470409407491+0j),(1.1041280989101953e-07+0j),(0.9999956380820485+0.0029536108199749657j),(0.9999956380820485-0.0029536108199749657j)
1,-0.582039957906567,-0.896650721718389,9.999714069021092e-05,30.091731880295114,3.0170786771963076,5354805.613662957,(7205570.0023531895+0j),(9.337407108191536e-08+0j),(0.9999920076792997+0.0024988736511169516j),(0.9999920076792997-0.0024988736511169516j),(1.0000861032417951+0j),(0.9999233331550302+0j)
2,-0.582039939587919,-0.8966507704670372,0.00019999712628273475,30.091731906332893,3.017078650070055,4160554.7642190903,(7205564.956985133+0j),(1.2017628136998073e-07+0j),(0.9999969283050045+0.005161531677983732j),(0.9999969283050045-0.005161531677983732j),(0.9999898694663341+3.313912175194304e-05j),(0.9999898694663341-3.313912175194304e-05j)
3,-0.5820399090566188,-0.8966508517153752,0.00029999708626138907,30.09173194972943,3.017078604859301,32267121.014460478,(7205557.633573586+0j),(-1.549564957394016e-08+0j),(0.9999738989470628+0.007715811397511074j),(0.9999738989470628-0.007715811397511074j),(0.9999353906624592+0j),(1.0000572288025773+0j)
4,-0.5820398663127028,-0.8966509654632959,0.00039999700781922294,30.091732010484517,3.0170785415640955,16045802.033921659,(7205547.299019355+0j),(3.1160798253834524e-08+0j),(0.9999555478646386+0.010335935995628223j),(0.9999555478646386-0.010335935995628223j),(0.9999914485288168+9.419820363045268e-05j),(0.9999914485288168-9.419820363045268e-05j)
5,-0.5820398113562113,-0.8966511117106923,0.0004999968781494099,30.091732088597993,3.017078460184481,3602766.6087511624,(7205533.217502186+0j),(2.605418637255264e-07+0j),(0.9999133129639295+0.012890539519910479j),(0.9999133129639295-0.012890539519910479j),(1.0000035419009905+4.726332260900134e-05j),(1.0000035419009905-4.726332260900134e-05j)
6,-0.5820397441872155,-0.8966512904573607,0.0005999966844454946,30.091732184069457,3.0170783607205376,3602758.1682239254,(7205516.336447712+0j),(1.6225035194051623e-07+0j),(0.9998817514150896+0.015453919772791681j),(0.9998817514150896-0.015453919772791681j),(1.0000603914672086+0j),(0.9999368591286754+0j)
7,-0.582039664805769,-0.8966515017031584,0.0006999964139010976,30.09173229689862,3.0170782431723353,4170152.295099085,(7205496.234451268+0j),(1.1989969780902856e-07+0j),(0.9998407635278688+0.018031647153750118j),(0.9998407635278688-0.018031647153750118j),(1.0000591700995909+0j),(0.9999339004705683+0j)
8,-0.5820395732119659,-0.8966517454478212,0.0007999960537104101,30.091732427084985,3.017078107539978,4035345.194072818,(7205473.544994555+0j),(1.2390513721959053e-07+0j),(0.9997881343679584+0.020614146685562336j),(0.9997881343679584-0.020614146685562336j),(1.0000260283914024+0j),(0.9999726956571369+0j)
9,-0.5820394694058854,-0.896652021691134,0.0008999955910678001,30.091732574628033,3.0170779538235686,3602723.398998127,(7205446.797996115+0j),(2.1783136879386381e-07+0j),(0.9997230132130511+0.023193145114345014j),(0.9997230132130511-0.023193145114345014j),(1.0000079108176454+3.0099212240806013e-05j),(1.0000079108176454-3.0099212240806013e-05j)
10,-0.5820393533876502,-0.8966523304327542,0.000999995013168338,30.09173273952727,3.0170777820232373,3602708.522109888,(7205417.044219637+0j),(2.5116726100490036e-07+0j),(0.9996673656579+0.02577156957876811j),(0.9996673656579-0.02577156957876811j),(1.000000510940032+5.1735850308739955e-05j),(1.000000510940032-5.1735850308739955e-05j)
11,-0.582039225157373,-0.896652671672368,0.0010999943072074788,30.091732921781986,3.0170775921391293,6725226.636574521,(7205385.443730077+0j),(7.43469368423659e-08+0j),(0.9995990939171286+0.02834260522995038j),(0.9995990939171286-0.02834260522995038j),(1.000040573467242+0j),(0.9999577910168226+0j)
12,-0.5820390788435138,-0.896653061034995,0.0012039934067951009,30.091733129736788,3.0170773754765787,3602673.873637918,(7205347.747275697+0j),(1.7190555185489364e-07+0j),(0.9995170544261103+0.031026346386105606j),(0.9995170544261103-0.031026346386105606j),(1.0000016211511848+5.0369430735718515e-05j),(1.0000016211511848-5.0369430735718515e-05j)
13,-0.5820389126658493,-0.8966535032580338,0.0013121522745872217,30.09173336592105,3.017077129399343,3602653.058362774,(7205306.116725409+0j),(2.243230516936545e-07+0j),(0.9994273972100214+0.033812046104828415j),(0.9994273972100214-0.033812046104828415j),(1.000000760421138+4.7734297063648115e-05j),(1.000000760421138-4.7734297063648115e-05j)
14,-0.5820387246867152,-0.896654003497872,0.0014246372673362214,30.091733633087493,3.017076851038027,3602629.3159828405,(7205258.631965542+0j),(1.4657068838689953e-07+0j),(0.9993265880928546+0.036709093168639254j),(0.9993265880928546-0.036709093168639254j),(0.9999995015948733+4.585699874066433e-05j),(0.9999995015948733-4.585699874066433e-05j)
15,-0.5820385127977411,-0.8966545673651419,0.0015416213910465196,30.091733934231208,3.0170765372704222,3602602.5922298166,(7205205.184459494+0j),(3.04994412574815e-07+0j),(0.9992128508998128+0.039721250329755334j),(0.9992128508998128-0.039721250329755334j),(0.9999978881325706+3.479629114645583e-05j),(0.9999978881325706-3.479629114645583e-05j)
16,-0.5820382747053787,-0.896655200963264,0.0016632845662536407,30.091734272610086,3.017076184700081,3602572.3216637173,(7205144.643327296+0j),(1.5508640551248662e-07+0j),(0.9990856714931886+0.04285460352707741j),(0.9990856714931886-0.04285460352707741j),(0.9999956269030226+3.84273179007044e-05j),(0.9999956269030226-3.84273179007044e-05j)
