Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.3043605062612555,1.958084853129955e-26,1.876158545183827,22.23177914593642,2.6594066742394267,344737.1551768617,(689149.3112121559+0j),(1.450380362234338e-06+0j),(0.9999999932347456+8.988330981866797e-05j),(0.9999999932347456-8.988330981866797e-05j),(0.99999999908733+4.2723922324920795e-05j),(0.99999999908733-4.2723922324920795e-05j)
1,-2.3043605041131068,-9.999999994263944e-05,1.876158543044704,22.231779148957497,2.6594066723548204,344814.1683849167,(689149.2835920672+0j),(1.4500564241400325e-06+0j),(0.9999929339189857+0.0036891450657225325j),(0.9999929339189857-0.0036891450657225325j),(0.9999512178812537+0j),(1.000049317687365+0j)
2,-2.304360497668251,-0.0001999999994262,1.8761585366264764,22.23177915802363,2.659406666702495,344648.27043576265,(689149.3102512171+0j),(1.4507544151284084e-06+0j),(0.9999728531386096+0.007378859426614209j),(0.9999728531386096-0.007378859426614209j),(0.9998851052268809+0j),(1.000114772719347+0j)
3,-2.304360486926821,-0.0002999999979918,1.8761585259294224,22.231779173134324,2.659406657281965,344574.6638745767,(689149.3277477022+0j),(1.4511627730810716e-06+0j),(0.9999389192063521+0.011065073244149957j),(0.9999389192063521-0.011065073244149957j),(1.000044226941444+0j),(0.9999555040287582+0j)
4,-2.3043604718888218,-0.0003999999951803,1.8761585109535504,22.231779194289185,2.6594066440932207,344574.67148245143,(689149.3429634518+0j),(1.4512140595371267e-06+0j),(0.9998910449461548+0.014750175084866467j),(0.9998910449461548-0.014750175084866467j),(1.0000001331014075+0.0001815450054217658j),(1.0000001331014075-0.0001815450054217658j)
5,-2.304360452554252,-0.0004999999905327,1.876158491698861,22.2317792214878,2.659406627136256,344574.69954124995,(689149.3990810488+0j),(1.4514328875866463e-06+0j),(0.9998299211892299+0.018440953204386497j),(0.9998299211892299-0.018440953204386497j),(1.0000224056189877+0j),(0.999977662597542+0j)
6,-2.30436042892311,-0.00059999998359,1.8761584681653476,22.231779254731027,2.659406606411088,344574.73889015795,(689149.4777788648+0j),(1.4527228375061011e-06+0j),(0.9997553098083642+0.02212956363199389j),(0.9997553098083642-0.02212956363199389j),(0.9998752476325106+0j),(1.0001243830715847+0j)
7,-2.3043604009953973,-0.0006999999738933,1.8761584403530156,22.23177929401819,2.659406581917702,344681.180869596,(689149.5105671443+0j),(1.4506158959407136e-06+0j),(0.9996663739179013+0.025815582149128574j),(0.9996663739179013-0.025815582149128574j),(1.0000003372124258+0.00011626587903162428j),(1.0000003372124258-0.00011626587903162428j)
8,-2.304360368771115,-0.0007999999609833,1.876158408261864,22.23177933934998,2.659406553656108,344622.55473572697,(689149.6037443168+0j),(1.450862670275532e-06+0j),(0.9995645868849137+0.02950277476408133j),(0.9995645868849137-0.02950277476408133j),(1.0000000897508414+0.00013254825840944295j),(1.0000000897508414-0.00013254825840944295j)
9,-2.304360332250262,-0.0008999999444013,1.876158371891893,22.23177939072545,2.6594065216262983,344574.8363175996,(689149.672633748+0j),(1.45145953051919e-06+0j),(0.999448978366233+0.03319010258025541j),(0.999448978366233-0.03319010258025541j),(1.0000000685957864+0.00010276790936451209j),(1.0000000685957864-0.00010276790936451209j)
