Index,Initial x,Initial z,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-2.0628962790432634,0.0,1.483981817479581,47.583574015736914,3.024709757929085,17834174076.242058,(35668348152.484116+0j),(1.0000992039003544+0.01757004303687194j),(1.0000992039003544-0.01757004303687194j),(-0.0004697150838596416+0j),(0.12661784814071747+0.9919515716670434j),(0.12661784814071747-0.9919515716670434j)
1,-2.0637147448965525,0.0,1.485142102193004,47.56439742457757,3.0242557347667276,17857358308.715225,(35714716617.43045+0j),(0.9995032217433965+0.07635819699922028j),(0.9995032217433965-0.07635819699922028j),(0.0002913631935309948+0j),(0.026821211085081842+0.999640246606947j),(0.026821211085081842-0.999640246606947j)
2,-2.064536280655876,0.0,1.486307336462804,47.54522773680019,3.0237971814097913,17878659647.90944,(35757319295.81888+0j),(1.0000497171604477+0.013067277346103853j),(1.0000497171604477-0.013067277346103853j),(-0.00010506547165016514+0j),(-0.07037304898491786+0.9975207436324656j),(-0.07037304898491786-0.9975207436324656j)
3,-2.0653609138930515,0.0,1.4874775678392036,47.52606504865898,3.0233340409258314,17898363638.1821,(35796727276.3642+0j),(1.086383618595447+0j),(0.9142611634089575+0j),(-0.00013329967134286807+0j),(-0.16467721045324246+0.9863475129780187j),(-0.16467721045324246-0.9863475129780187j)
4,-2.0661886727460126,0.0,1.4886528448484104,47.50690945867257,3.022866255241515,17916479640.38871,(35832959280.77742+0j),(1.1065694022110413+0j),(0.8933449511422945+0j),(0.000653956517907555+0j),(-0.2558014727948088+0.9667293346726403j),(-0.2558014727948088-0.9667293346726403j)
5,-2.067019585939234,0.0,1.4898332170303912,47.48776106771048,3.022393765096317,17933017434.567177,(35866034869.13435+0j),(1.0596740597324248+0j),(0.9406709612090344+0j),(-0.00029486024395139856+0j),(-0.34344272625714956+0.939173622809797j),(-0.34344272625714956-0.939173622809797j)
6,-2.067853682799726,0.0,1.4910187349667732,47.46861997906856,3.021916510008997,17947987428.15033,(35895974856.30066+0j),(0.9997978071698739+0.050914567765474206j),(0.9997978071698739-0.050914567765474206j),(-7.1404875998015e-05+0j),(-0.4272839514191202+0.9041174839921164j),(-0.4272839514191202-0.9041174839921164j)
7,-2.0686909932737327,0.0,1.4922094503099437,47.4494862985479,3.021434428242762,17961400531.252243,(35922801062.504486+0j),(1.0630477428622496+0j),(0.9366770086914294+0j),(0.0003555242015925654+0j),(-0.5069935991312611+0.8619498189805589j),(-0.5069935991312611-0.8619498189805589j)
8,-2.0695315479438547,0.0,1.493405415812955,47.430360134536414,3.0209474567692345,17973268266.50479,(35946536533.00958+0j),(0.9998791128988195+0.1081845434572337j),(0.9998791128988195-0.1081845434572337j),(-5.395989710383283e-05+0j),(-0.5822249300403821+0.8130277552703818j),(-0.5822249300403821-0.8130277552703818j)
9,-2.0703753780468905,0.0,1.494606685360652,47.4112415980941,3.020455531231067,17983602377.818985,(35967204755.63797+0j),(1.0437864744140395+0j),(0.9551983590869604+0j),(0.0002164439291967491+0j),(-0.6526153326327295+0.757689400488823j),(-0.6526153326327295-0.757689400488823j)
10,-2.07122251549224,0.0,1.4958133140018264,47.39213080304168,3.01995858590318,17992415190.62229,(35984830381.24458+0j),(1.0001058900760689+0.045539098566979935j),(1.0001058900760689-0.045539098566979935j),(-0.00023047610871405663+0j),(-0.7177855826071058+0.6962642152242974j),(-0.7177855826071058-0.6962642152242974j)
11,-2.0720729928810138,0.0,1.4970253579825992,47.37302786605289,3.019456553652523,17999720069.630257,(35999440139.26051+0j),(1.0923828805748288+0j),(0.9080921391323984+0j),(0.00043592457817373916+0j),(-0.777339065102174+0.6290818530737128j),(-0.777339065102174-0.6290818530737128j)
12,-2.072926843525731,0.0,1.4982428747808711,47.35393290675052,3.0189493658964257,18005529971.747574,(36011059943.49515+0j),(1.0686910890833992+0j),(0.931523636967744+0j),(-0.00015714927290194012+0j),(-0.8308609953313093+0.55648001440989j),(-0.8308609953313093-0.55648001440989j)
13,-2.0737841014708205,0.0,1.499465923142188,47.33484604780665,3.0184369525592314,18009859164.97061,(36019718329.94122+0j),(1.041073960863455+0j),(0.9594352988354542+0j),(-0.00024283006347368535+0j),(-0.8779175258700981+0.4788118814009201j),(-0.8779175258700981-0.4788118814009201j)
14,-2.0746448015137813,0.0,1.5006945631167663,47.31576741504687,3.0179192420274528,18012721792.634445,(36025443585.26889+0j),(1.0003932199531573+0.10865131524218798j),(1.0003932199531573-0.10865131524218798j),(-0.0005763239308654135+0j),(-0.9180548715563954+0.3964533425412892j),(-0.9180548715563954-0.3964533425412892j)
15,-2.0755089792271484,0.0,1.501928856097979,47.29669713755912,3.017396161103059,18014132983.891907,(36028265967.78381+0j),(0.99993891207175+0.05406854548512327j),(0.99993891207175-0.05406854548512327j),(-0.00020507574627278086+0j),(-0.9507983366868995+0.30981046295109j),(-0.9507983366868995-0.30981046295109j)
16,-2.076376670981241,0.0,1.5031688648622117,47.27763534780704,3.0168676349550587,18014108088.427063,(36028216176.854126+0j),(1.1108048998686635+0j),(0.8886294725305944+0j),(0.0004979555437561236+0j),(-0.975651319653426+0.2193273864778439j),(-0.975651319653426-0.2193273864778439j)
17,-2.077247913967696,0.0,1.5044146536101464,47.25858218174822,3.0163335870691954,18012662948.577164,(36025325897.15433+0j),(1.0003777839161236+0.05231897490725839j),(1.0003777839161236-0.05231897490725839j),(-0.0002718028705043345+0j),(-0.9920942433710953+0.1254950687101164j),(-0.9920942433710953-0.1254950687101164j)
18,-2.0781227462239507,0.0,1.5056662880097051,47.239537778957576,3.0157939391956456,18009813936.472595,(36019627872.94519+0j),(0.9996305527563283+0.038232804106410966j),(0.9996305527563283-0.038232804106410966j),(0.00029226596289384267+0j),(-0.9995834295689998+0.02886117342931883j),(-0.9995834295689998-0.02886117342931883j)
19,-2.0790012066585244,0.0,1.506923835240468,47.220502282756094,3.01524861129468,18005577966.48056,(36011155932.96112+0j),(1.126258310137128+0j),(0.8732273450826098+0j),(0.0007962518850557903+0j),(-0.9975499088206041+0.06995841202217641j),(-0.9975499088206041-0.06995841202217641j)
20,-2.0798833350773105,0.0,1.5081873640398524,47.20147584034522,3.014697521480203,17999972098.00959,(35999944196.01918+0j),(1.0001235425788275+0.10478990046660915j),(1.0001235425788275-0.10478990046660915j),(-0.00041197013968120107+0j),(-0.9853981592954373+0.17026587343864868j),(-0.9853981592954373-0.17026587343864868j)
21,-2.0807691722107564,0.0,1.5094569447509474,47.1824586029471,3.014140585960999,17993014590.870483,(35986029181.74097+0j),(1.0489567724825142+0j),(0.9516505959461868+0j),(-0.000340426477150646+0j),(-0.9625047768168271+0.27126473159157116j),(-0.9625047768168271-0.27126473159157116j)
22,-2.0816587597421616,0.0,1.5107326493722868,47.16345072595126,3.0135777189796413,17984723516.436447,(35969447032.872894+0j),(1.0496259091663833+0j),(0.9501330181326051+0j),(0.00038348509886884614+0j),(-0.9282170569083474+0.37203910448384664j),(-0.9282170569083474-0.37203910448384664j)
23,-2.082552140336916,0.0,1.512014551609374,47.14445236906758,3.013008832748975,17975117547.84597,(35950235095.69194+0j),(0.9997342400764307+0.07188507160719053j),(0.9997342400764307-0.07188507160719053j),(0.00021680155899307614+0j),(-0.8818514988543469+0.4715272356598814j),(-0.8818514988543469-0.4715272356598814j)
24,-2.083449357672945,0.0,1.5133027269283417,47.12546369648647,3.0124338373859207,17964215979.514343,(35928431959.02869+0j),(1.0696538121800319+0j),(0.9293908973005685+0j),(0.0006549429213807247+0j),(-0.8226922212190904+0.5684870351610948j),(-0.8226922212190904-0.5684870351610948j)
25,-2.084350456472162,0.0,1.5145972526114777,47.10648487704594,3.0118526408427,17952038612.73725,(35904077225.4745+0j),(0.999565197095623+0.0853199656879254j),(0.999565197095623-0.0853199656879254j),(1.2215062841626272e-05+0j),(-0.7499892785487381+0.6614499845510915j),(-0.7499892785487381-0.6614499845510915j)
26,-2.0852554825333125,0.0,1.5158982078151917,47.08751608440684,3.011265148835071,17938605649.235046,(35877211298.47009+0j),(1.0000101499045368+0.015011452987380602j),(1.0000101499045368-0.015011452987380602j),(-2.529371411326929e-05+0j),(-0.6629568727273045+0.7486575885571877j),(-0.6629568727273045-0.7486575885571877j)
27,-2.086164482765834,0.0,1.5172056736299049,47.0685574972356,3.010671264767773,17923937569.175842,(35847875138.351685+0j),(1.0056065582199136+0j),(0.993698170366829+0j),(0.0004983011218548758+0j),(-0.560771450811894+0.8279706395488518j),(-0.560771450811894-0.8279706395488518j)
28,-2.0870775052251864,0.0,1.5185197331425588,47.04960929939584,3.010070889656661,17908055877.565826,(35816111755.13165+0j),(1.0002099962268973+0.07848695016797033j),(1.0002099962268973-0.07848695016797033j),(-0.0001824765001559598+0j),(-0.4425697155110705+0.8967341004517437j),(-0.4425697155110705-0.8967341004517437j)
29,-2.0879945991494275,0.0,1.5198404715014002,47.0306716801488,3.009463922047745,17890981910.39792,(35781963820.79584+0j),(1.1059630347751357+0j),(0.8944023178046608+0j),(4.0492670999755174e-05+0j),(-0.3074464450073404+0.9515653858001127j),(-0.3074464450073404-0.9515653858001127j)
30,-2.0889158149972404,0.0,1.5211679759834211,47.011744834363206,3.00885025793267,17872737965.576553,(35745475931.15311+0j),(1.0001495719927327+0.0967016011093624j),(1.0001495719927327-0.0967016011093624j),(-0.0006576590774802332+0j),(-0.15445225722354+0.9880002531574582j),(-0.15445225722354-0.9880002531574582j)
31,-2.089841204487436,0.0,1.5225023360644698,46.99282896273516,3.0082297906606517,17853346648.80587,(35706693297.61174+0j),(1.0812305211249775+0j),(0.9191087212845258+0j),(1.7880238338108108e-05+0j),(0.01740883457121428+0.9998484547567735j),(0.01740883457121428-0.9998484547567735j)
32,-2.09077082063994,0.0,1.5238436434921012,46.973924272018365,3.007602410846639,17832831110.127533,(35665662220.255066+0j),(1.044317025600756+0j),(0.9559528416162331+0j),(-0.0002874107796584585+0j),(0.2091819883130072+0.9778767283078511j),(0.2091819883130072-0.9778767283078511j)
33,-2.091704717818399,0.0,1.525191992361389,46.95503097526561,3.0069680062754887,17811214947.718475,(35622429895.43695+0j),(1.0721782175130359+0j),(0.928217896140993+0j),(-0.00015722862920983433+0j),(0.42196428128642277+0.9066124559695067j),(0.42196428128642277-0.9066124559695067j)
34,-2.0926429517744705,0.0,1.52654747919381,46.93614929208182,3.0063264618019763,17788522335.138527,(35577044670.277054+0j),(1.0900304134093173+0j),(0.910295786282806+0j),(-0.0002177658279127175+0j),(0.6569076247147678+0.7539710688031871j),(0.6569076247147678-0.7539710688031871j)
35,-2.093585579693794,0.0,1.5279102030192608,46.91727944888957,3.0056776592464334,17764777819.9217,(35529555639.8434+0j),(1.0644195421952531+0j),(0.935973535212085+0j),(-0.00023742561566781616+0j),(0.9152218926068199+0.4029502293011476j),(0.9152218926068199-0.4029502293011476j)
36,-2.094532660243768,0.0,1.5292802654613942,46.89842167920744,3.0050214772858155,17740006684.718185,(35480013369.43637+0j),(0.0004137165616668881+0j),(0.9746995815930527+0j),(1.0245780585524682+0j),(1.8582017326449565+0j),(0.5381547021685564+0j)
37,-2.0954842536232707,0.0,1.5306577708265343,46.87957622394242,3.0043577913398694,17714234616.247932,(35428469232.495865+0j),(8.237104938732406e-06+0j),(1.0000267780687122+0.05447088070432089j),(1.0000267780687122-0.05447088070432089j),(2.6346710996873366+0j),(0.37955401724307575+0j)
38,-2.096440421614264,0.0,1.5320428261961156,46.86074333169671,3.0036864734522895,17687487848.19258,(35374975696.38516+0j),(1.0596105321131652+0j),(0.9404377596890674+0j),(-0.00016847954333325314+0j),(3.392052166492398+0j),(0.2948067868409935+0j)
39,-2.0974012276354723,0.0,1.533435541522976,46.84192325908986,3.0030073921664866,17659793266.566048,(35319586533.132095+0j),(1.0000989441267303+0.08924364614358841j),(1.0000989441267303-0.08924364614358841j),(-0.0003308054646466145+0j),(4.177855057260642+0j),(0.23935727455715577+0j)
40,-2.098366736798152,0.0,1.5348360297315466,46.823116271097334,3.0023204123958127,17631178026.25512,(35262356052.51024+0j),(1.0004250388189417+0.05392504518327303j),(1.0004250388189417-0.05392504518327303j),(-0.0003900528249041592+0j),(5.0087427269836935+0j),(0.1996509013356294+0j)
41,-2.0993370159641405,0.0,1.5362444068223204,46.8043226414063,3.0016253952877414,17601670490.533737,(35203340981.067474+0j),(1.0000133007587415+0.055796567467625326j),(1.0000133007587415-0.055796567467625326j),(-8.505239360826746e-05+0j),(5.89401047985+0j),(0.1696637634797772+0j)
42,-2.10031213380616,0.0,1.5376607919805334,46.78554265278958,3.0009221980819873,17571298857.353607,(35142597714.707214+0j),(1.0447436847319733+0j),(0.9548995246626718+0j),(0.0003670144875605798+0j),(6.840306518871638+0j),(0.14619227913862237+0j)
43,-2.101292160870493,0.0,1.5390853076893636,46.766776597498826,3.0002106739620005,17540092553.254745,(35080185106.50949+0j),(1.0358734570569388+0j),(0.9646086691049265+0j),(-0.00020033891231303902+0j),(7.853158092731573+0j),(0.12733730662141232+0j)
44,-2.102277169642224,0.0,1.5405180798479388,46.74802477767835,2.999490671899593,17508081216.32318,(35016162432.64636+0j),(1.0782810366493143+0j),(0.9217566807882894+0j),(-6.967003018020731e-05+0j),(8.937600374483042+0j),(0.11188685531920395+0j)
45,-2.103267234612991,0.0,1.5419592378941578,46.72928750580032,2.9987620364923333,17475295457.887314,(34950590915.77463+0j),(0.9999987534434077+0.06639721970483446j),(0.9999987534434077-0.06639721970483446j),(-8.417293775292057e-05+0j),(10.098479699405523+0j),(0.09902480668049815+0j)
46,-2.104262432351542,0.0,1.5434089149327996,46.71056510512313,2.998024607793312,17441766343.456886,(34883532686.91377+0j),(1.0908990935135592+0j),(0.9087061372451207+0j),(0.0004923938841941397+0j),(11.34061905432807+0j),(0.08817860781761612+0j)
47,-2.1052628415769563,0.0,1.5448672478688268,46.69185791017384,2.997278221132876,17407525814.86341,(34815051629.72682+0j),(1.080880870740362+0j),(0.9191515934358573+0j),(0.00012689642778739688+0j),(12.66891787941397+0j),(0.07893333980998712+0j)
48,-2.1062685432349,0.0,1.5463343775464409,46.67316626725653,2.9965227069319256,17372606481.747055,(34745212963.49411+0j),(1.0570507300101195+0j),(0.9427818586175172+0j),(9.224691338933102e-05+0j),(14.088418588240225+0j),(0.07098028737130978+0j)
49,-2.107279620576871,0.0,1.5478104488939557,46.6544905349879,2.9957578905062587,17337041590.57534,(34674083181.15068+0j),(0.999901791063966+0.06169390904391102j),(0.999901791063966-0.06169390904391102j),(2.6467436198371727e-05+0j),(15.604355000561286+0j),(0.06408467379553394+0j)
50,-2.108296159242483,0.0,1.5492956110746223,46.63583108486162,2.994983591861632,17300865496.859947,(34601730993.719894+0j),(1.1094126699188263+0j),(0.8908116013955871+0j),(0.00021834317305956228+0j),(17.222190567788036+0j),(0.05806462285180965+0j)
51,-2.1093182473451573,0.0,1.5507900176440268,46.61718830184377,2.994199625478838,17264113071.31395,(34528226142.6279+0j),(1.00027803388092+0.04644132079651312j),(1.00027803388092-0.04644132079651312j),(-0.000244889885284573+0j),(18.94765144500541+0j),(0.05277698942810819+0j)
