Index,Initial x,Initial vy,Period,Jacobi Constant,Stability Index,Eig1,Eig2,Eig3,Eig4,Eig5,Eig6
0,-0.5825675342554575,-0.905969178605298,16.954927250811707,2.9976838307071687,13171.890453214914,(26343.780868470203+0j),(1.0002498295172377+0j),(0.9997502328613274+0j),(3.795999640373922e-05+0j),(-6.023129741402695+0j),(-0.16602664111916113+0j)
1,-0.5834183839727723,-0.903292825419902,16.92545772835982,2.9983510403655638,13088.354305450594,(26176.70857269929+0j),(1.0001565692633279+0j),(0.9998434548358581+0j),(3.820198050950542e-05+0j),(-5.942192323337105+0j),(-0.1682880569280113+0j)
2,-0.5842814137768906,-0.9005812394512827,16.89600250939326,2.999024782415715,13003.675950879804,(26007.35186330894+0j),(0.9999999406395321+0.00034500843752711827j),(0.9999999406395321-0.00034500843752711827j),(3.8450904368285134e-05+0j),(-5.861288685129503+0j),(-0.17061094474402205+0j)
3,-0.5851569969379148,-0.8978333697619445,16.866562226358035,2.9997052168490113,12917.883328181908,(25835.665251123777+0j),(1.0002079245933717+0j),(0.9997921202617208+0j),(3.870603163432113e-05+0j),(-5.780464062447178+0j),(-0.1729964911444195+0j)
4,-0.5860455225714317,-0.8950481221994253,16.837137548401323,3.0003925085964482,12830.8013051267,(25661.602571284675+0j),(0.9999999912232741+0.00013488418356087396j),(0.9999999912232741-0.00013488418356087396j),(3.896875521783106e-05+0j),(-5.699763035286902+0j),(-0.17544589025818572+0j)
5,-0.5869473966023292,-0.8922243567982769,16.80772918413592,3.001086827771289,12742.558606224718,(25485.11717321085+0j),(1.0001687582628898+0j),(0.9998312702529154+0j),(3.923859555943084e-05+0j),(-5.619229508038235+0j),(-0.17796034110285533+0j)
6,-0.5878630428570366,-0.8893608848154082,16.778337884733574,3.0017883499671942,12653.151904548173,(25306.16134207673+0j),(0.9999999983672447+5.699652532521907e-05j),(0.9999999983672447-5.699652532521907e-05j),(3.951584589773447e-05+0j),(-5.538906695661375+0j),(-0.18054104445720295+0j)
7,-0.58879290422522,-0.8864564655872433,16.748964447292032,3.002497256562123,12562.343389180262,(25124.68673855903+0j),(1.0003566276185303+0j),(0.9996434995590074+0j),(3.980149335734898e-05+0j),(-5.4588371078556905+0j),(-0.18318919949943335+0j)
8,-0.5897374439135746,-0.8835098031417448,16.719609718527526,3.0032137350404176,12470.321922299048,(24940.6438045029+0j),(1.0003840199316312+0j),(0.9996161272012541+0j),(4.009536099200734e-05+0j),(-5.379062538247554+0j),(-0.18590599995305354+0j)
9,-0.5906971468371958,-0.880519542428119,16.690274598881413,3.003937979361687,12377.017943427529,(24753.98179226354+0j),(1.0002956595439412+0j),(0.9997044277085261+0j),(4.039745301342866e-05+0j),(-5.299624056099707+0j),(-0.1886926297787294+0j)
10,-0.5916725210978228,-0.8774842653276168,16.66096004700185,3.0046701903316464,12282.37990933466,(24564.648680424296+0j),(1.0002595075124934+0j),(0.9997405599971245+0j),(4.070872294453276e-05+0j),(-5.220561998455458+0j),(-0.19155025843496656+0j)
11,-0.592664099620242,-0.8744024862287059,16.631667084733117,3.00541057602194,12186.295398727269,(24372.59075642484+0j),(1.000245588500292+0j),(0.9997544720487682+0j),(4.1029774509076024e-05+0j),(-5.1419159669624825+0j),(-0.19448003553622686+0j)
12,-0.5936724419287913,-0.8712726472293552,16.602396802628093,3.0061593522174612,12088.954198329817,(24177.75269865158+0j),(1.0002551063012246+0j),(0.9997449590232051+0j),(4.136007074329115e-05+0j),(-5.063724825002266+0j),(-0.1974830849903012+0j)
13,-0.594698136097518,-0.8680931128718089,16.57315036607651,3.0069167429029586,11990.03855002906,(23980.077058356837+0j),(0.9999702434574624+0j),(1.0000297575138648+0j),(4.170137090853998e-05+0j),(-4.986026701001178+0j),(-0.20056049835939668+0j)
14,-0.5957418008781263,-0.8648621643995698,16.54392902211047,3.0076829807916923,11889.752154616966,(23779.504267180913+0j),(0.9999999965982429+8.243835804876216e-05j),(0.9999999965982429-8.243835804876216e-05j),(4.2053366963502525e-05+0j),(-4.908858989683702+0j),(-0.20371332769665396+0j)
15,-0.5968040880525439,-0.8615779934083247,16.514734107014903,3.008458307905832,11787.986152376236,(23575.972262336407+0j),(1.0002213261506372+0j),(0.9997787229864716+0j),(4.24163944696691e-05+0j),(-4.832258360570272+0j),(-0.20694257743797467+0j)
16,-0.5978856850016048,-0.8582386949225997,16.485567054804367,3.0092429761981685,11684.767973422957,(23369.416010612018+0j),(1.0001983185853582+0j),(0.9998017226657314+0j),(4.2790751348488555e-05+0j),(-4.7562607672756965+0j),(-0.21024919551745336+0j)
17,-0.5989873175704672,-0.8548422596632091,16.456429406772173,3.010037248254913,11579.883802937156,(23159.767562695983+0j),(1.000303007361235+0j),(0.9996970850881338+0j),(4.3178346876893514e-05+0j),(-4.680901459595887+0j),(-0.21363406357195008+0j)
18,-0.6001097531683648,-0.8513865657116456,16.427322822112224,3.010841398017525,11473.477704040475,(22946.955364502188+0j),(1.0003197032781908+0j),(0.9996803997906406+0j),(4.3579079317641855e-05+0j),(-4.606214999120514+0j),(-0.21709798613009484+0j)
19,-0.6012538043098754,-0.8478693689494435,16.39824909005584,3.0116557116512146,11365.475599596964,(22730.903924539052+0j),(1.0002214817251915+0j),(0.9997785675796548+0j),(4.399287971595465e-05+0j),(-4.532235279355846+0j),(-0.22064167863221862+0j)
20,-0.6024203324326916,-0.8442882927978781,16.369210143398956,3.0124804884210663,11255.76670378852,(22511.533363155366+0j),(1.000139352941266+0j),(0.9998606666289198+0j),(4.44217926581607e-05+0j),(-4.458995546455631+0j),(-0.22426575437801272+0j)
21,-0.6036102522305348,-0.8406408165468717,16.340208073964305,3.0133160417155964,11144.396155080834,(22288.75895730606+0j),(0.9999999028957383+0.0004411485408057307j),(0.9999999028957383-0.0004411485408057307j),(4.486559828353789e-05+0j),(-4.386528425455895+0j),(-0.22797071009216563+0j)
22,-0.6048245364290823,-0.8369242625184613,16.31124515007606,3.0141627001372404,11031.256584498266,(22062.49052566282+0j),(1.000282329225281+0j),(0.9997177521262596+0j),(4.532575207522955e-05+0j),(-4.314865948563561+0j),(-0.23175691015933475+0j)
23,-0.6060642212041885,-0.8331357814830772,16.282323836613294,3.0150208087621433,10916.315814449052,(21832.631583095106+0j),(1.0002257989598378+0j),(0.9997742536363378+0j),(4.58030537588715e-05+0j),(-4.244039589059863+0j),(-0.23562456923567615+0j)
24,-0.6073304121668781,-0.8292723365933611,16.253446817790007,3.0158907304738483,10799.580746519558,(21599.078897569525+0j),(0.9999999697174367+0.0002482052749288786j),(0.9999999697174367-0.0002482052749288786j),(4.629809367672857e-05+0j),(-4.174080295488903+0j),(-0.23957373342164826+0j)
25,-0.6086242911662941,-0.825330685106117,16.22461702343153,3.0167728474954254,10680.880826034256,(21361.721652767344+0j),(1.0003612197197584+0j),(0.999638911216259+0j),(4.681261866315173e-05+0j),(-4.105018531697459+0j),(-0.24360425958315346+0j)
26,-0.6099471239676596,-0.8213073577656316,16.195837659262672,3.0176675630986582,10560.235979370138,(21120.44007470875+0j),(1.0003239628227663+0j),(0.9996761435324661+0j),(4.734742690387415e-05+0j),(-4.036884321018779+0j),(-0.24771579279117345+0j)
27,-0.6113002689074973,-0.8171986355902283,16.167112241886617,3.018575303491378,10437.552545111112,(20875.105011895874+0j),(1.0004213965694888+0j),(0.9995787815753706+0j),(4.790395056565164e-05+0j),(-3.969707290886067+0j),(-0.2519077419844799+0j)
